%steal,%user,%idle,%iowait,%nice,%system,kB_wrtn,kB_wrtn/s,tps,kB_read/s,kB_read
0.00,1.57,98.19,0.15,0.00,0.09,1956704852.0,597.55,6.77,655.9,2147774744.0
0.00,11.09,88.16,0.08,0.00,0.67,460.0,460.0,3.0,0.0,0.0
0.00,23.29,76.46,0.00,0.00,0.25,0.0,0.0,0.0,0.0,0.0
0.00,12.34,85.74,1.75,0.00,0.17,532.0,532.0,33.0,0.0,0.0
0.00,0.17,91.91,7.67,0.00,0.25,1092.0,1092.0,112.0,0.0,0.0
0.00,15.86,83.22,0.50,0.00,0.42,56.0,56.0,15.0,0.0,0.0
0.00,13.04,86.71,0.00,0.00,0.25,0.0,0.0,0.0,0.0,0.0
0.00,13.44,86.48,0.00,0.00,0.08,0.0,0.0,0.0,0.0,0.0
0.00,8.75,91.08,0.08,0.00,0.08,1688.0,1688.0,103.0,0.0,0.0
0.00,14.17,85.42,0.25,0.00,0.17,444.0,444.0,11.0,0.0,0.0
0.00,10.82,88.77,0.00,0.00,0.42,76.0,76.0,22.0,0.0,0.0
0.00,14.98,84.78,0.00,0.00,0.25,52.0,52.0,24.0,0.0,0.0
0.00,8.39,91.19,0.00,0.00,0.42,88.0,88.0,42.0,0.0,0.0
0.00,10.18,88.65,0.00,0.00,1.17,0.0,0.0,0.0,0.0,0.0
0.00,17.58,82.08,0.00,0.00,0.33,0.0,0.0,0.0,0.0,0.0
0.00,14.76,84.82,0.17,0.00,0.25,316.0,316.0,2.0,0.0,0.0
0.00,13.53,86.05,0.00,0.00,0.42,16.0,16.0,8.0,0.0,0.0
0.00,2.42,97.58,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0
0.00,34.47,63.52,0.17,0.00,1.84,41592.0,41592.0,162.0,0.0,0.0
0.00,93.32,5.18,0.00,0.00,1.50,1200.0,1200.0,28.0,0.0,0.0
0.00,91.49,7.01,0.00,0.00,1.50,528.0,528.0,2.0,0.0,0.0
0.00,92.96,5.86,0.00,0.00,1.17,0.0,0.0,0.0,0.0,0.0
0.00,71.36,26.88,0.00,0.00,1.76,0.0,0.0,0.0,0.0,0.0
0.00,69.15,29.34,0.00,0.00,1.51,0.0,0.0,0.0,0.0,0.0
0.00,79.40,19.18,0.00,0.00,1.42,0.0,0.0,0.0,0.0,0.0
0.00,77.31,20.60,0.00,0.00,2.09,148.0,148.0,2.0,0.0,0.0
0.00,63.78,33.70,0.00,0.00,2.52,0.0,0.0,0.0,0.0,0.0
0.00,58.81,39.10,0.00,0.00,2.09,8.0,8.0,4.0,0.0,0.0
0.00,43.44,54.22,0.00,0.00,2.34,0.0,0.0,0.0,0.0,0.0
0.00,87.46,11.12,0.00,0.00,1.42,0.0,0.0,0.0,0.0,0.0
0.00,87.74,10.68,0.00,0.00,1.58,388.0,388.0,2.0,0.0,0.0
0.00,81.08,17.24,0.00,0.00,1.68,0.0,0.0,0.0,0.0,0.0
0.00,80.80,17.35,0.00,0.00,1.84,0.0,0.0,0.0,0.0,0.0
0.00,77.47,21.36,0.00,0.00,1.17,0.0,0.0,0.0,0.0,0.0
0.00,65.28,33.22,0.00,0.00,1.50,636.0,636.0,6.0,0.0,0.0
0.00,59.70,37.72,0.17,0.00,2.41,200.0,200.0,2.0,0.0,0.0
0.00,51.93,45.64,0.00,0.00,2.43,0.0,0.0,0.0,0.0,0.0
0.00,34.78,63.29,0.00,0.00,1.92,440.0,440.0,7.0,0.0,0.0
0.00,72.31,25.94,0.00,0.00,1.75,244.0,244.0,3.0,0.0,0.0
0.00,77.35,20.89,0.00,0.00,1.76,0.0,0.0,0.0,0.0,0.0
0.00,75.75,22.49,0.17,0.00,1.59,372.0,372.0,2.0,0.0,0.0
0.00,72.51,26.40,0.00,0.00,1.09,0.0,0.0,0.0,0.0,0.0
0.00,64.10,34.31,0.17,0.00,1.42,1160.0,1160.0,13.0,8.0,8.0
0.00,47.41,50.83,0.00,0.00,1.75,0.0,0.0,0.0,0.0,0.0
0.00,44.92,53.25,0.00,0.00,1.83,0.0,0.0,0.0,0.0,0.0
0.00,26.42,72.32,0.17,0.00,1.09,948.0,948.0,12.0,4.0,4.0
0.00,51.17,47.58,0.00,0.00,1.25,140.0,140.0,2.0,0.0,0.0
0.00,59.41,39.16,0.00,0.00,1.42,100.0,100.0,1.0,0.0,0.0
0.00,62.89,35.77,0.00,0.00,1.34,104.0,104.0,12.0,0.0,0.0
0.00,55.65,43.60,0.00,0.00,0.75,0.0,0.0,0.0,0.0,0.0
0.00,53.53,44.56,0.08,0.00,1.83,348.0,348.0,2.0,0.0,0.0
0.00,49.29,49.20,0.00,0.00,1.51,0.0,0.0,0.0,0.0,0.0
0.00,47.77,50.46,0.00,0.00,1.77,32.0,32.0,1.0,0.0,0.0
0.00,26.51,72.24,0.00,0.00,1.25,1500.0,1500.0,89.0,0.0,0.0
0.00,39.85,58.65,0.00,0.00,1.50,376.0,376.0,5.0,0.0,0.0
0.00,63.78,34.97,0.00,0.00,1.25,2452.0,2452.0,22.0,0.0,0.0
0.00,52.80,46.28,0.00,0.00,0.92,0.0,0.0,0.0,0.0,0.0
0.00,44.03,54.80,0.00,0.00,1.17,0.0,0.0,0.0,0.0,0.0
0.00,39.97,59.53,0.00,0.00,0.50,3392.0,3392.0,24.0,0.0,0.0
0.00,46.12,52.63,0.00,0.00,1.25,0.0,0.0,0.0,0.0,0.0
0.00,30.88,67.61,0.17,0.00,1.34,252.0,252.0,2.0,0.0,0.0
0.00,25.93,72.25,0.08,0.00,1.74,496.0,496.0,7.0,4.0,4.0
0.00,15.19,84.06,0.00,0.00,0.75,560.0,560.0,6.0,0.0,0.0
0.00,42.19,56.56,0.00,0.00,1.25,536.0,536.0,25.0,0.0,0.0
0.00,59.25,39.67,0.00,0.00,1.08,0.0,0.0,0.0,0.0,0.0
0.00,42.35,56.16,0.17,0.00,1.33,316.0,316.0,2.0,0.0,0.0
0.00,39.87,59.30,0.00,0.00,0.83,0.0,0.0,0.0,0.0,0.0
0.00,44.94,54.14,0.00,0.00,0.92,0.0,0.0,0.0,0.0,0.0
0.00,29.66,68.92,0.00,0.00,1.42,2756.0,2756.0,19.0,0.0,0.0
0.00,27.83,70.92,0.00,0.00,1.25,492.0,492.0,6.0,0.0,0.0
0.00,14.61,84.56,0.08,0.00,0.75,812.0,812.0,8.0,0.0,0.0
0.00,45.78,53.13,0.00,0.00,1.09,0.0,0.0,0.0,0.0,0.0
0.00,56.58,42.08,0.00,0.00,1.33,0.0,0.0,0.0,0.0,0.0
0.00,44.69,54.31,0.00,0.00,1.00,404.0,404.0,22.0,0.0,0.0
0.00,40.53,58.63,0.00,0.00,0.83,0.0,0.0,0.0,0.0,0.0
0.00,39.77,58.57,0.08,0.00,1.58,300.0,300.0,2.0,0.0,0.0
0.00,30.72,68.11,0.00,0.00,1.17,0.0,0.0,0.0,0.0,0.0
0.00,25.02,74.06,0.00,0.00,0.92,588.0,588.0,7.0,0.0,0.0
0.00,28.55,70.28,0.00,0.00,1.17,2824.0,2824.0,31.0,0.0,0.0
0.00,35.50,63.67,0.00,0.00,0.83,0.0,0.0,0.0,0.0,0.0
0.00,28.56,70.36,0.25,0.00,0.83,316.0,316.0,2.0,0.0,0.0
0.00,33.14,65.53,0.00,0.00,1.33,0.0,0.0,0.0,0.0,0.0
0.00,45.82,53.43,0.00,0.00,0.75,0.0,0.0,0.0,0.0,0.0
