%steal,%user,%idle,%iowait,%nice,%system,kB_wrtn,kB_wrtn/s,tps,kB_read/s,kB_read
0.00,6.36,92.45,0.89,0.00,0.29,39758032.0,5996.13,20.34,2094.12,13885275.0
0.00,10.85,88.23,0.17,0.00,0.75,32.0,32.0,3.0,12.0,12.0
0.00,23.65,75.94,0.00,0.00,0.42,0.0,0.0,0.0,0.0,0.0
0.00,15.56,83.01,1.26,0.00,0.17,292.0,292.0,15.0,0.0,0.0
0.00,0.83,91.26,7.74,0.00,0.17,968.0,968.0,108.0,0.0,0.0
0.00,13.97,84.77,0.67,0.00,0.59,72.0,72.0,19.0,8.0,8.0
0.00,14.19,85.64,0.00,0.00,0.17,260.0,260.0,44.0,0.0,0.0
0.00,14.79,85.13,0.00,0.00,0.08,0.0,0.0,0.0,0.0,0.0
0.00,10.50,89.42,0.00,0.00,0.08,8.0,8.0,4.0,0.0,0.0
0.00,14.10,85.49,0.33,0.00,0.08,112.0,112.0,3.0,0.0,0.0
0.00,10.47,89.20,0.08,0.00,0.25,104.0,104.0,39.0,36.0,36.0
0.00,11.53,88.14,0.00,0.00,0.33,24.0,24.0,12.0,0.0,0.0
0.00,10.62,88.71,0.00,0.00,0.67,116.0,116.0,54.0,0.0,0.0
0.00,1.84,97.41,0.00,0.00,0.75,0.0,0.0,0.0,0.0,0.0
0.00,14.61,84.89,0.00,0.00,0.50,0.0,0.0,0.0,0.0,0.0
0.00,14.80,84.78,0.17,0.00,0.25,272.0,272.0,2.0,0.0,0.0
0.00,14.65,84.93,0.08,0.00,0.33,27860.0,27860.0,125.0,0.0,0.0
0.00,6.51,92.82,0.58,0.00,0.08,13948.0,13948.0,37.0,0.0,0.0
0.00,5.59,94.24,0.00,0.00,0.17,0.0,0.0,0.0,0.0,0.0
0.00,53.07,44.58,0.17,0.00,2.19,0.0,0.0,26.0,104.0,104.0
0.00,95.16,2.92,0.00,0.00,1.92,496.0,496.0,2.0,0.0,0.0
0.00,92.22,5.69,0.00,0.00,2.09,0.0,0.0,0.0,0.0,0.0
