%steal,%user,%idle,%iowait,%nice,%system,kB_wrtn,kB_wrtn/s,tps,kB_read/s,kB_read
0.00,1.57,98.19,0.15,0.00,0.09,1956908068.0,597.59,6.77,655.87,2147774900.0
0.00,10.68,88.48,0.00,0.00,0.83,32.0,32.0,1.0,0.0,0.0
0.00,21.11,78.14,0.25,0.00,0.50,316.0,316.0,2.0,0.0,0.0
0.00,12.94,85.06,1.59,0.00,0.42,256.0,256.0,21.0,0.0,0.0
0.00,0.17,91.81,8.02,0.00,0.00,1352.0,1352.0,114.0,0.0,0.0
0.00,14.70,83.72,0.83,0.00,0.75,80.0,80.0,19.0,0.0,0.0
0.00,14.10,85.74,0.00,0.00,0.17,0.0,0.0,0.0,0.0,0.0
0.00,13.91,85.93,0.00,0.00,0.17,0.0,0.0,0.0,0.0,0.0
0.00,8.66,91.17,0.00,0.00,0.17,8.0,8.0,4.0,0.0,0.0
0.00,14.24,85.51,0.25,0.00,0.00,228.0,228.0,7.0,0.0,0.0
0.00,10.36,89.47,0.00,0.00,0.17,92.0,92.0,26.0,0.0,0.0
0.00,15.53,84.14,0.00,0.00,0.33,40.0,40.0,18.0,0.0,0.0
0.00,11.31,87.19,0.42,0.00,1.09,100.0,100.0,49.0,16.0,16.0
0.00,16.42,83.08,0.00,0.00,0.50,0.0,0.0,0.0,0.0,0.0
0.00,20.92,78.42,0.17,0.00,0.50,304.0,304.0,2.0,0.0,0.0
0.00,13.55,86.12,0.00,0.00,0.33,0.0,0.0,0.0,0.0,0.0
0.00,7.51,92.33,0.00,0.00,0.17,16.0,16.0,8.0,0.0,0.0
0.00,4.25,95.66,0.00,0.00,0.08,0.0,0.0,0.0,0.0,0.0
0.00,53.60,43.56,0.00,0.00,2.84,0.0,0.0,0.0,0.0,0.0
0.00,95.41,3.17,0.00,0.00,1.42,0.0,0.0,0.0,0.0,0.0
0.00,93.08,5.33,0.00,0.00,1.58,44060.0,44060.0,240.0,0.0,0.0
0.00,84.96,13.37,0.00,0.00,1.67,0.0,0.0,0.0,0.0,0.0
0.00,75.21,23.11,0.00,0.00,1.68,0.0,0.0,0.0,0.0,0.0
0.00,83.60,15.82,0.00,0.00,0.59,0.0,0.0,0.0,0.0,0.0
0.00,80.84,18.24,0.00,0.00,0.92,0.0,0.0,0.0,0.0,0.0
0.00,66.44,32.38,0.17,0.00,1.00,340.0,340.0,2.0,0.0,0.0
0.00,60.35,38.56,0.00,0.00,1.09,0.0,0.0,0.0,0.0,0.0
0.00,58.42,40.17,0.00,0.00,1.42,0.0,0.0,0.0,0.0,0.0
0.00,64.66,33.50,0.00,0.00,1.84,0.0,0.0,0.0,0.0,0.0
0.00,92.15,6.93,0.00,0.00,0.92,0.0,0.0,0.0,0.0,0.0
0.00,91.97,7.36,0.00,0.00,0.67,56.0,56.0,2.0,0.0,0.0
0.00,59.28,39.80,0.00,0.00,0.92,0.0,0.0,0.0,0.0,0.0
0.00,50.79,45.86,0.00,0.00,3.34,0.0,0.0,0.0,0.0,0.0
0.00,53.04,45.55,0.00,0.00,1.42,0.0,0.0,0.0,0.0,0.0
0.00,59.41,39.00,0.00,0.00,1.59,0.0,0.0,0.0,0.0,0.0
0.00,52.87,46.63,0.08,0.00,0.42,60.0,60.0,2.0,0.0,0.0
0.00,49.17,49.50,0.00,0.00,1.34,0.0,0.0,0.0,0.0,0.0
0.00,64.04,31.43,0.00,0.00,4.53,0.0,0.0,0.0,0.0,0.0
0.00,53.34,42.73,0.00,0.00,3.93,0.0,0.0,0.0,0.0,0.0
0.00,49.37,45.62,0.00,0.00,5.00,8.0,8.0,4.0,0.0,0.0
0.00,10.18,49.37,38.45,0.00,2.00,99680.0,99680.0,219.0,0.0,0.0
0.00,26.42,62.17,8.50,0.00,2.92,24920.0,24920.0,38.0,0.0,0.0
0.00,66.64,31.02,0.00,0.00,2.34,0.0,0.0,0.0,0.0,0.0
0.00,91.68,6.39,0.00,0.00,1.93,0.0,0.0,0.0,0.0,0.0
0.00,91.99,6.51,0.00,0.00,1.50,0.0,0.0,0.0,0.0,0.0
0.00,79.87,18.38,0.17,0.00,1.59,424.0,424.0,2.0,0.0,0.0
0.00,74.50,22.32,1.51,0.00,1.68,100928.0,100928.0,148.0,0.0,0.0
0.00,83.47,13.94,0.92,0.00,1.67,116832.0,116832.0,171.0,0.0,0.0
0.00,68.74,26.89,3.28,0.00,1.09,114016.0,114016.0,160.0,0.0,0.0
0.00,64.72,32.69,1.51,0.00,1.09,118580.0,118580.0,146.0,0.0,0.0
0.00,58.47,32.44,7.92,0.00,1.17,113168.0,113168.0,147.0,0.0,0.0
0.00,60.25,29.42,8.75,0.00,1.58,101172.0,101172.0,157.0,0.0,0.0
0.00,72.71,26.03,0.17,0.00,1.09,58884.0,58884.0,92.0,0.0,0.0
0.00,88.94,10.32,0.00,0.00,0.75,0.0,0.0,0.0,0.0,0.0
0.00,85.25,13.50,0.00,0.00,1.25,0.0,0.0,0.0,0.0,0.0
0.00,61.52,36.98,0.17,0.00,1.34,80.0,80.0,2.0,0.0,0.0
0.00,52.97,44.78,0.00,0.00,2.26,0.0,0.0,0.0,0.0,0.0
0.00,57.14,40.85,0.00,0.00,2.01,0.0,0.0,0.0,0.0,0.0
0.00,54.80,44.19,0.00,0.00,1.00,0.0,0.0,0.0,0.0,0.0
0.00,54.52,44.90,0.00,0.00,0.59,0.0,0.0,0.0,0.0,0.0
0.00,55.95,40.63,0.17,0.00,3.25,72.0,72.0,2.0,0.0,0.0
0.00,54.26,41.74,0.00,0.00,4.01,0.0,0.0,0.0,0.0,0.0
0.00,52.71,42.87,0.00,0.00,4.42,0.0,0.0,0.0,0.0,0.0
0.00,33.95,61.87,0.00,0.00,4.18,96.0,96.0,3.0,0.0,0.0
0.00,45.78,51.63,0.00,0.00,2.59,64.0,64.0,2.0,0.0,0.0
0.00,88.98,9.18,0.00,0.00,1.84,428.0,428.0,3.0,0.0,0.0
0.00,89.50,8.75,0.00,0.00,1.75,0.0,0.0,0.0,0.0,0.0
0.00,81.23,16.67,0.00,0.00,2.10,6720.0,6720.0,8.0,0.0,0.0
0.00,78.18,20.15,0.00,0.00,1.67,53064.0,53064.0,69.0,0.0,0.0
0.00,84.47,14.02,0.00,0.00,1.50,0.0,0.0,0.0,0.0,0.0
0.00,63.11,31.22,3.26,0.00,2.42,82744.0,82744.0,97.0,0.0,0.0
0.00,53.36,44.30,0.92,0.00,1.43,7944.0,7944.0,103.0,0.0,0.0
0.00,46.08,52.92,0.00,0.00,1.00,29916.0,29916.0,35.0,0.0,0.0
0.00,42.38,56.79,0.00,0.00,0.83,0.0,0.0,0.0,0.0,0.0
0.00,57.21,42.04,0.00,0.00,0.75,0.0,0.0,0.0,0.0,0.0
0.00,69.20,30.13,0.00,0.00,0.67,128.0,128.0,2.0,0.0,0.0
0.00,48.16,51.25,0.00,0.00,0.59,268.0,268.0,7.0,0.0,0.0
0.00,33.94,63.73,0.00,0.00,2.33,0.0,0.0,0.0,0.0,0.0
0.00,36.39,62.36,0.00,0.00,1.25,0.0,0.0,0.0,0.0,0.0
0.00,37.47,61.94,0.00,0.00,0.59,0.0,0.0,0.0,0.0,0.0
0.00,35.03,64.72,0.00,0.00,0.25,0.0,0.0,0.0,0.0,0.0
0.00,35.54,63.71,0.17,0.00,0.59,88.0,88.0,4.0,0.0,0.0
0.00,38.21,60.03,0.00,0.00,1.76,0.0,0.0,0.0,0.0,0.0
0.00,38.55,59.37,0.00,0.00,2.08,0.0,0.0,0.0,0.0,0.0
0.00,29.32,68.25,0.00,0.00,2.42,14992.0,14992.0,21.0,0.0,0.0
0.00,34.20,62.80,0.00,0.00,3.00,30212.0,30212.0,41.0,0.0,0.0
0.00,49.08,47.91,0.17,0.00,2.85,60084.0,60084.0,76.0,0.0,0.0
0.00,51.29,47.37,0.00,0.00,1.34,14924.0,14924.0,21.0,0.0,0.0
0.00,58.24,40.33,0.00,0.00,1.42,0.0,0.0,0.0,0.0,0.0
0.00,65.28,33.22,0.00,0.00,1.50,0.0,0.0,0.0,0.0,0.0
0.00,59.30,39.70,0.00,0.00,1.01,0.0,0.0,0.0,0.0,0.0
0.00,55.64,41.27,1.34,0.00,1.75,67896.0,67896.0,80.0,0.0,0.0
0.00,40.97,52.17,5.60,0.00,1.25,117600.0,117600.0,139.0,0.0,0.0
0.00,43.15,49.05,5.73,0.00,2.07,115764.0,115764.0,148.0,0.0,0.0
0.00,47.33,46.42,4.75,0.00,1.50,113852.0,113852.0,159.0,0.0,0.0
0.00,43.10,55.40,1.09,0.00,0.42,117632.0,117632.0,183.0,0.0,0.0
0.00,39.90,57.52,1.75,0.00,0.83,6992.0,6992.0,23.0,0.0,0.0
0.00,29.82,69.01,0.00,0.00,1.17,0.0,0.0,0.0,0.0,0.0
0.00,26.19,72.80,0.00,0.00,1.00,0.0,0.0,0.0,0.0,0.0
0.00,28.50,71.00,0.00,0.00,0.50,0.0,0.0,0.0,0.0,0.0
0.00,31.56,67.36,0.00,0.00,1.08,83804.0,83804.0,147.0,0.0,0.0
0.00,24.33,69.33,5.08,0.00,1.25,22380.0,22380.0,31.0,0.0,0.0
0.00,27.68,70.24,0.00,0.00,2.08,0.0,0.0,0.0,0.0,0.0
0.00,23.67,74.33,0.00,0.00,2.00,14956.0,14956.0,14.0,0.0,0.0
0.00,14.26,84.40,0.00,0.00,1.33,44908.0,44908.0,58.0,0.0,0.0
0.00,24.00,68.73,5.94,0.00,1.34,89788.0,89788.0,114.0,0.0,0.0
0.00,29.63,49.58,20.12,0.00,0.67,76224.0,76224.0,147.0,0.0,0.0
0.00,38.08,60.84,0.00,0.00,1.09,0.0,0.0,0.0,0.0,0.0
0.00,44.46,54.37,0.00,0.00,1.17,0.0,0.0,0.0,0.0,0.0
0.00,54.75,44.92,0.00,0.00,0.33,0.0,0.0,0.0,0.0,0.0
0.00,35.76,63.16,0.00,0.00,1.09,0.0,0.0,0.0,0.0,0.0
0.00,34.64,64.52,0.17,0.00,0.67,208.0,208.0,2.0,0.0,0.0
0.00,31.57,67.76,0.00,0.00,0.67,0.0,0.0,0.0,0.0,0.0
0.00,37.69,61.48,0.00,0.00,0.83,0.0,0.0,0.0,0.0,0.0
0.00,45.48,54.18,0.00,0.00,0.33,0.0,0.0,0.0,0.0,0.0
0.00,31.36,67.72,0.17,0.00,0.75,4872.0,4872.0,7.0,0.0,0.0
0.00,29.30,57.10,12.19,0.00,1.42,112440.0,112440.0,140.0,0.0,0.0
0.00,24.52,63.18,11.30,0.00,1.00,106576.0,106576.0,159.0,0.0,0.0
