%steal,%user,%idle,%iowait,%nice,%system,kB_wrtn,kB_wrtn/s,tps,kB_read/s,kB_read
0.00,1.56,98.20,0.15,0.00,0.09,1954798356.0,597.06,6.77,655.99,2147765180.0
0.00,10.34,88.74,0.00,0.00,0.92,32.0,32.0,1.0,0.0,0.0
0.00,21.20,78.63,0.00,0.00,0.17,0.0,0.0,0.0,0.0,0.0
0.00,13.68,84.74,1.25,0.00,0.33,320.0,320.0,15.0,0.0,0.0
0.00,0.25,91.89,7.86,0.00,0.00,924.0,924.0,105.0,0.0,0.0
0.00,14.17,84.58,0.92,0.00,0.33,80.0,80.0,20.0,0.0,0.0
0.00,13.52,86.31,0.00,0.00,0.17,0.0,0.0,0.0,0.0,0.0
0.00,14.07,85.93,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0
0.00,8.76,91.08,0.00,0.00,0.17,8.0,8.0,4.0,0.0,0.0
0.00,13.92,85.75,0.25,0.00,0.08,116.0,116.0,7.0,0.0,0.0
0.00,10.18,89.57,0.00,0.00,0.25,68.0,68.0,20.0,0.0,0.0
0.00,13.99,85.93,0.00,0.00,0.08,72.0,72.0,34.0,0.0,0.0
0.00,7.33,91.75,0.08,0.00,0.83,64.0,64.0,33.0,4.0,4.0
0.00,4.67,94.07,0.00,0.00,1.25,0.0,0.0,0.0,0.0,0.0
0.00,15.85,83.82,0.00,0.00,0.33,0.0,0.0,0.0,0.0,0.0
0.00,13.36,86.23,0.08,0.00,0.33,380.0,380.0,11.0,0.0,0.0
0.00,17.74,81.93,0.00,0.00,0.33,12.0,12.0,4.0,0.0,0.0
0.00,5.58,94.34,0.00,0.00,0.08,8.0,8.0,4.0,0.0,0.0
0.00,2.59,97.33,0.00,0.00,0.08,0.0,0.0,0.0,0.0,0.0
0.00,76.59,21.07,0.00,0.00,2.34,0.0,0.0,0.0,0.0,0.0
0.00,96.66,1.33,0.00,0.00,2.00,420.0,420.0,2.0,0.0,0.0
0.00,95.23,3.18,0.00,0.00,1.59,0.0,0.0,0.0,0.0,0.0
0.00,78.97,19.60,0.00,0.00,1.43,0.0,0.0,0.0,0.0,0.0
0.00,71.42,26.49,0.00,0.00,2.10,0.0,0.0,0.0,0.0,0.0
0.00,85.05,14.20,0.00,0.00,0.75,0.0,0.0,0.0,0.0,0.0
0.00,63.86,34.72,0.25,0.00,1.17,104.0,104.0,2.0,0.0,0.0
0.00,70.50,28.17,0.00,0.00,1.33,0.0,0.0,0.0,0.0,0.0
0.00,59.20,40.13,0.00,0.00,0.67,0.0,0.0,0.0,0.0,0.0
0.00,62.14,36.45,0.00,0.00,1.42,0.0,0.0,0.0,0.0,0.0
0.00,62.05,36.86,0.00,0.00,1.08,0.0,0.0,0.0,0.0,0.0
0.00,57.79,41.22,0.17,0.00,0.83,28.0,28.0,2.0,0.0,0.0
0.00,62.85,36.06,0.00,0.00,1.09,0.0,0.0,0.0,0.0,0.0
0.00,56.50,42.58,0.00,0.00,0.92,0.0,0.0,0.0,0.0,0.0
0.00,56.05,42.95,0.00,0.00,1.00,0.0,0.0,0.0,0.0,0.0
0.00,42.94,55.40,0.00,0.00,1.66,104.0,104.0,7.0,0.0,0.0
0.00,52.00,45.99,0.33,0.00,1.67,1104.0,1104.0,89.0,0.0,0.0
0.00,84.51,13.65,0.00,0.00,1.84,4.0,4.0,1.0,0.0,0.0
0.00,89.12,9.62,0.00,0.00,1.26,0.0,0.0,0.0,0.0,0.0
0.00,88.13,10.54,0.00,0.00,1.34,0.0,0.0,0.0,0.0,0.0
0.00,82.16,16.75,0.00,0.00,1.09,0.0,0.0,0.0,0.0,0.0
0.00,70.45,28.46,0.08,0.00,1.00,312.0,312.0,4.0,0.0,0.0
