%steal,%user,%idle,%iowait,%nice,%system,kB_wrtn,kB_wrtn/s,tps,kB_read/s,kB_read
0.00,1.56,98.20,0.15,0.00,0.09,1954862692.0,597.05,6.77,655.96,2147765288.0
0.00,10.77,88.48,0.00,0.00,0.75,392.0,392.0,23.0,0.0,0.0
0.00,21.25,78.08,0.25,0.00,0.42,356.0,356.0,2.0,0.0,0.0
0.00,12.02,85.56,2.09,0.00,0.33,368.0,368.0,29.0,0.0,0.0
0.00,0.50,91.08,8.08,0.00,0.33,1264.0,1264.0,111.0,0.0,0.0
0.00,15.38,83.78,0.17,0.00,0.67,24.0,24.0,9.0,0.0,0.0
0.00,13.72,86.12,0.08,0.00,0.08,1100.0,1100.0,101.0,0.0,0.0
0.00,13.42,86.33,0.00,0.00,0.25,0.0,0.0,0.0,0.0,0.0
0.00,9.65,90.18,0.00,0.00,0.17,8.0,8.0,4.0,0.0,0.0
0.00,13.27,86.48,0.25,0.00,0.00,268.0,268.0,14.0,0.0,0.0
0.00,10.75,89.08,0.00,0.00,0.17,92.0,92.0,25.0,0.0,0.0
0.00,11.24,88.51,0.00,0.00,0.25,708.0,708.0,7.0,0.0,0.0
0.00,11.53,88.22,0.00,0.00,0.25,52.0,52.0,24.0,0.0,0.0
0.00,9.17,90.08,0.00,0.00,0.75,88.0,88.0,42.0,0.0,0.0
0.00,5.00,93.58,0.25,0.00,1.17,324.0,324.0,2.0,0.0,0.0
0.00,16.37,83.38,0.00,0.00,0.25,0.0,0.0,0.0,0.0,0.0
0.00,12.59,86.99,0.00,0.00,0.42,60.0,60.0,6.0,0.0,0.0
0.00,18.45,80.88,0.00,0.00,0.67,12.0,12.0,6.0,0.0,0.0
0.00,2.75,97.25,0.00,0.00,0.00,4.0,4.0,2.0,0.0,0.0
0.00,4.93,94.40,0.00,0.00,0.67,0.0,0.0,0.0,0.0,0.0
0.00,79.30,18.52,0.17,0.00,2.01,448.0,448.0,2.0,0.0,0.0
0.00,96.99,1.17,0.00,0.00,1.84,72.0,72.0,2.0,0.0,0.0
0.00,94.40,4.01,0.00,0.00,1.59,0.0,0.0,0.0,0.0,0.0
0.00,74.81,24.01,0.00,0.00,1.18,0.0,0.0,0.0,0.0,0.0
0.00,73.39,24.77,0.00,0.00,1.83,0.0,0.0,0.0,0.0,0.0
0.00,88.76,10.49,0.08,0.00,0.67,168.0,168.0,2.0,0.0,0.0
0.00,57.21,41.53,0.08,0.00,1.17,44944.0,44944.0,228.0,0.0,0.0
0.00,64.40,34.19,0.00,0.00,1.41,0.0,0.0,0.0,0.0,0.0
0.00,53.13,45.28,0.00,0.00,1.59,0.0,0.0,0.0,0.0,0.0
0.00,60.38,37.61,0.00,0.00,2.00,0.0,0.0,0.0,0.0,0.0
0.00,54.21,44.20,0.17,0.00,1.42,256.0,256.0,2.0,0.0,0.0
0.00,57.55,41.37,0.00,0.00,1.08,0.0,0.0,0.0,0.0,0.0
0.00,57.14,42.36,0.00,0.00,0.50,0.0,0.0,0.0,0.0,0.0
0.00,44.36,52.97,0.00,0.00,2.67,8.0,8.0,4.0,0.0,0.0
0.00,30.47,68.36,0.00,0.00,1.17,0.0,0.0,0.0,0.0,0.0
0.00,36.67,62.25,0.17,0.00,0.92,296.0,296.0,2.0,0.0,0.0
0.00,51.38,47.28,0.00,0.00,1.34,0.0,0.0,0.0,0.0,0.0
0.00,65.31,33.53,0.00,0.00,1.16,0.0,0.0,0.0,0.0,0.0
0.00,61.27,36.39,0.00,0.00,2.34,59672.0,59672.0,95.0,0.0,0.0
0.00,48.96,49.46,0.00,0.00,1.59,85512.0,85512.0,136.0,0.0,0.0
0.00,35.45,56.86,6.27,0.00,1.42,75956.0,75956.0,122.0,0.0,0.0
0.00,21.13,78.04,0.00,0.00,0.83,4724.0,4724.0,10.0,12.0,12.0
0.00,16.94,82.30,0.00,0.00,0.75,19200.0,19200.0,29.0,0.0,0.0
0.00,23.65,75.94,0.00,0.00,0.42,8.0,8.0,4.0,0.0,0.0
0.00,44.77,54.56,0.00,0.00,0.67,8.0,8.0,4.0,0.0,0.0
0.00,20.95,78.22,0.17,0.00,0.67,204.0,201.98,1.98,0.0,0.0
0.00,19.20,80.22,0.00,0.00,0.59,0.0,0.0,0.0,0.0,0.0
0.00,18.89,80.70,0.00,0.00,0.42,0.0,0.0,0.0,0.0,0.0
0.00,18.38,81.12,0.00,0.00,0.50,0.0,0.0,0.0,0.0,0.0
0.00,19.09,79.83,0.00,0.00,1.08,24.0,24.0,9.0,0.0,0.0
0.00,1.58,98.00,0.08,0.00,0.33,328.0,328.0,42.0,0.0,0.0
0.00,5.59,93.58,0.17,0.00,0.67,152.0,152.0,73.0,0.0,0.0
0.00,0.33,99.67,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0
0.00,0.08,99.83,0.00,0.00,0.08,0.0,0.0,0.0,0.0,0.0
0.00,0.17,99.83,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0
0.00,0.25,99.67,0.00,0.00,0.08,0.0,0.0,0.0,0.0,0.0
0.00,0.33,99.25,0.17,0.00,0.25,192.0,192.0,13.0,0.0,0.0
0.00,11.43,86.91,0.00,0.00,1.67,0.0,0.0,0.0,0.0,0.0
0.00,17.03,82.64,0.00,0.00,0.33,0.0,0.0,0.0,0.0,0.0
0.00,13.71,85.95,0.00,0.00,0.33,0.0,0.0,0.0,0.0,0.0
