%steal,%user,%idle,%iowait,%nice,%system,kB_wrtn,kB_wrtn/s,tps,kB_read/s,kB_read
0.00,1.56,98.19,0.15,0.00,0.09,1956651248.0,597.55,6.77,655.91,2147774736.0
0.00,11.09,88.32,0.00,0.00,0.58,32.0,32.0,1.0,0.0,0.0
0.00,21.14,78.53,0.00,0.00,0.33,404.0,404.0,66.0,0.0,0.0
0.00,12.57,85.01,2.00,0.00,0.42,688.0,688.0,23.0,0.0,0.0
0.00,0.50,91.15,7.93,0.00,0.42,1476.0,1476.0,115.0,0.0,0.0
0.00,14.96,83.96,0.75,0.00,0.33,68.0,67.33,16.83,0.0,0.0
0.00,13.46,86.45,0.00,0.00,0.08,0.0,0.0,0.0,0.0,0.0
0.00,13.97,85.95,0.00,0.00,0.08,368.0,368.0,11.0,0.0,0.0
0.00,8.83,91.08,0.00,0.00,0.08,8.0,8.0,4.0,0.0,0.0
0.00,14.31,85.44,0.17,0.00,0.08,224.0,224.0,7.0,0.0,0.0
0.00,10.18,89.57,0.00,0.00,0.25,60.0,60.0,20.0,0.0,0.0
0.00,13.83,84.92,0.00,0.00,1.25,76.0,76.0,36.0,0.0,0.0
0.00,9.77,88.81,0.00,0.00,1.42,144.0,144.0,37.0,0.0,0.0
0.00,17.28,82.47,0.00,0.00,0.25,0.0,0.0,0.0,0.0,0.0
0.00,12.44,86.89,0.17,0.00,0.50,336.0,336.0,2.0,0.0,0.0
0.00,15.00,84.58,0.00,0.00,0.42,16.0,16.0,8.0,0.0,0.0
0.00,6.42,93.41,0.00,0.00,0.17,0.0,0.0,0.0,0.0,0.0
0.00,9.65,89.18,0.00,0.00,1.16,52.0,52.0,5.0,0.0,0.0
0.00,81.97,16.38,0.00,0.00,1.65,0.0,0.0,0.0,0.0,0.0
0.00,96.16,2.25,0.00,0.00,1.59,436.0,436.0,2.0,0.0,0.0
0.00,90.55,7.94,0.00,0.00,1.51,0.0,0.0,0.0,0.0,0.0
0.00,75.31,23.77,0.00,0.00,0.92,0.0,0.0,0.0,0.0,0.0
0.00,75.40,22.34,0.00,0.00,2.26,36.0,36.0,1.0,0.0,0.0
0.00,82.29,16.96,0.00,0.00,0.75,0.0,0.0,0.0,0.0,0.0
0.00,70.42,28.00,0.00,0.00,1.58,0.0,0.0,0.0,0.0,0.0
0.00,57.18,39.73,0.08,0.00,3.01,116.0,116.0,2.0,0.0,0.0
0.00,54.18,43.98,0.00,0.00,1.84,0.0,0.0,0.0,0.0,0.0
0.00,50.46,46.88,0.00,0.00,2.66,152.0,152.0,11.0,0.0,0.0
0.00,43.00,55.49,0.00,0.00,1.51,96.0,96.0,3.0,0.0,0.0
0.00,82.68,16.23,0.00,0.00,1.09,0.0,0.0,0.0,0.0,0.0
0.00,86.86,11.55,0.08,0.00,1.51,436.0,436.0,2.0,0.0,0.0
0.00,88.94,9.38,0.00,0.00,1.68,0.0,0.0,0.0,0.0,0.0
0.00,81.76,16.65,0.00,0.00,1.59,636.0,636.0,40.0,0.0,0.0
0.00,72.31,26.36,0.00,0.00,1.33,0.0,0.0,0.0,0.0,0.0
0.00,73.45,25.13,0.00,0.00,1.43,0.0,0.0,0.0,0.0,0.0
0.00,67.89,29.85,0.08,0.00,2.17,216.0,216.0,2.0,0.0,0.0
0.00,49.83,47.58,0.00,0.00,2.58,64.0,64.0,2.0,0.0,0.0
0.00,51.66,45.42,0.08,0.00,2.83,800.0,800.0,100.0,0.0,0.0
0.00,78.93,19.40,0.00,0.00,1.67,0.0,0.0,0.0,0.0,0.0
0.00,82.24,15.75,0.00,0.00,2.01,80.0,80.0,14.0,4.0,4.0
0.00,69.37,29.37,0.00,0.00,1.26,424.0,424.0,2.0,0.0,0.0
0.00,67.67,30.81,0.00,0.00,1.51,0.0,0.0,0.0,0.0,0.0
0.00,74.90,24.10,0.00,0.00,1.01,20400.0,20400.0,39.0,0.0,0.0
0.00,62.19,35.64,0.00,0.00,2.17,0.0,0.0,0.0,0.0,0.0
0.00,51.72,46.36,0.00,0.00,1.92,0.0,0.0,0.0,0.0,0.0
0.00,52.59,45.33,0.00,0.00,2.09,228.0,228.0,2.0,0.0,0.0
0.00,29.38,68.86,0.00,0.00,1.75,108.0,108.0,6.0,0.0,0.0
0.00,63.18,34.64,0.00,0.00,2.18,21280.0,21280.0,58.0,0.0,0.0
0.00,80.18,18.31,0.00,0.00,1.51,36.0,36.0,2.0,0.0,0.0
0.00,59.72,38.61,0.00,0.00,1.68,0.0,0.0,0.0,0.0,0.0
0.00,67.95,30.20,0.17,0.00,1.68,412.0,412.0,2.0,0.0,0.0
0.00,75.17,23.33,0.00,0.00,1.51,0.0,0.0,0.0,0.0,0.0
0.00,64.09,34.56,0.00,0.00,1.34,240.0,240.0,6.0,0.0,0.0
0.00,54.42,43.49,0.33,0.00,1.75,0.0,0.0,1.0,4.0,4.0
0.00,49.33,49.00,0.00,0.00,1.67,72.0,72.0,4.0,0.0,0.0
0.00,22.28,75.89,0.25,0.00,1.58,244.0,244.0,4.0,0.0,0.0
0.00,47.17,51.00,0.00,0.00,1.83,36.0,36.0,2.0,0.0,0.0
0.00,58.37,39.72,0.00,0.00,1.92,36.0,36.0,2.0,0.0,0.0
0.00,64.36,34.64,0.00,0.00,1.00,0.0,0.0,0.0,0.0,0.0
0.00,72.87,25.79,0.00,0.00,1.34,0.0,0.0,0.0,0.0,0.0
0.00,74.35,24.14,0.08,0.00,1.42,352.0,352.0,2.0,0.0,0.0
0.00,64.33,34.08,0.00,0.00,1.58,0.0,0.0,0.0,0.0,0.0
0.00,56.83,41.32,0.00,0.00,1.84,644.0,644.0,32.0,0.0,0.0
0.00,48.37,49.62,0.00,0.00,2.01,72.0,72.0,4.0,0.0,0.0
0.00,44.56,53.94,0.00,0.00,1.51,36.0,36.0,2.0,0.0,0.0
0.00,48.45,49.96,0.17,0.00,1.42,380.0,380.0,4.0,0.0,0.0
0.00,36.74,61.26,0.00,0.00,2.00,36.0,36.0,2.0,0.0,0.0
0.00,27.49,71.92,0.00,0.00,0.59,132.0,132.0,22.0,0.0,0.0
0.00,27.02,72.48,0.00,0.00,0.50,0.0,0.0,0.0,0.0,0.0
0.00,21.26,77.91,0.00,0.00,0.84,0.0,0.0,0.0,0.0,0.0
0.00,14.83,84.25,0.17,0.00,0.75,276.0,276.0,4.0,0.0,0.0
0.00,7.28,92.22,0.00,0.00,0.50,36.0,36.0,2.0,0.0,0.0
0.00,12.79,86.62,0.00,0.00,0.59,1044.0,1044.0,124.0,0.0,0.0
0.00,0.91,99.00,0.00,0.00,0.08,4.0,4.0,2.0,0.0,0.0
