%steal,%user,%idle,%iowait,%nice,%system,kB_wrtn,kB_wrtn/s,tps,kB_read/s,kB_read
0.00,0.24,99.71,0.02,0.00,0.02,242789888.0,175.5,0.55,34.92,48321223.0
0.00,17.79,80.83,0.00,0.00,1.38,32.0,32.0,1.0,0.0,0.0
0.00,29.95,69.55,0.00,0.00,0.50,0.0,0.0,0.0,0.0,0.0
0.00,22.96,74.91,1.88,0.00,0.25,388.0,388.0,15.0,0.0,0.0
0.00,1.13,86.61,11.89,0.00,0.38,1328.0,1328.0,118.0,0.0,0.0
0.00,4.65,84.28,10.44,0.00,0.63,60168.0,60168.0,119.0,0.0,0.0
0.00,23.49,75.63,0.00,0.00,0.88,20.0,20.0,8.0,0.0,0.0
0.00,19.70,80.05,0.00,0.00,0.25,0.0,0.0,0.0,0.0,0.0
0.00,19.08,80.42,0.12,0.00,0.37,8.0,8.0,4.0,0.0,0.0
0.00,14.37,85.38,0.00,0.00,0.25,0.0,0.0,0.0,0.0,0.0
0.00,20.08,79.42,0.38,0.00,0.13,428.0,428.0,23.0,0.0,0.0
0.00,16.62,83.38,0.00,0.00,0.00,68.0,68.0,16.0,0.0,0.0
0.00,19.52,80.10,0.00,0.00,0.38,32.0,32.0,16.0,0.0,0.0
0.00,2.64,97.36,0.00,0.00,0.00,20.0,20.0,10.0,0.0,0.0
0.00,18.72,80.40,0.00,0.00,0.88,0.0,0.0,0.0,0.0,0.0
0.00,26.85,72.15,0.13,0.00,0.88,320.0,320.0,5.0,0.0,0.0
0.00,21.83,77.79,0.00,0.00,0.38,24.0,24.0,10.0,0.0,0.0
0.00,24.69,74.94,0.00,0.00,0.38,76.0,76.0,15.0,0.0,0.0
0.00,0.38,99.50,0.00,0.00,0.12,0.0,0.0,0.0,0.0,0.0
0.00,0.38,99.37,0.00,0.00,0.25,0.0,0.0,0.0,0.0,0.0
0.00,4.01,95.37,0.13,0.00,0.50,552.0,552.0,11.0,0.0,0.0
0.00,25.25,74.25,0.00,0.00,0.50,0.0,0.0,0.0,0.0,0.0
0.00,51.19,46.93,0.00,0.00,1.88,0.0,0.0,0.0,0.0,0.0
0.00,71.09,27.41,0.00,0.00,1.50,0.0,0.0,0.0,0.0,0.0
0.00,81.51,16.86,0.00,0.00,1.64,0.0,0.0,0.0,0.0,0.0
0.00,89.28,8.32,0.00,0.00,2.40,244.0,244.0,2.0,0.0,0.0
0.00,93.88,4.24,0.00,0.00,1.87,0.0,0.0,0.0,0.0,0.0
0.00,98.25,0.25,0.00,0.00,1.50,0.0,0.0,0.0,0.0,0.0
0.00,97.49,0.50,0.00,0.00,2.01,0.0,0.0,0.0,0.0,0.0
0.00,97.99,0.13,0.00,0.00,1.88,0.0,0.0,0.0,0.0,0.0
0.00,97.87,0.63,0.00,0.00,1.50,268.0,268.0,11.0,0.0,0.0
0.00,97.38,1.00,0.00,0.00,1.62,0.0,0.0,0.0,0.0,0.0
0.00,98.50,0.13,0.00,0.00,1.38,0.0,0.0,0.0,0.0,0.0
0.00,98.50,0.13,0.00,0.00,1.38,0.0,0.0,0.0,0.0,0.0
0.00,97.75,0.38,0.00,0.00,1.88,0.0,0.0,0.0,0.0,0.0
0.00,98.12,0.50,0.00,0.00,1.38,1200.0,1200.0,129.0,0.0,0.0
0.00,97.88,0.25,0.00,0.00,1.88,0.0,0.0,0.0,0.0,0.0
0.00,97.50,0.25,0.00,0.00,2.25,0.0,0.0,0.0,0.0,0.0
0.00,98.50,0.12,0.00,0.00,1.37,0.0,0.0,0.0,0.0,0.0
0.00,97.50,0.75,0.00,0.00,1.75,0.0,0.0,0.0,0.0,0.0
0.00,97.13,0.12,0.00,0.00,2.75,160.0,160.0,3.0,0.0,0.0
0.00,98.38,0.12,0.00,0.00,1.50,0.0,0.0,0.0,0.0,0.0
0.00,98.38,0.12,0.00,0.00,1.50,0.0,0.0,0.0,0.0,0.0
0.00,97.50,0.00,0.00,0.00,2.50,0.0,0.0,0.0,0.0,0.0
0.00,97.25,0.25,0.00,0.00,2.50,0.0,0.0,0.0,0.0,0.0
0.00,98.25,0.38,0.00,0.00,1.38,408.0,408.0,29.0,0.0,0.0
0.00,96.00,1.38,0.00,0.00,2.62,0.0,0.0,0.0,0.0,0.0
0.00,97.63,0.12,0.00,0.00,2.25,0.0,0.0,0.0,0.0,0.0
0.00,97.38,0.38,0.00,0.00,2.25,0.0,0.0,0.0,0.0,0.0
0.00,97.37,0.25,0.00,0.00,2.38,0.0,0.0,0.0,0.0,0.0
0.00,97.38,0.12,0.00,0.00,2.50,1056.0,1056.0,44.0,0.0,0.0
0.00,98.50,0.00,0.00,0.00,1.50,0.0,0.0,0.0,0.0,0.0
