%steal,%user,%idle,%iowait,%nice,%system,kB_wrtn,kB_wrtn/s,tps,kB_read/s,kB_read
0.00,0.23,99.72,0.02,0.00,0.02,242764752.0,175.5,0.54,34.53,47769287.0
0.00,15.66,82.58,0.25,0.00,1.50,32.0,32.0,1.0,0.0,0.0
0.00,29.20,70.05,0.00,0.00,0.75,0.0,0.0,0.0,0.0,0.0
0.00,24.34,73.27,1.88,0.00,0.50,336.0,336.0,15.0,0.0,0.0
0.00,2.13,87.09,10.65,0.00,0.13,1084.0,1084.0,104.0,0.0,0.0
0.00,18.50,78.88,2.38,0.00,0.25,120.0,120.0,27.0,0.0,0.0
0.00,20.10,79.40,0.00,0.00,0.50,0.0,0.0,0.0,0.0,0.0
0.00,21.62,78.25,0.00,0.00,0.12,0.0,0.0,0.0,0.0,0.0
0.00,14.27,85.36,0.00,0.00,0.38,12.0,12.0,4.0,0.0,0.0
0.00,19.92,79.20,0.38,0.00,0.50,140.0,140.0,3.0,0.0,0.0
0.00,15.81,84.07,0.00,0.00,0.13,80.0,80.0,24.0,0.0,0.0
0.00,15.52,83.98,0.00,0.00,0.50,380.0,380.0,74.0,0.0,0.0
0.00,14.66,84.09,0.00,0.00,1.25,36.0,36.0,18.0,0.0,0.0
0.00,24.47,75.28,0.00,0.00,0.25,0.0,0.0,0.0,0.0,0.0
0.00,26.69,72.56,0.00,0.00,0.75,0.0,0.0,0.0,0.0,0.0
0.00,21.68,78.07,0.25,0.00,0.00,404.0,404.0,12.0,0.0,0.0
0.00,23.12,76.38,0.00,0.00,0.50,72.0,72.0,13.0,0.0,0.0
0.00,0.50,99.25,0.00,0.00,0.25,0.0,0.0,0.0,0.0,0.0
0.00,0.38,99.50,0.00,0.00,0.13,0.0,0.0,0.0,0.0,0.0
0.00,9.02,90.60,0.00,0.00,0.38,0.0,0.0,0.0,0.0,0.0
0.00,32.04,66.83,0.25,0.00,0.88,196.0,196.0,2.0,0.0,0.0
0.00,52.01,46.23,0.00,0.00,1.76,0.0,0.0,0.0,0.0,0.0
0.00,74.37,24.50,0.00,0.00,1.13,0.0,0.0,0.0,0.0,0.0
