%steal,%user,%idle,%iowait,%nice,%system,kB_wrtn,kB_wrtn/s,tps,kB_read/s,kB_read
0.00,0.19,99.77,0.02,0.00,0.02,230095544.0,166.64,0.52,32.65,45089075.0
0.00,16.77,81.85,0.13,0.00,1.25,32.0,32.0,2.0,8.0,8.0
0.00,30.25,69.25,0.00,0.00,0.50,0.0,0.0,0.0,0.0,0.0
0.00,23.68,73.81,2.01,0.00,0.50,340.0,340.0,15.0,0.0,0.0
0.00,0.50,87.47,11.65,0.00,0.38,908.0,908.0,102.0,0.0,0.0
0.00,19.82,77.92,1.88,0.00,0.38,100.0,100.0,24.0,4.0,4.0
0.00,18.35,81.52,0.00,0.00,0.12,0.0,0.0,0.0,0.0,0.0
0.00,20.60,79.27,0.00,0.00,0.13,0.0,0.0,0.0,0.0,0.0
0.00,13.84,85.79,0.00,0.00,0.37,8.0,8.0,4.0,0.0,0.0
0.00,20.90,78.22,0.38,0.00,0.50,108.0,108.0,3.0,0.0,0.0
0.00,14.29,85.34,0.00,0.00,0.38,128.0,128.0,43.0,36.0,36.0
0.00,15.12,84.38,0.00,0.00,0.50,8.0,8.0,3.0,4.0,4.0
0.00,16.46,82.67,0.00,0.00,0.87,16.0,16.0,8.0,0.0,0.0
0.00,20.60,78.64,0.00,0.00,0.75,40.0,40.0,18.0,0.0,0.0
0.00,25.37,74.25,0.00,0.00,0.38,0.0,0.0,0.0,0.0,0.0
0.00,26.72,72.41,0.25,0.00,0.62,212.0,212.0,2.0,0.0,0.0
0.00,18.07,81.68,0.00,0.00,0.25,44.0,44.0,22.0,0.0,0.0
0.00,21.03,78.09,0.00,0.00,0.88,68.0,68.0,9.0,0.0,0.0
0.00,0.50,99.50,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0
0.00,0.62,99.13,0.00,0.00,0.25,0.0,0.0,0.0,0.0,0.0
0.00,12.77,86.11,0.38,0.00,0.75,216.0,216.0,2.0,0.0,0.0
0.00,39.27,59.72,0.00,0.00,1.00,0.0,0.0,0.0,0.0,0.0
0.00,58.52,39.72,0.00,0.00,1.75,0.0,0.0,0.0,0.0,0.0
0.00,76.44,22.18,0.00,0.00,1.38,0.0,0.0,0.0,0.0,0.0
0.00,85.71,12.41,0.00,0.00,1.88,0.0,0.0,0.0,0.0,0.0
0.00,91.99,5.88,0.00,0.00,2.13,876.0,876.0,89.0,0.0,0.0
0.00,93.38,3.38,0.00,0.00,3.25,0.0,0.0,0.0,0.0,0.0
0.00,96.24,1.75,0.00,0.00,2.01,0.0,0.0,0.0,0.0,0.0
0.00,95.49,1.50,0.00,0.00,3.01,0.0,0.0,0.0,0.0,0.0
0.00,94.26,2.37,0.00,0.00,3.37,0.0,0.0,0.0,0.0,0.0
0.00,94.86,2.76,0.00,0.00,2.38,196.0,196.0,2.0,0.0,0.0
0.00,98.13,0.12,0.00,0.00,1.75,0.0,0.0,0.0,0.0,0.0
0.00,97.99,0.25,0.00,0.00,1.75,0.0,0.0,0.0,0.0,0.0
0.00,97.25,0.25,0.00,0.00,2.50,0.0,0.0,0.0,0.0,0.0
0.00,97.63,0.50,0.00,0.00,1.87,0.0,0.0,0.0,0.0,0.0
0.00,97.50,0.38,0.00,0.00,2.13,452.0,452.0,24.0,0.0,0.0
0.00,96.87,0.88,0.00,0.00,2.25,0.0,0.0,0.0,0.0,0.0
0.00,97.12,0.75,0.00,0.00,2.13,0.0,0.0,0.0,0.0,0.0
0.00,97.50,0.25,0.00,0.00,2.25,0.0,0.0,0.0,0.0,0.0
0.00,96.88,0.50,0.00,0.00,2.62,100.0,100.0,1.0,0.0,0.0
0.00,98.25,0.00,0.00,0.00,1.75,12.0,12.0,3.0,0.0,0.0
0.00,98.75,0.25,0.00,0.00,1.00,0.0,0.0,0.0,0.0,0.0
0.00,98.25,0.12,0.00,0.00,1.62,0.0,0.0,0.0,0.0,0.0
0.00,97.25,0.50,0.00,0.00,2.25,0.0,0.0,0.0,0.0,0.0
0.00,96.87,0.38,0.00,0.00,2.75,0.0,0.0,0.0,0.0,0.0
0.00,96.88,0.12,0.00,0.00,3.00,14996.0,14996.0,134.0,0.0,0.0
0.00,94.36,0.25,2.63,0.00,2.76,87664.0,87664.0,185.0,0.0,0.0
0.00,85.19,13.05,0.00,0.00,1.76,0.0,0.0,0.0,0.0,0.0
0.00,96.88,0.62,0.00,0.00,2.50,0.0,0.0,0.0,0.0,0.0
0.00,97.12,1.25,0.00,0.00,1.62,244.0,244.0,1.0,0.0,0.0
0.00,97.00,0.38,0.00,0.00,2.62,4.0,4.0,1.0,0.0,0.0
0.00,96.50,1.25,0.00,0.00,2.25,20.0,20.0,2.0,0.0,0.0
0.00,93.73,4.89,0.00,0.00,1.38,0.0,0.0,0.0,0.0,0.0
0.00,97.38,0.38,0.00,0.00,2.25,0.0,0.0,0.0,0.0,0.0
0.00,96.37,0.13,0.00,0.00,3.50,120.0,120.0,1.0,0.0,0.0
0.00,96.13,0.37,0.00,0.00,3.49,4.0,4.0,9.0,4096.0,4096.0
0.00,95.86,1.75,0.00,0.00,2.38,0.0,0.0,32.0,16384.0,16384.0
0.00,96.25,0.50,0.00,0.00,3.25,0.0,0.0,48.0,24576.0,24576.0
0.00,94.61,3.76,0.13,0.00,1.50,0.0,0.0,72.0,36864.0,36864.0
0.00,96.25,1.38,0.00,0.00,2.38,0.0,0.0,75.0,38336.0,38336.0
0.00,96.37,0.38,0.00,0.00,3.25,104.0,104.0,105.0,52576.0,52576.0
0.00,94.88,2.62,0.50,0.00,2.00,0.0,0.0,157.0,80544.0,80544.0
0.00,97.74,0.13,0.00,0.00,2.13,0.0,0.0,147.0,75328.0,75328.0
0.00,89.47,3.76,5.26,0.00,1.50,0.0,0.0,148.0,75776.0,75776.0
0.00,96.62,0.25,0.00,0.00,3.13,96.0,96.0,129.0,65536.0,65536.0
0.00,97.00,0.00,0.00,0.00,3.00,4.0,4.0,39.0,20480.0,20480.0
0.00,98.00,0.25,0.00,0.00,1.75,0.0,0.0,0.0,0.0,0.0
0.00,97.25,0.50,0.00,0.00,2.25,0.0,0.0,0.0,0.0,0.0
0.00,94.87,3.00,0.00,0.00,2.13,0.0,0.0,0.0,0.0,0.0
0.00,97.25,0.50,0.00,0.00,2.25,0.0,0.0,0.0,0.0,0.0
0.00,97.63,0.37,0.00,0.00,2.00,112.0,112.0,2.0,0.0,0.0
0.00,97.25,0.38,0.00,0.00,2.38,0.0,0.0,0.0,0.0,0.0
0.00,97.03,1.11,0.00,0.00,1.86,0.0,0.0,0.0,0.0,0.0
0.00,97.49,0.25,0.00,0.00,2.26,0.0,0.0,0.0,0.0,0.0
