%steal,%user,%idle,%iowait,%nice,%system,kB_wrtn,kB_wrtn/s,tps,kB_read/s,kB_read
0.00,0.24,99.72,0.02,0.00,0.02,242773244.0,175.5,0.55,34.85,48214727.0
0.00,17.88,80.75,0.00,0.00,1.38,32.0,32.0,1.0,0.0,0.0
0.00,32.33,66.92,0.00,0.00,0.75,0.0,0.0,0.0,0.0,0.0
0.00,23.85,73.53,2.12,0.00,0.50,680.0,680.0,17.0,0.0,0.0
0.00,1.50,86.34,11.78,0.00,0.38,1252.0,1252.0,113.0,0.0,0.0
0.00,19.37,77.48,2.39,0.00,0.75,136.0,136.0,31.0,0.0,0.0
0.00,30.36,68.13,0.00,0.00,1.51,0.0,0.0,0.0,0.0,0.0
0.00,20.67,79.08,0.00,0.00,0.25,0.0,0.0,0.0,0.0,0.0
0.00,15.52,84.23,0.00,0.00,0.25,8.0,8.0,4.0,0.0,0.0
0.00,20.62,79.12,0.00,0.00,0.25,12.0,12.0,2.0,0.0,0.0
0.00,15.07,84.18,0.37,0.00,0.37,412.0,412.0,27.0,0.0,0.0
0.00,18.57,81.18,0.00,0.00,0.25,16.0,16.0,8.0,0.0,0.0
0.00,13.75,86.12,0.00,0.00,0.12,40.0,40.0,18.0,0.0,0.0
0.00,18.19,80.93,0.00,0.00,0.88,0.0,0.0,0.0,0.0,0.0
0.00,29.04,70.46,0.00,0.00,0.50,104.0,104.0,12.0,0.0,0.0
0.00,29.07,70.43,0.25,0.00,0.25,408.0,408.0,10.0,0.0,0.0
0.00,21.35,77.65,0.00,0.00,1.00,72.0,72.0,13.0,0.0,0.0
0.00,0.50,99.25,0.00,0.00,0.25,0.0,0.0,0.0,0.0,0.0
0.00,30.03,67.71,0.00,0.00,2.26,0.0,0.0,0.0,0.0,0.0
0.00,96.12,1.88,0.00,0.00,2.01,76.0,75.25,2.97,0.0,0.0
0.00,96.74,1.00,0.00,0.00,2.26,348.0,348.0,2.0,0.0,0.0
0.00,97.50,0.00,0.00,0.00,2.50,0.0,0.0,0.0,0.0,0.0
0.00,97.75,0.75,0.00,0.00,1.50,0.0,0.0,0.0,0.0,0.0
0.00,92.59,4.27,0.00,0.00,3.14,0.0,0.0,0.0,0.0,0.0
0.00,94.99,4.13,0.00,0.00,0.88,188.0,188.0,9.0,0.0,0.0
0.00,97.87,0.63,0.00,0.00,1.50,128.0,128.0,2.0,0.0,0.0
0.00,95.62,1.88,0.00,0.00,2.50,0.0,0.0,0.0,0.0,0.0
0.00,88.53,7.73,0.00,0.00,3.74,0.0,0.0,0.0,0.0,0.0
0.00,87.97,8.02,0.00,0.00,4.01,0.0,0.0,0.0,0.0,0.0
0.00,88.22,8.27,0.00,0.00,3.51,1496.0,1496.0,119.0,0.0,0.0
0.00,89.85,7.02,0.25,0.00,2.88,96.0,96.0,2.0,0.0,0.0
0.00,94.11,3.13,0.00,0.00,2.76,0.0,0.0,0.0,0.0,0.0
0.00,89.95,7.66,0.00,0.00,2.39,0.0,0.0,0.0,0.0,0.0
0.00,88.97,7.39,0.00,0.00,3.63,0.0,0.0,0.0,0.0,0.0
0.00,87.92,8.81,0.00,0.00,3.27,308.0,308.0,32.0,0.0,0.0
0.00,86.97,9.15,0.00,0.00,3.88,116.0,116.0,2.0,0.0,0.0
0.00,88.83,7.65,0.00,0.00,3.51,0.0,0.0,0.0,0.0,0.0
0.00,92.19,5.16,0.00,0.00,2.64,0.0,0.0,13.0,6816.0,6816.0
0.00,68.22,29.15,0.13,0.00,2.51,0.0,0.0,13.0,6496.0,6496.0
0.00,64.79,31.70,0.00,0.00,3.51,24.0,24.0,6.0,0.0,0.0
0.00,64.48,32.74,0.13,0.00,2.65,172.0,172.0,2.0,0.0,0.0
0.00,63.27,33.96,0.00,0.00,2.77,0.0,0.0,0.0,0.0,0.0
0.00,61.00,35.38,0.00,0.00,3.62,0.0,0.0,0.0,0.0,0.0
0.00,51.77,40.63,4.30,0.00,3.29,32.0,32.0,77.0,38912.0,38912.0
0.00,50.00,46.74,0.00,0.00,3.26,348.0,348.0,33.0,0.0,0.0
