time,cs,cycles,instructions
1.000261278,106,5436877,849226
2.000575368,109,5608692,702962
3.000873268,104,4677329,682394
4.001228952,105,4789305,684253
5.001590936,106,5538422,686838
6.001881848,106,5178033,668647
7.002164982,102,4836664,647355
8.002519912,102,5283436,663490
9.002880447,111,5027187,749745
10.003193585,1655,2389260019,2370216146
11.003621944,2943,7277606100,7382571062
12.004062217,1029,5140346142,6127332215
13.004412825,1633,3573875753,3530354304
14.0047573,234,75526150,61846959
15.005154836,2162,4926852214,4444001694
16.005565854,2497,7194151369,7306962863
17.00594744,1255,8869265015,10350689483
18.006341758,912,3735338591,6158145141
19.006726772,760,3279844737,5690012133
20.007116712,817,3535003166,5985540661
21.007491689,777,3800246494,6188659953
22.00786213,684,3498685881,5959361951
23.008230958,653,3206504058,5594514581
24.008616128,675,3250606932,5572790573
25.008996962,636,3241629998,5615152142
26.009397116,593,3314530033,5775538056
27.009793633,697,3192790774,5573593374
28.010165442,694,3216172884,5605851533
29.010562633,624,3160520732,5574091344
30.010936861,642,3190975377,5590209728
31.011330728,589,3157744121,5592942140
32.011725451,639,3212080596,5625880485
33.012104234,578,3212366634,5594421859
34.01248619,639,3184019806,5597175325
35.012861931,593,3206689279,5574911378
36.013265642,614,3259973593,5594865038
37.013674019,558,3168881974,5584749508
38.01405981,668,3202717013,5577893045
39.014440248,594,3121495903,5490882982
40.014844153,1552,5325197520,6490643961
41.015219688,638,3076663056,5287515601
42.015626051,608,3246574630,5497003774
43.016006795,702,3159918343,5408224118
44.016387837,583,3207507366,5350206162
45.016760047,590,3026766501,5330277362
46.017126675,626,3174562205,5346961355
47.01750054,618,3078921877,5304410610
48.01787599,579,3047513478,5354078258
49.018243185,596,3073770771,5330300918
50.018628258,737,3359394421,5401573477
51.019004799,588,3066736917,5346601674
52.019376296,583,3067794956,5342109692
53.019751134,618,3441947054,5632092552
54.020125713,620,3282248539,5443085280
55.02050349,562,3197801817,5378616812
56.020871881,575,3181558884,5319778620
57.021253222,578,3070166168,5311632467
58.021694863,614,3258727845,5320180108
59.022075061,557,3026912803,5306237339
60.022460047,599,3041731313,5315626074
61.022908973,547,3046022361,5324524895
62.023398929,563,3139045567,5373671989
63.023858377,1142,3532199178,5114704904
64.024248209,871,3278731085,5366884087
65.024630201,526,3143039572,5412244931
66.025021461,555,3065927904,5366834123
67.025419811,650,3171864939,5451882031
68.025785316,507,3122416570,5423350507
69.026169813,492,3108991018,5418205060
70.026543561,575,3184326760,5452155796
71.026929957,555,3119340368,5448233965
72.027309545,598,3151431734,5449354441
