time,cs,cycles,instructions
1.000258649,102,4696643,663113
2.000591368,106,5273931,674896
3.00086773,101,4348536,645949
4.001135425,109,4608499,870340
5.001424685,102,5151315,643077
6.001704169,102,4882689,646849
7.001991904,106,4830503,671859
8.002346989,101,5046794,642968
9.002627113,101,4567521,686568
10.002886849,103,4836790,668097
11.003287873,2623,4351345920,4537669219
12.003640722,2537,6721240061,7239403546
13.004074438,1390,5450860997,6035762076
14.004419021,641,979841644,914133704
15.004757184,223,72321588,56242490
16.005335342,8899,20330577883,15422091925
17.005946687,7913,24851870207,18366709559
18.006650817,6147,27437500603,20245045197
19.007281274,5629,32660536759,25776956453
20.00776977,5178,16034789844,21327016428
21.008275118,4242,14145355780,21137649451
22.008780002,2623,12702488047,20960481052
23.009387694,4066,15906182732,21819402815
24.009876946,3356,14048447466,21694796279
25.010381663,3003,14382633731,21837989891
26.010956666,1971,12092081775,20211546383
27.01152666,2381,12253750312,21338903262
28.01201673,2713,12874378000,21608765616
29.012578854,3180,13560153106,21493131503
30.013142297,2257,12320702334,20439523156
31.01372517,2231,12348261403,21139395985
32.014307093,2089,12211188202,21245222876
33.014882704,2160,12160618404,21149839393
34.01545293,2347,12677447430,21257809859
35.016011146,2340,12558539246,21163363495
36.016604884,1937,12150164978,21168266942
37.017096331,2421,12740464085,21124579977
38.017590907,2607,12655224596,21304142282
39.018086202,2184,12284893247,21307091940
40.018642974,2266,12186244632,21196014037
41.019143501,2769,12660841237,21154019087
42.019640037,2664,12917990322,21077431411
43.021544699,4591,15818058330,20421248756
44.022118409,5879,20247906630,19885978852
45.022671724,2578,12768037313,20660920762
46.023241511,2241,12445508918,20968159273
47.023792911,2414,12979974195,21164266433
48.024288825,2358,12641360754,21124028412
49.024783347,2175,12370633693,20963720775
50.025286166,1934,12480173602,20957326544
51.025857501,2292,12514159447,20866891568
52.026390705,2407,12694138727,20999853493
53.026941757,2400,12491737239,20720604190
54.027497151,2582,12557919877,20802158429
55.027980579,2226,12270751315,21053346769
56.028480066,2081,12491172309,21021996802
57.028968786,2069,12310024454,20910983329
58.029460543,1991,12218410798,20926564057
59.029962735,1936,12187869319,20948151382
60.030524252,2255,12299945180,21040499141
61.031067183,2272,12613909676,21471493032
62.031580402,2134,12195057822,20969102493
63.032090168,1963,11989117879,21024931977
64.032596847,2422,12574676780,20814315627
65.033105015,2139,12636276034,21011207947
66.033667391,2201,12524901870,20997857905
67.034128425,2827,12183561947,19804558017
68.034598253,3315,7108805484,9040284238
69.035102477,929,3194346806,5641748419
70.035592829,813,3098219230,5560295124
71.036074296,890,3136486175,5576278969
72.036542988,987,3121855753,5559788877
73.03702609,830,3222523482,5751342542
74.037762933,8565,11118411358,9022005949
74.830548074,6325,6528785861,4293160807
