time,cs,cycles,instructions
1.000255917,105,4902363,655391
2.00056439,102,5299294,640827
3.000854504,101,4559630,647656
4.001150139,105,4770331,831661
5.00144578,103,4923721,636246
6.001725447,105,5346080,664284
7.002093986,102,4522262,641122
8.002375882,102,5118870,648049
9.002655037,101,4823525,640090
10.003022927,607,337262566,299020938
11.003404824,2753,6325745318,6289950317
12.003780762,2085,6997846314,6450008103
13.00425235,1050,4611696231,5187901238
14.004615587,1308,2458996731,2298052071
15.004965445,239,63431295,37360794
16.005601344,10850,19704420856,13619993159
17.00628021,10311,30128862963,19537863523
18.006915756,10536,30835595762,19855316485
19.007626027,9859,28989730297,19426056473
20.008315851,8060,32762539643,21145796350
21.009007422,6250,33231895453,25677202278
22.009591069,10131,24147242847,26044849985
23.010203088,9069,21042772450,25478118137
24.010778794,7956,20274442743,25360116529
25.011425252,6715,20809410721,26292972687
26.012081566,7407,22993535040,27016792902
27.012725663,7485,21250428693,26692915778
28.013405941,5530,20250656575,26016175968
29.014070524,7256,20655920362,26360499293
30.014718127,5416,18992826975,26646215799
31.015374041,6016,19019290559,28859810320
32.015999063,4616,19385456992,29209206656
33.016675174,5668,19749880849,27475992302
34.017325214,6060,18810072826,25936373771
35.017992806,4948,18520047310,29421104309
36.01864985,5732,18555765551,29195610000
37.019337876,5236,18703186579,27598050854
38.019997403,5028,18679848710,27065229681
39.020681127,5230,18825271884,27845585039
40.021360126,6412,19901863971,26946752288
41.022030161,7592,22181979322,26571340003
42.022761479,9187,23981941231,24834047804
43.02342301,6677,21478722706,25357674082
44.024086008,5879,19188876800,29015607263
45.024740262,6234,19236534566,28604795811
46.025382313,5168,18847319576,28852212729
47.02604786,6446,19616344605,27604972458
48.026710139,5581,19091483476,27089937088
49.027353729,4029,18448958260,27136458694
50.027951877,5097,18772311173,28499729654
51.028532353,5796,19422153806,25733273827
52.029102118,5589,19373358669,25935363704
53.029666058,6774,20021303819,25814456779
54.030257171,6167,19932780330,26355044731
55.030904469,6150,19492260658,25201866662
56.031558531,5571,16802145677,24732168956
57.032220506,6267,17697034744,24798559309
58.032835932,4369,16342643656,24289653948
59.033478136,5013,16918568067,24811868574
60.034036161,3531,15735064209,21479401416
61.034646637,2831,11289056252,17485698152
62.035720067,3524,9976450023,13469189075
63.03625223,17052,16610205258,10392782003
63.368197789,313,93521568,41672136
