time,Instructions Retired(user mode),Unhalted Core Cycles(user mode),Instructions Retired(system mode),Unhalted Core Cycles(system mode)
49.009174684,58372682,96892090,858200,3714827
85.014445783,75371654,68502357,748164,2073606
125.933605198,384941260,545960072,22804208,35238991
88.014875765,78121922,73299014,734407,2220332
71.012414286,71858784,102196222,1111423,3518582
122.020439349,53586363,48937738,715206,2207340
79.013588758,295628251,309553933,914117,2997152
54.009916077,58388982,54956604,720500,1942019
6.001052276,4388475826,4423850016,35900944,60526438
107.017922767,1807095,4143613,150589,629533
53.009768981,59255107,65436092,823587,2399560
39.006197916,45607962,67106290,603625,2331643
67.011824616,58823140,60307647,777634,2360659
27.004338281,96379908,134895120,890725,3021426
32.005134934,60413034,93506902,794120,3078406
5.000851013,5184029027,4413914525,40154221,100781777
83.014177422,94978511,120693957,887967,3077708
80.013726560,60812903,85712581,760981,2849429
77.013298347,298631926,299715830,883042,3184267
43.008262991,57478286,95270556,781234,2959800
117.019547067,57114550,52434416,728238,2143368
125.020893000,137632946,108069026,872733,2470200
33.005282761,60005871,89112579,798665,2791303
74.012833491,58743404,88467967,808681,3127137
99.016493362,100108896,127392166,891546,3187991
41.007994850,58300612,89669284,846900,3560404
109.018297817,1179137,3525414,153991,643129
94.015726988,57888693,93043276,872900,3750020
116.019395985,51981355,72724021,721065,2646265
98.016352793,1829978,4961467,184273,814337
121.020297022,78385854,67809058,766792,2195314
68.011977715,57216187,55066559,732146,2007209
29.004633937,74782811,123082569,857046,3805274
1.000124169,3934934286,3728096075,131342864,218557468
84.014317174,99190165,96196103,778664,2269966
91.015303067,57934841,54203642,756671,2271162
24.003879061,58850750,86026704,836824,3003239
70.012274375,57484137,54418785,732748,2078519
35.005594595,57927918,85543539,981845,3213042
76.013137059,56631708,85869848,819857,2979361
56.010193661,57992932,89718395,803290,3342637
9.001514320,4243045925,4804690343,25343469,55468727
62.011076419,67439649,67833391,783311,2307229
8.001336325,5271545992,3030017496,19561537,41159185
123.020581694,89823718,79737210,762064,2410928
4.000657006,3860894,7573540,776034,2898836
86.014585841,97500065,87993915,740157,2091848
15.002452061,1532057,5073378,142484,653706
120.020133042,67736575,59195421,843812,2418721
36.005743584,68660923,101508146,860099,2895073
78.013447591,57185375,76694656,727632,2355574
31.004959266,112341963,175608990,2010381,6450988
72.012547531,60387156,60488450,795077,2498377
95.015879333,55211288,81555760,791336,2941834
22.003587418,361267723,461424475,1130692,4654801
51.009478697,85734124,106269254,1215324,3731921
12.001997803,2427642477,2512656285,31678981,145960886
65.011527307,50636284,71968947,710046,2423419
118.019717284,53916284,54255690,723637,2206139
10.001651367,3113727960,3483082577,27983793,119721439
63.011221110,82479793,97841852,867705,2889890
50.009325807,78862988,101489025,865498,2997594
73.012686007,59117450,74660921,790322,2915163
64.011383300,59429078,58172668,820546,2629264
18.002972964,356544,2073635,129257,522100
124.020717848,98680052,103986451,1866446,6445893
26.004188095,55785662,84537712,853931,3104142
2.000299067,8322091551,7163702846,65879557,171658922
17.002814119,587653068,348284757,5772446,8868484
92.015446521,56518784,53863261,710676,2051165
47.008861626,59125039,58479314,796556,2368207
101.016799693,55661218,66993824,779578,2641572
28.004481780,74291660,114296063,991455,3489846
114.019097087,144177853,115065904,1758874,4247557
11.001819157,4033940717,3926241563,29099067,126485838
37.005888272,136768633,200488551,1001090,3709491
60.010783999,58414101,59300584,757646,2143581
25.004049018,58552305,92782144,900703,3417413
16.002620937,1128137898,851349104,14733982,22777180
52.009631965,65461101,96898706,858715,2911983
44.008400481,151155880,173443080,850823,3005257
87.014731462,55218519,50879978,707737,2083676
55.010049197,58368115,60013996,748688,2249546
20.003283543,1548173870,1896505118,7904974,24116520
104.017344635,1206498161,1217136246,24205361,73068191
102.016972936,55985210,53310924,718948,2133936
96.016051282,55655161,76925559,829366,2960959
90.015170142,164662171,166117202,1106728,3416557
42.008133095,57424297,59496960,823024,2599775
13.002161871,1652785,5177426,141616,704024
38.006042635,12399614,18283270,254545,1068977
103.017150745,55339633,51616434,709802,1921158
112.018744134,1179254,4535062,142098,718738
93.015584757,79232775,97317651,840363,3043219
119.019924908,53614830,45589256,737089,1974182
75.012991942,133054985,153302604,837428,3143762
30.004797174,57914605,97119962,825988,3572575
66.011681026,9981404,22938795,307139,1267740
69.012125069,87659325,108033064,838921,2689160
19.003126264,1122378552,1029091651,1423148,5928050
111.018605889,1185876,4454904,143798,696497
100.016656319,71522600,69970585,758584,2370489
7.001189480,4630274737,4840532422,16504561,44524743
48.009011540,59442907,62286556,824014,2743614
108.018123840,27808497,24563482,172200,720842
113.018903751,14149714,17053381,521747,1793714
14.002296045,1531571,5940969,159050,811445
89.015022063,55067038,50157502,708115,2023250
110.018462153,1189010,4411836,148538,730773
57.010339491,58548207,87946120,838197,3197839
105.017563257,1802262,4546408,149832,638286
58.010501751,57927914,75772582,837227,3013495
23.003735403,96766680,137748613,826221,3297873
82.014030496,58919701,78671040,773243,2805004
115.019262577,52067864,43024059,754377,2063906
81.013885556,94144629,87290473,834654,2468538
3.000469165,4350455460,3889511610,44028203,74070895
97.016221891,64118475,61569245,712220,2128568
21.003434812,72917067,121120401,2579805,6430268
46.008701191,70094915,98673477,908261,2958281
106.017731937,1214211,3185154,150706,622640
61.010922900,79852874,103687523,759851,2584252
59.010642636,58939870,71394723,776326,2611734
34.005448001,60519015,95113823,893065,3205167
45.008550282,113634579,106580764,789261,2311197
40.007842750,67439262,103387471,872686,3499963
