time,SB Resource Stalls,Total Resource Stalls,RS Resource Stalls,ROB Resource Stalls
21.003344414,11293746,34342784,8527559,1776589
122.018801484,2719864,10249116,5559575,930610
91.013709012,3861183,12441881,6389005,1023126
100.015002263,2259468,4696963,1492465,150067
66.010064956,7700386,19398986,4917756,777646
114.017421571,6971880,26792933,14787182,2321475
99.014851551,2986895,14221827,7620590,1333648
92.013846623,2893018,10808542,5824930,1015031
48.007453051,4166989,15915976,8281228,1864652
65.009917676,5161877,15694836,7204223,1420798
43.006725309,7072930,19951149,6302762,724920
96.014418242,7075457,18858399,5429299,696946
79.011977338,9619644,43540926,20343363,1918972
113.017242497,481817,1203727,609761,35650
61.009362204,6431994,17991499,5840119,573196
115.017614732,1785309,7798210,4659450,669725
119.018270452,2034846,7903149,4580888,609554
106.016026828,81371927,254908276,133650474,12010944
84.012721908,6209798,21965836,9212273,1296647
88.013282732,3525485,12518505,6351998,1207893
104.015627866,3504828,13154478,6870929,1401253
29.004533484,9543651,25444420,6705561,1068663
28.004373471,6958878,18253078,5693913,571838
107.016219172,276027,747530,456039,6900
121.018642700,2634456,10970256,6562437,687991
112.017098893,484720,1223198,633525,33473
85.012868128,3810296,13637515,6791407,1150814
90.013580088,10092430,58525347,29449584,3094402
102.015293634,4165324,15206075,8274429,1104130
53.008191106,3994426,12392867,6208919,912650
3.000471516,164534679,887997545,489369206,54045751
62.009495781,5456225,14194721,4501276,522784
46.007180273,3507530,11788154,6203812,1019617
93.013977994,3252633,12787770,7246757,1044933
69.010520617,6349596,17311875,5761599,569536
70.010652412,3524068,12003662,6426947,968866
32.005013479,11148319,34223582,10752151,1524983
54.008321335,4403562,13355412,6287450,995476
36.005608396,7031152,17651882,4625552,674501
12.001892200,181375659,515494110,248662695,21453193
11.001705002,180148127,809521578,460996528,50577490
55.008495509,3784350,12185795,6385721,960899
39.006079125,10781926,32490505,8725462,1633360
97.014570267,9210549,31207776,10575909,1343044
6.000957753,247413625,857568046,488018213,37199263
4.000634628,701568,3147453,1869447,284354
125.019289804,4036656,15236350,8540991,893605
124.019112016,6722940,32269127,14427034,2229895
78.011820403,3836049,14338247,7780009,1153938
72.010915006,5877442,20966654,8500930,1970715
37.005796834,3971840,13250243,6629381,1144921
81.012271013,7155386,22459882,8355633,855190
27.004224375,7432592,26533775,9711015,1671467
47.007317472,5289068,12881726,3398446,443488
120.018487933,209027,550050,309564,6659
87.013143588,4399223,13487660,5456809,847185
76.011499271,6698401,17656490,4623963,732733
105.015822610,2493195,9315340,5412126,667552
16.002521659,32957732,292933372,170907735,17451239
74.011218237,7002807,20946042,6061107,1000901
58.008935594,7294693,20066509,6645266,673877
68.010375957,5599771,13828546,3450559,512994
13.002043857,660889,1572070,749750,51675
59.009080830,6965158,16654586,4636859,562268
44.006878269,9999754,35370981,11825593,1033600
18.002877543,11016329,58337996,23796692,3012774
71.010785605,3593732,12219379,6311965,1011269
52.008045696,9374231,28040860,9740203,1741760
89.013435068,3062431,11164961,6124549,964368
30.004688403,5902783,17083391,7505444,1563892
94.014130112,7506868,23804306,7036300,1157589
83.012585190,4387732,13754761,5314253,866625
82.012417938,4277791,14749535,6696656,1002955
56.008638019,4162363,13905734,7153737,1294400
41.006416215,5244542,13073357,3924121,457369
75.011348950,6940134,26086947,13207903,1681644
26.004072238,4015602,12255635,5607500,915096
1.000103330,222360566,605545155,302326020,27704401
123.018978570,3228282,11600254,6183320,1020128
15.002322853,666989,1509236,707195,40869
49.007597909,8569262,24528307,7372981,1031966
5.000804453,204722691,1156747903,626957412,85708554
40.006245694,8194699,33097340,9287435,1546557
31.004838766,17741560,56243603,12836979,2916072
110.016764978,339954,771205,409831,12115
22.003493844,5577526,19039496,7715674,1261137
86.013007392,5105724,18411938,9770181,1253732
64.009767646,4471193,14997618,6677374,1230557
109.016564164,319369,884696,549550,7979
125.578917611,35101017,115396878,68274142,5973186
35.005459103,4054537,12799852,6221885,937459
103.015442805,3463976,11635173,5864144,1051388
117.017937668,2505269,10501680,5755457,1120882
73.011081066,6949190,17762005,4918572,623352
118.018086387,2852509,11470949,6111885,1036524
8.001231350,78668056,880749259,639609481,19887368
19.003030946,29326074,283731834,98598170,17186833
17.002716159,6012072,34932881,19706201,2542468
80.012127116,8243851,29515397,12111355,952114
50.007742571,11067970,36382319,12515153,1318579
98.014715234,3109301,11347110,6142731,987665
60.009222872,6413475,14827760,3798902,477351
116.017780779,3182904,13741647,7970565,1060991
38.005932693,3788519,12698891,6768801,1034103
67.010218695,1184474,3119988,713423,167845
45.007030680,8309863,25685924,8097027,854507
25.003935588,4940266,16662054,7290644,1197330
42.006570871,9116175,24340730,6280007,1054897
2.000296972,359874246,1510227882,782404070,76326848
24.003789758,6837283,18664273,4918378,792912
95.014265921,6984622,20290501,5994893,860366
57.008785945,7025720,18877198,5967482,668258
51.007892332,5985954,19198442,8152374,1598496
63.009632942,7078106,18587188,6047355,640006
111.016957033,481627,1268729,654223,68078
10.001507029,164370661,742652799,431641677,47468193
101.015143690,3315394,11341120,5842058,1013775
9.001365047,308900652,935025496,498278192,28478229
7.001090690,199971191,822292523,480147756,39819113
108.016386130,233657,492641,257365,3896
77.011646905,8724092,45856672,28568167,1784692
33.005163496,21352049,143612248,62669880,4385009
23.003638959,6732265,25430276,11135977,1883267
14.002181795,672416,1566894,714041,34548
34.005307537,9245446,25955448,7441535,1080524
20.003190614,63894305,643825093,228300346,50656949
