time,Instructions Retired(user mode),Unhalted Core Cycles(user mode),Instructions Retired(system mode),Unhalted Core Cycles(system mode)
39.005977133,70675988,89627455,896606,2898264
57.039237698,56579451,83244140,741694,2525041
113.047714900,54662643,50169612,727605,1997118
144.052323353,38039684,53267310,476742,1732061
27.004146813,96915230,105590783,793520,2371487
85.043635128,77169882,80321047,738934,2276056
197.496912573,52942278,73578815,885018,3006944
264.507481631,59592801,50158478,770992,2130532
198.497082663,52955480,73503308,792697,2741620
114.047864194,68145269,92894511,805649,2883054
42.006490050,57316891,93262045,873732,3735069
136.051140682,54683347,50384786,755365,2135629
87.043934850,50502829,54160854,595591,1824551
6.000896381,5095065563,4846816574,40566008,67407223
164.491701896,73904768,82839251,823416,2682959
173.493371009,54425678,62013688,758988,2328393
26.004005498,90623931,107699652,877966,2908934
141.051874485,53868939,72778834,725397,2498403
257.506185245,181128300,158811607,2992400,6877472
115.048034295,68068367,85812432,815309,2659266
11.001582031,4007367886,3928475381,28356619,103522560
154.053752807,53788138,74116043,738039,2566415
249.504834342,1746074,4173279,158803,649608
80.042940327,57481846,56885046,724205,2166912
260.506720120,50281193,43896115,699890,2077936
38.005841013,59069615,87288802,891736,3088886
169.492802857,80179996,68977610,735999,2025093
258.506392964,50192876,40284811,780583,2202636
203.497870142,52868508,65738307,821984,2538390
192.496163070,52337311,73301135,817951,2807613
44.006791760,135616096,190768337,932399,4093138
100.045848232,71344469,89328262,742793,2636290
25.003857064,116654747,134758656,864758,3124842
5.000752768,4504555958,3798213499,37618403,81341191
181.494537818,311632581,340503970,977851,3811407
102.046122159,55273586,52150472,756905,2120017
65.040422134,56900120,73955070,796653,2724556
162.491391051,83486301,114627293,896798,3878117
134.050839767,69279928,87968251,771133,2601319
190.495870365,52930535,82225362,844076,3269810
135.050986811,67258381,64130969,2141992,3432027
227.501353994,53346518,48583999,719461,2178267
130.050235248,54243495,49574474,724358,1982802
32.004940938,58524464,84920070,784256,2677853
76.042349090,64003601,89360089,861548,2891927
47.918409993,117588600,143748502,1549790,4938073
269.508336868,51672196,42229654,732406,1994472
170.492937017,89075932,113808964,791437,2920545
265.507645659,51170340,42148850,712246,1914484
116.048169477,66864954,69687084,714740,2153262
22.003394812,74271933,109616537,923800,3975519
238.503012516,61487928,79957441,745902,2668231
209.498755443,100122417,101725917,825872,2628984
186.495290736,53125369,74274309,835753,2925779
161.491228023,33698290,53793067,957820,2628410
62.039977995,56858020,80886533,874013,2874375
72.041746954,64099184,62714969,792033,2292366
43.006645430,58010799,94187318,835977,3431258
10.001432978,3163073563,3518745523,27057106,130323448
187.495452588,194486727,214184506,1028988,3506305
180.494387785,52889508,94416791,821090,3995685
235.502562550,51922058,45480494,702186,2009815
243.503730749,71920687,91815763,757547,2643014
231.501979574,1304535,5240778,139061,680537
124.049341812,54793680,50663744,790819,2385580
36.005550499,68484487,93578607,867462,2754255
125.049484306,72967267,76702666,751805,2246741
108.046984474,34375606,44040716,1093564,2847103
171.493085840,53531824,67031106,734435,2379514
163.491555900,55046124,77015418,789579,2680170
251.505195130,1765733,4731436,153261,674273
152.053457043,54917966,68908529,734738,2309065
49.918720476,91299791,138173721,1246822,3889059
244.503887755,51784895,45424513,707851,2072551
143.052168381,67670101,80728195,1356785,3814607
250.504997956,1127000,2984176,148845,605386
46.007101145,57077482,91186981,868175,3440622
79.042796392,73637745,76158886,747533,2180557
259.506560022,223433,1042923,86893,364038
86.043775953,21619989,23112970,279054,1014913
139.051590864,53835908,69188751,740978,2492087
160.491046547,35240617,40677666,735197,4046484
217.499935839,63710115,63054369,752149,2293541
193.496314123,918174,3331143,160099,632128
267.507950189,73185443,68475905,792587,2503765
156.054052093,53336347,67498593,705932,2266300
101.045988861,55531406,52626722,770996,2170338
268.508136028,52777443,47829982,735261,2022171
230.501805464,51937646,45250185,774621,2281125
132.050530512,84856755,109644104,780480,2530515
191.496015174,52971574,72156874,821084,2772527
205.498171033,162866555,176744143,912986,3376987
195.496610269,54400176,77105487,815835,2770838
12.001720445,3278107282,3194149719,34226174,128538023
41.006336956,58712213,62044744,809762,2561626
35.005398445,307837,2136871,105372,473358
