time,Branch Misses,Branches,LLC References,LLC Misses
34.005578648,571155,10648164,930194,153110
240.373023110,657162,12769269,895844,133482
53.008414659,630676,11492119,912819,184501
64.010003994,625894,10581132,1106585,211733
123.355892127,484304,13136540,889571,177994
166.362089268,714486,13417350,1041764,129132
83.012829622,668541,11488526,1117148,165830
23.003847386,545745,10282641,1064959,247257
113.357775097,607168,11201266,1191454,186206
142.358641465,522239,10321271,892551,192039
249.374665350,52326,223813,95257,23646
220.370054462,980923,21606126,1265254,142881
125.356223116,2508573,64826267,4254463,477097
237.372597238,317043,8699641,576925,90897
90.013833186,589890,10946917,934253,311587
56.008845023,639140,12133472,1276074,166564
178.363741691,541561,10580574,951639,137265
11.001826787,31906304,635818229,43389812,3023236
100.355850508,695186,13160072,1013051,151091
44.007032607,1322477,25209972,2416369,392719
1.000110010,46238886,741688322,45028944,2923160
57.008988911,592243,10601743,1086633,153221
94.014391873,514214,10245364,839705,133977
97.355400833,1654001,30873369,2103159,245344
124.356061677,146869,930208,185204,22704
133.357377570,474572,9962118,859990,130646
50.007954386,763361,13275531,1212250,161444
37.006029791,567127,11141037,939194,177227
228.371268515,429075,9697099,769843,113052
9.001498372,60117897,777753480,54419758,2642071
129.356818214,2366698,62055567,3505323,212306
223.370479064,605254,12261461,887270,130002
92.014117829,1045713,18402813,1543019,164394
243.373540322,425706,9586885,756776,94888
224.370642743,929467,18266219,1021494,133670
93.014254429,526388,10167783,1033374,135179
212.368930972,430936,9698819,762137,112497
118.355202188,511318,10022753,1002586,107956
111.357450597,508305,10216055,833496,116686
179.363893310,523071,9990766,1105263,284505
7.001197056,57510279,895613046,62505109,3032617
229.371406588,419328,9630998,759866,110508
14.002310822,61080,303311,97298,23450
102.356126606,512628,10075659,967341,113658
29.004814071,179438,2881312,324653,44212
122.355747904,803316,14820169,1117845,137156
71.011090652,573270,10712915,870781,142367
41.006604818,580462,10646850,928690,168978
146.359228323,506167,9848925,1078865,138414
112.357607754,605010,11511764,878852,123991
24.004001340,561849,10327895,1157258,197271
