time,Instructions Retired(user mode),Unhalted Core Cycles(user mode),Instructions Retired(system mode),Unhalted Core Cycles(system mode)
175.027266926,53253995,48388162,751470,2150092
111.017363819,55602919,52228547,724274,1966449
40.006864847,58504745,79745821,817534,2456767
151.023233537,53680957,85968383,793457,3314281
52.008685287,58661545,60053447,757075,2357847
41.007020090,108615956,152168782,1832169,7885143
80.012837231,65468689,67706386,801722,2563397
58.009591947,58157260,68201872,751797,2209388
128.019777660,59363782,89495216,827428,3356477
170.026432732,80208254,67804487,748016,2059571
75.012092532,57389168,83152951,733552,2499104
21.003316098,6954480,20434713,1242503,3176728
132.020372801,54490600,60204883,787590,2571259
20.003162856,1543872071,1430798586,6118715,13141548
7.001034674,4639433712,4585353184,20537708,53289076
118.018372304,55401111,84548758,828590,3203680
87.013819219,127213776,140256354,755617,2204292
165.025585942,217312321,196750712,3172835,7237084
36.005612148,58149126,97176882,863837,3707398
131.020217570,73489187,83267696,890701,2997495
24.003781122,68564342,100599842,890435,3085133
120.018637424,66782753,88923419,793334,2694186
68.011076097,64788349,61182313,755899,2077932
117.018225659,67216606,74621509,1404879,3531094
135.020877606,71024123,118794112,868627,4144245
106.016654193,54818998,54357781,729764,2295546
144.022232405,61936622,93698997,893781,3547175
158.024454573,1783940,4573789,148781,620094
88.013965296,56705594,55183358,750703,2156483
142.021941192,16545545,26540326,369476,1539103
9.001324998,4006021469,4338509589,17458619,41093452
65.010659588,82883524,122576595,978791,3579757
69.011206728,57543140,55073330,739697,2029293
103.016246674,65374981,66206153,745201,2323764
17.002669075,167463418,141636629,853403,2513734
113.017666874,54992006,53163032,728648,2019359
23.003625210,59006857,101349413,868264,3556839
107.016795980,54687613,51648914,735860,2065227
133.020567188,64418024,60416553,757438,2200644
1.000111893,3777326449,3535995071,128212635,207730231
8.001178125,5346772557,3352973660,22449929,47933377
152.023388291,65561206,111034288,1524555,4689439
92.014608018,62389967,61729741,767361,2477170
63.010353262,58398056,93680581,807168,3036358
153.023551672,56506817,77885806,744420,2550032
79.012699148,58795983,61992503,742375,2393005
26.004092590,72241426,105378965,956466,3265574
115.017941673,54989154,51559933,762771,2055707
57.009424783,62187437,91986311,796999,2774263
30.004700636,61116090,94693495,880800,3119451
37.005768905,58735976,99479900,847920,3680532
137.021176302,78801243,115916274,894268,3815445
70.011350707,57369164,54187566,736420,1992598
177.027623212,79317090,75635239,1199489,3654415
77.012417226,272562827,225950465,785094,2466801
145.022378852,54154118,79644736,858485,3303460
12.001782420,862703908,882123163,5435473,16338224
171.026658997,75362187,65698247,850266,2331288
99.015605329,157512637,136658461,833886,2426227
122.018914367,54589885,49765361,704032,1985944
102.016091391,66767072,62170228,738506,2053730
25.003939140,56565257,81997503,848385,2894252
51.008532839,77814603,119070511,851536,3582297
105.016522972,92587336,100780375,860979,3018677
163.025269627,1167067,4468833,141809,734063
73.011810974,60016933,60275471,744438,2131478
164.025404537,1170076,4501076,142021,717108
71.011518358,25888041,34886027,359608,1186188
104.016390578,83104686,115184432,880083,3252116
166.025779506,61259990,51855712,809738,2314069
64.010510268,75423379,118624758,870195,3451158
97.015296199,55384820,51538429,708346,1978828
110.017226145,60579477,59250444,745964,2069082
78.012557484,56617667,90398927,801432,3291135
100.015763769,75999003,84313365,791207,2325535
176.027451111,53839377,45910246,814102,2219719
146.022505089,53701033,83594298,843315,3202767
160.024807484,1789439,4312267,152535,637257
62.010221791,59284473,84587338,779635,2667049
3.000453428,4695172223,4173281822,59941905,87290683
138.021345649,54292170,87216399,904319,3600103
28.004385196,73781200,105916510,980919,2991554
89.014141379,56030375,52797874,722755,2099201
156.024094363,446151434,425114813,8183901,25028885
93.014739562,55346162,52380310,715035,2066388
43.007317957,52677314,45665552,666871,1720153
49.008230015,59004797,60383719,800495,2561782
91.014445150,55409299,66556207,812032,2842075
81.012981966,277762351,277043728,1331329,3753352
129.019928367,81677357,128445097,858811,3990175
29.004540620,215163470,231641797,1001528,3662949
130.020074826,71228782,109405818,830346,3615131
114.017810193,60532210,58989541,727249,1985855
11.001629783,2966941456,3083113529,38235838,135943508
167.025960391,51787185,46696435,793526,2435914
60.009891752,58399684,85646961,762788,2496870
72.011654775,32381530,51069927,526621,1942445
56.009267016,58208248,58973343,780216,2184648
108.016933968,50525597,42165132,632107,1591189
149.022933303,63333990,85672247,833865,3149522
168.026112399,51353210,47612624,708215,2081002
101.015924925,111747227,103000687,772383,2256289
124.019205491,54431627,49368353,712122,1963422
173.026980487,54361571,51684979,736844,2176055
109.017068842,4095810,8628337,188428,781862
16.002497856,2094847977,1464583435,16366433,26874497
6.000906552,4283315030,4494787870,23914640,42699072
162.025120516,1166691,4395630,148503,736018
14.002101435,1536901,5846032,141808,728238
84.013378304,70552493,73139248,754331,2148013
27.004240187,65372042,81804873,834202,2551844
15.002281512,1537345,5280893,147562,707858
5.000782667,5851567740,4959615439,50156108,126230086
74.011948963,118533213,137666878,791260,2886467
44.007464397,5089325,10515770,163076,659879
139.021488349,54264789,52174720,726097,2253015
123.019065895,56060788,52162864,735979,2075029
31.004865641,465530599,424988817,970989,3251456
95.015034163,59950973,56710197,761843,2091891
59.009737997,58860838,63603324,800554,2339475
140.021626345,54307147,83257837,737875,2784142
18.002833666,878616890,1128832845,3095444,10729659
53.008827935,63479057,100438960,857816,3467018
143.022084039,54211276,84331269,805963,3256000
35.005469167,73993165,103256437,944361,3448282
66.010799432,57498831,76559343,779146,2812218
39.006068424,59582277,63897304,853334,2630907
134.020727815,67876384,103433133,1464339,4207553
141.021798211,55798741,76452054,534650,1976783
47.007929662,64843046,69259714,776782,2314505
55.009113037,59073782,94687055,911108,3365072
67.010939054,57484004,96885382,874915,3514432
76.012263211,128532048,115122493,765872,2247235
50.008380577,160063840,222923885,866905,4007156
34.005321207,58638868,87308823,863426,3185328
48.008087722,59073154,58502012,758681,2125757
10.001461996,3703972905,3893943033,29612306,113588432
32.005024908,88879722,124240850,817250,2800821
147.022648973,54122912,83360121,820017,3071785
126.019483246,131448815,107485061,801255,2380195
172.026831825,66360577,57047641,926004,2360689
161.024976378,1204044,3820080,145641,628803
127.019635371,54548846,83205668,908000,3131711
112.017508514,54982259,51207881,714918,1972986
159.024631910,1183566,3198355,154867,629521
90.014302647,59056233,57295505,732037,2254657
148.022798156,57860907,70832406,910319,3091916
154.023728586,55526360,52950634,729262,2205618
98.015454784,74731529,87100787,1288565,3389236
116.018091364,54998590,51997257,728281,2294343
33.005188086,100261686,105181112,788109,2367741
45.007609708,102638330,128433198,850573,2718705
13.001943107,1808342,6544732,151205,750402
155.023909092,57884834,51503928,784988,2151283
54.008969663,58163045,75083561,776463,2379535
150.023080753,54141098,89077646,810786,3523448
38.005915637,58800381,89894670,838933,3140487
177.430045830,377567727,549630983,31351819,40463778
96.015172017,56232551,53977614,821847,2218317
4.000636286,4999023,9119621,1172405,3749040
19.002998951,705342195,807545684,1465639,7267324
119.018505558,67862372,76731041,783679,2549615
86.013658103,56074343,53075288,725927,1942598
46.007760765,84020918,115870710,2177531,4964739
174.027127148,170807104,131623545,754385,2190066
157.024276908,873657209,889906785,16930704,49036161
2.000276480,8222918998,7102392918,56311714,132730736
121.018776074,322094576,244742166,783461,2297124
61.010041037,74726552,93990349,1132919,3438771
42.007168952,59613415,90456928,825295,2921423
83.013247298,59863995,64175996,793602,2271100
94.014871969,57193996,82933955,808991,2863804
136.021020951,54411798,77936696,851642,3428229
85.013512919,89486526,89992279,834289,2404944
22.003470436,147692131,242270285,1651775,8662000
125.019342305,321318706,244213712,848629,2517270
82.013115437,62399192,59066317,721572,1939387
169.026267778,53058695,51113242,729852,2126370
