time,SB Resource Stalls,Total Resource Stalls,RS Resource Stalls,ROB Resource Stalls
171.026896182,2770778,10951872,6019197,1031371
19.002943498,44709287,432067332,151809362,32030062
83.013418243,4111944,14054087,7115018,1129731
76.012377818,3226074,10730242,5474229,844227
142.022147171,7880550,27444046,10227346,1090554
163.025595635,329152,832549,457271,21308
9.001322420,320430795,960757689,501513764,30334326
127.019844848,2897740,10592490,5729866,955311
144.022445916,1558940,3132398,1147204,53574
101.016062663,5738886,20715216,11026281,1321665
42.007226306,11338553,33611035,8183768,1909830
143.022304878,6570804,24377171,8498352,1073681
56.009338510,6217488,15498544,4449148,665612
59.009785112,8366894,23192794,5723378,1063682
109.017217864,1865328,7777494,3705817,797446
2.000264883,361266250,1536846621,793046731,82812870
174.027441534,4848190,27950839,17697353,1275409
120.018833127,3763634,13136982,7076856,1032026
82.013271310,8707959,28238553,8697031,1543179
108.017077929,3048947,11287253,6087840,1012833
60.009942740,4187380,13088214,6625762,1010781
89.014296341,3713089,14728666,7909431,1209014
55.009195322,7593154,21462788,7600166,1509117
77.012561008,9078675,48879228,30900322,2061105
121.018984743,5028139,14836812,5274515,967079
80.012982571,5435399,22102662,12530232,1310853
64.010539246,4726344,16006793,7574956,953025
145.022599834,7506639,23794442,7751715,1011193
151.023520279,7581502,26208158,8161561,1321633
179.409564442,36492103,123830736,75532644,5682455
84.013570816,4106864,14076775,7367166,1127557
176.027707784,2967227,12338633,6911520,1111033
106.016772505,5970918,20232500,7360603,803317
12.001736786,52024102,211891801,130153136,10854470
25.004634459,4631507,13132497,4845754,917357
139.021696040,6924608,22492530,6311557,1170352
130.020360105,6375690,23418722,8975847,1086203
47.008007986,6419431,14707277,3666836,497316
57.009497389,5074243,14147461,6120179,1048224
162.025413285,302523,871249,553915,6862
170.026756902,2429411,10417661,5678006,1123972
66.010841219,3765593,13723660,6819254,1047147
78.012704336,3802838,12464005,6403230,1049245
129.020219285,5017084,19032965,8841410,1266883
52.008764639,6747338,21217854,7324936,1333065
32.005693389,8058572,21813457,6150583,777308
73.011927444,5092059,17974602,9588769,1240264
169.026610001,2837598,11033094,6048826,1026364
51.008613894,9063891,25226025,7787813,945800
154.023971075,3329453,12307322,6497305,1184387
113.017790521,3412118,12185959,6378999,1013053
159.024870519,25247105,78026818,43088732,2950531
36.006304876,7892715,23217963,8206315,1521296
71.011628869,4088902,13175411,6470617,1097982
18.002780743,28535523,217952257,76931137,10735479
67.010977143,8910287,27637336,9355510,1523748
123.019274017,4758058,14714071,5442133,460161
172.027072990,2237801,9425709,5708848,668990
61.010088347,4406643,13641177,6837608,1054531
166.026035267,554995,1502149,775171,71232
95.015178603,7611388,23320774,6874880,1077353
102.016217585,5745290,15539272,4782030,604172
135.021098538,6270824,19466555,6803517,740251
13.001876946,1029834,2471968,663018,134059
14.002026421,686466,1539730,710047,47598
178.028010988,2137955,8689148,5083181,699133
44.007520694,6561541,19097489,6441774,1210200
133.020821288,7570679,23616394,6952176,1068577
29.005225599,12808258,53595803,20469058,1650718
141.021990885,5977658,17624010,5798458,701436
