time,Branch Misses,Branches,LLC References,LLC Misses
34.005244617,579979,10670130,877974,124573
45.006884113,988738,17721846,1530048,182516
92.013977546,718119,12654367,954624,135036
130.019654218,995051,16607293,1550312,344456
9.001301806,59102225,779463115,52984557,2835041
19.002929945,4149923,176042022,12893706,2324974
103.015528898,13997,53232,26360,4524
168.025981107,467851,9765340,795663,100488
26.004027407,742796,13362950,1305393,224509
152.023216352,55400,231001,91129,1330
110.016620138,518903,10208903,836582,114849
14.002089688,58235,287624,93783,23111
24.003737908,674738,11750953,1270431,194398
165.025511952,460973,9723600,794331,76518
65.009943890,666395,10708846,1260981,168473
51.007860670,812526,13549737,1188931,241254
163.025093464,641441,11926802,903082,112090
101.015252999,907060,16976839,1190358,150233
109.016487911,495670,10038877,829509,118684
133.020128270,677266,11863761,1220954,227738
171.026553942,4969124,45553905,6240995,340533
107.016172268,654298,11846807,996138,141759
140.021198187,547035,10332653,1138157,227679
127.019194063,2440179,60694330,4603994,805758
102.015392596,540667,10595414,876125,124787
105.015865045,886459,15518043,1061227,132068
164.025303811,474053,10186954,808558,95138
59.009031884,582596,10597960,853473,120365
49.007553683,671402,12199708,967109,151658
128.019335863,597775,10936834,1208648,236480
47.007230237,580397,10553277,1091007,164363
83.012666108,744453,12924834,1276065,149739
121.018248764,548487,10155519,1122911,226979
95.014435256,853127,14944334,1097501,150827
87.013269540,551929,10271123,1033289,117222
142.021497841,745799,13674392,1075373,193147
40.006131832,584586,10559219,988181,176599
141.021343174,534143,10012605,1105515,270168
171.217423451,3883689,48406813,5061710,398347
50.007717502,1320908,27723977,2005530,311036
61.009337086,738447,40798890,1122660,230953
136.020579392,624822,13194958,1131982,255919
57.008736786,647200,11134837,1111958,139532
139.021047404,492191,9995236,859858,127140
131.019818637,675435,12710230,1014889,189656
143.021649690,526774,9994177,1072880,205159
154.023602914,55268,231259,91167,19334
17.002592237,1681372,31024185,1792686,140868
3.000396636,45117190,935447151,63929576,3591041
5.000744946,38167118,949887523,56585530,5203510
123.018540903,544473,10063589,1149594,301386
10.001433174,34395750,643337687,50788168,4413264
80.012236137,1326195,23249592,2184936,288782
79.012100936,564603,10496733,853250,123325
76.011617504,631464,11444811,935528,144762
33.005086276,1000223,17786064,1493469,201626
