time,Instructions Retired(user mode),Unhalted Core Cycles(user mode),Instructions Retired(system mode),Unhalted Core Cycles(system mode)
215.130110545,780320274,819126430,20731467,61865828
35.005580494,59995384,84436073,934188,3320645
27.004380033,54463946,75193038,838305,2827439
226.131999314,51510634,43952542,851659,2360515
207.128817879,52296627,44747855,760189,2122408
175.122605699,54426777,51756664,749234,2314809
222.131314667,1102685,4271220,144570,730924
111.109418834,55744883,53709866,769533,2178120
34.005431612,97053429,164462882,1333463,8150474
133.116410716,53948963,48194886,716151,1933561
55.008704373,1313215,3509966,137540,567001
135.116679305,53896576,48613463,719480,2004201
213.129756440,53349047,47820666,728872,2088336
128.111780298,54320303,75846014,823189,2721272
101.015662161,14743494,20820232,200763,821826
238.134015048,632379979,732704898,14540661,27014676
185.125193573,53400248,63964687,769655,2200446
143.117881076,73935735,100951579,782672,2969751
65.010311845,53253060,80084571,844015,3190200
60.009524517,180077776,162242491,2160602,5681537
208.129022153,51821182,42419337,732000,1973816
145.118166601,69990385,63993256,812865,2349596
102.015809196,284793404,335389463,911621,3222874
166.121292518,53519708,83067165,805625,3318142
54.008516342,1954253,4522306,173999,665190
48.007419224,59702820,65507864,753041,2264480
163.120844132,67771384,61865388,752368,2248412
75.011821018,36455487,44104980,371597,1366479
122.110916167,54140070,53084569,726014,1983181
40.006333835,57629329,54129924,749946,2192172
190.125940052,53345822,46537466,720980,1826831
186.125322755,52967226,46911822,710662,2006414
146.118314028,53924469,49112040,704025,1912623
70.011070181,70969781,106046024,930732,3468701
106.016439142,54908642,50315068,707792,1976485
202.128070503,63565006,53086483,763253,2079476
155.119667114,94191325,116867478,856484,3057002
148.118624290,54524111,51954744,719656,2030445
165.121145175,54433638,79385431,867657,3300209
58.009149805,1305593,4833874,141757,645642
57.009015405,1305598,5529040,156668,795729
73.011527771,55561301,74454830,842882,2754530
29.004700959,90043368,131813850,1139115,3740663
100.015507833,73124253,91127516,777871,2755315
82.012852252,55638151,55957677,830372,2326175
204.128343386,50581246,43789256,709378,2010549
198.127346816,1102715,4287982,144642,708857
68.010783905,183230185,250962863,1026302,4011403
74.011683300,56937373,54110627,772643,2282280
212.129604473,52071113,46087938,719658,2158037
164.120990771,54498457,71439961,753279,2526933
56.008875664,1307226,4474967,144690,605067
63.010026892,54301715,93022196,865649,4071360
191.126135076,719051283,779771304,21364269,65704103
153.119388704,53737016,48078408,716377,2055361
174.122459817,76109380,130232510,1810224,4407048
206.128637032,50943671,44228294,717861,2064754
39.006173180,148894814,181948106,843609,2929123
26.004242025,54610265,77571787,2775080,5178478
236.133689117,52615393,68403595,712129,2348029
