time,SB Resource Stalls,Total Resource Stalls,RS Resource Stalls,ROB Resource Stalls
45.006842809,4156653,14547826,7526224,1402436
230.048818914,2945035,12934180,7015598,950328
187.041432795,3870569,11233575,3578635,437104
103.022673273,3061800,11229571,6032647,1004356
76.012099367,3121937,10942572,5796272,953005
231.049017408,1769334,7389585,4340642,643325
236.049807989,2716315,10753316,5826808,1063994
85.019983127,7013606,19129987,4706777,862332
96.021603677,7455453,22073729,5603932,1089092
213.045890643,2329536,9353578,5170822,934218
93.021149307,9287099,28676281,6979807,1557694
198.043411158,440577,1135031,572854,37296
108.023394107,3697512,12033197,6137423,1020497
181.040544601,8807040,86614852,66589325,2312768
152.029747430,5945764,17187783,4341464,774831
127.026155985,6225249,17502287,5189457,666412
12.001710395,208718850,829653623,451795134,45731475
63.010119003,6582921,18928624,5190668,776583
131.026715161,2895379,10723125,5790772,971662
78.012410047,8409744,29687180,11566441,1095897
132.026846418,3942212,12580275,5091316,1001787
62.009967070,2000673,7936681,4606654,632962
74.011828292,6103579,17195156,5211555,649604
144.028631202,2041742,3918761,1222206,51367
27.004095069,4712937,11551902,2827760,400022
91.020847847,6482583,28074689,14953552,1588650
166.031818717,5232767,14703287,4485521,793764
125.025873000,3151266,11039952,5747888,990411
199.043557751,683353,1351285,456344,22410
153.029898964,5834925,19238548,5840339,899074
10.001407456,178485499,753699411,416446316,43505824
202.044092158,1611965,7967138,4940188,602351
191.042160581,59805390,160728811,76016357,7023094
13.001886353,154972992,605026002,357286665,22364027
102.022520163,9717659,42980147,22014998,1189872
222.047470454,438109,1139373,589298,37260
226.048171164,2259869,9532307,5230666,977325
3.000441886,171392156,931130374,508865946,60288725
165.031678473,8015530,26401362,8345382,1192964
26.003943386,3620560,13451686,5795072,1078604
92.021002158,8719832,28337794,9670366,1195724
18.002670331,13793910,167864165,82105634,10468811
82.019527758,4087426,16675280,5284144,873359
217.046664410,259522,530972,258442,6679
11.001539988,224345494,926608932,496968117,61828702
75.011963989,6011059,18365452,6241226,772559
46.006979022,4422792,15082989,8127730,991207
218.046821680,204897,417577,205528,3761
143.028494864,4602899,19472836,5683975,1347635
112.023950297,4528589,11844468,3069151,496271
42.006354406,5018000,12539867,3828223,442435
156.030370657,2869338,10834830,5761484,1096857
123.025583759,2960847,11016329,5992866,991154
84.019829737,7187361,19599668,5033005,888667
129.026445848,7000246,21544221,6567832,963625
158.030651901,2765358,10054069,5373784,926515
220.047171954,327618,746485,378032,16712
173.032832735,5043426,13214084,3292770,522018
30.004568565,7877914,25465706,8239817,1457086
72.011530686,4453723,13142566,5675801,984186
17.002495046,42944791,255396196,121818523,9864825
97.021761124,3726691,13247027,6432488,1123476
190.041951000,2579950,9864799,5381959,912187
214.046086199,2187189,9335374,5725528,633700
77.012255169,6703528,18682104,5297696,756616
196.043075975,312457,729239,388790,12996
122.025430083,4508937,11210274,2729002,415679
110.023677073,1699032,6003946,1321438,374274
41.006223068,3544752,12742447,6718766,1278252
100.022229078,6084015,17343149,5410756,776392
215.046282065,56166360,172157452,89668126,6571784
118.024849942,5699907,15646986,5004926,574526
116.024552027,5004685,21486807,10161005,1264913
24.003640052,6951820,21303203,8438780,1811972
73.011678158,4376667,13444277,5329265,881672
176.039817986,11071553,63444921,34051295,3781980
121.025292264,7698803,28855167,12175249,947336
195.042877208,226860,485709,251059,4767
157.030500290,4099302,11874526,3797067,468676
210.045415713,2508622,10112487,5541695,1009617
8.001132614,82306570,920938004,662996419,23186434
64.010277506,12058508,45127122,15444794,1652110
83.019678771,3164694,6732859,2032948,224248
221.047313213,435675,1144907,595265,37804
171.032548940,4605136,12513054,3839342,675115
200.043730822,5311973,22911141,13762843,1654807
151.029589623,2763658,10608801,5791370,1010122
186.041293334,2520178,9890354,5444615,961709
109.023540558,3198562,11423157,5987115,1024897
150.029436357,2662732,10177390,5604425,910116
48.007291361,5642196,13000034,3506472,418128
203.044250634,2158471,9294761,5278234,928444
142.028334164,3196997,11338086,5873656,1008284
175.039672192,3095068,11018145,5705324,1029965
4.000563732,428520,1391588,782668,92103
6.000845546,235734793,856722443,455335071,39474473
232.049194755,1862465,7873851,4683411,616722
133.026992386,3082704,10819051,5577291,970946
136.027440294,3029703,11202345,6066837,1011160
14.002057521,632023,1559912,799284,44695
235.049628309,3019793,12804192,7281179,1108353
179.040256942,9753154,54753393,25456887,1990706
33.005058398,3829248,13549664,7429362,984155
194.042693244,202195,426823,218890,4755
69.011131626,7241167,20983305,5416329,896893
5.000714196,200167034,1121656168,594116196,84321866
155.030212445,5265877,18268153,8409681,1199857
228.048471974,1993108,8810289,4938197,947873
106.023106078,5828709,18864904,6644868,1226354
159.030792834,2702409,10130904,5487531,938384
223.047632995,692644,2457223,1174602,133271
34.005203730,12784354,37920277,8816537,1878526
67.010824428,9035463,30978887,9664202,1193322
163.031403260,4333710,16156513,7318569,1410171
120.025154870,6909865,19999505,5744404,825230
183.040849934,3689707,15421239,8924253,1078985
1.000092332,211502400,579845228,292251360,25335864
161.031105553,4812204,20287823,8346881,1994186
88.020405554,6946459,17779932,4437447,711581
178.040120974,3418650,12450616,4300128,609660
95.021439839,6785195,24858901,9962283,1121939
61.009769346,6448420,20790633,10866660,1273041
128.026307061,5651849,17656211,6825439,550858
224.047819555,7058438,33845657,17418554,3273781
104.022817198,6593314,20156345,6288374,843806
25.003788368,6406590,18146553,5391172,668220
37.005647108,8313140,22544282,6072486,906960
192.042363669,221231,471053,241249,5147
