time,SB Resource Stalls,Total Resource Stalls,RS Resource Stalls,ROB Resource Stalls
74.537120389,54735555,225876929,139033974,10640022
40.006180038,9498879,27281417,7683087,1225251
17.002696719,4625422,22343117,14150208,928850
6.000943678,218948792,838029883,490577973,44101002
74.011325755,3534233,13398616,7865886,734888
53.008143648,4970509,14693460,6929889,1089164
9.001364358,308240038,930212840,495191454,30657796
67.010223730,5147911,17118290,7079081,801386
3.000469114,167875053,965721896,529562616,67731838
2.000299742,366103355,1469826365,755525336,68914107
7.001088444,231650891,880763577,503496855,40549224
39.006022912,9668892,30257315,10709599,1117091
10.001503125,158219332,762887910,447940883,53633196
50.007668634,12990584,44723909,13852461,1805813
35.005445080,6664004,15630048,3792267,586512
56.008598084,6358504,19667593,6804185,1260395
73.011129701,3449448,11768911,6239228,1020062
68.010360170,7037190,18893005,6292467,641371
34.005302425,17663615,98653608,39067798,3106849
58.008904953,9264830,28761099,10702206,1006124
26.004113496,6474392,17888665,5191273,689474
33.005151649,10696727,35170219,11799529,1339311
30.004683433,9801949,27125584,7506050,1211425
52.007990804,5133453,15128756,6609597,1079369
25.003963878,7889365,21508599,5022980,1067985
38.005865616,7562396,19881995,6040750,720954
32.005000508,7251593,25757678,10958267,1920791
55.008448454,5914201,16224153,6713997,1056368
49.007516642,9674314,25844357,7324040,1005183
43.006621631,4541378,13956347,6518289,1130421
65.009900525,5217727,17161652,7388931,959765
64.009756084,7018151,17741378,5170356,640574
20.003211014,54358330,536155373,132653550,37566367
23.003650832,5691017,17517727,5048309,762237
29.004546822,16983227,80331806,25562266,3239302
14.002072362,863280,2388869,1217783,122839
45.006932354,769397,1614295,560702,50088
19.003035503,29522371,290290134,105217911,14398657
16.002485148,45526278,413491078,216546240,25838076
15.002284092,717468,1561561,688208,47435
42.006478819,7568803,21720946,7045715,1188927
4.000656109,500667,1682386,908539,131049
12.001773930,39635075,171876942,108008665,8534899
60.009173749,8749428,22649782,5696812,973795
5.000802751,195401806,1059584698,556253298,77645517
24.003802063,2255119,4153451,1277466,53157
41.006325856,14944431,56083561,14810562,3008731
1.000106531,209712225,574904748,278916956,26199154
11.001639782,226574322,817596462,418234823,45571905
72.010942240,3585798,12625775,6848359,1039893
21.003365018,13770646,54533980,14808053,3349353
69.010500555,5411660,13142760,3520312,457619
31.004838741,9155150,26029061,7938749,987014
44.006767497,6358618,19266540,6387499,689788
8.001230596,68141919,903724835,661912160,23669282
59.009032495,9505380,27259143,8011118,1167422
61.009323789,9596755,26028480,5412913,1284175
71.010807325,3248485,6769156,1816598,179779
36.005591178,3736010,12160287,6232506,1076985
46.007074947,5211704,16706664,7850644,1183924
18.002875512,50413043,461636208,177700600,32217846
37.005733036,4614871,12613619,4631996,693282
47.007217614,3618035,12116383,6356202,1011943
28.004397722,4370697,17441590,9449381,1846407
66.010064259,3904950,13487010,7111834,1132526
48.007362833,8131137,22458310,6022646,928312
54.008296642,6667429,17816200,5815414,575604
22.003507183,8007330,22672156,6039599,1101929
57.008765779,8297070,23016487,6786027,903270
13.001912638,736799,1991726,936929,134527
62.009470828,8141268,18732072,4469621,724076
51.007835224,10358119,33912093,11834256,1325230
70.010635806,1877974,5579139,1402264,280324
63.009608075,3784388,12297987,6274049,997978
27.004258397,5262027,13114174,3212395,519289
