time,Branch Misses,Branches,LLC References,LLC Misses
37.005743598,596285,10859808,928985,163308
23.003638468,597775,11086373,1345598,225883
73.011310625,579164,10638111,854968,94082
22.003491653,261391,3693027,544003,145922
53.008190839,680880,11621412,1129015,139566
20.003162644,5767459,248697561,15798282,3568870
9.001348597,60041127,827868594,57155854,2877005
25.003908942,514424,10360052,939771,110595
19.003005098,5034812,232642476,17132773,3147207
11.001658929,33709867,662112802,46459629,4690491
5.000751279,38433245,911641707,61625731,4978481
60.009241119,735211,21784134,1274735,246238
65.009996206,625517,10864883,1084069,155485
3.000413469,41699210,852023998,59686448,2969032
35.005436871,576619,10601913,963638,126766
24.003766235,585762,11201147,1196545,164088
57.008803829,682547,11446545,1213477,264757
26.004061945,715528,13295840,1171297,141597
62.009550415,575234,10597695,841804,113315
58.008951086,641127,10676304,1222132,213752
68.010434845,681182,11040498,1002853,89729
61.009396126,657695,10898918,1238225,154871
46.007063834,575125,10950123,873360,114121
13.001987888,62693,338167,106610,30050
21.003344197,1000415,24810084,1729279,671170
41.006308645,1084475,28402847,1896327,483716
7.001060962,60291213,822044839,56577431,2642726
50.007756679,1647353,30379775,2433658,361626
59.009092499,643354,10730751,1136396,275429
6.000913901,46826066,883005779,61434174,2960019
1.000104103,44198073,722084145,45275035,2936038
51.007891672,853770,13534942,1521963,291303
38.005884969,640727,10820779,1243317,285887
29.004528125,2428304,44270476,2905743,565033
52.008042000,605295,10717298,1068695,196907
63.009703362,653825,11058282,1230245,153313
48.007383868,651758,12246713,1175081,208655
30.004697585,660783,11362314,1308646,307011
55.008491171,606335,10700469,977418,165787
70.010743456,576212,10487638,1018012,107047
54.008340662,635823,11040803,989176,141322
43.006610022,190508,1087173,289794,43228
66.010141481,568842,10585088,851464,117583
28.004373029,685953,11212656,1288405,199291
71.010924427,589499,10567045,1018519,103183
42.006460476,425316,9488354,909623,173379
47.007213272,611773,11245093,868319,121507
36.005587866,574493,10682369,895816,113984
56.008635285,635162,10757146,1093519,132454
27.004211323,836697,15390752,1272599,161583
67.010296227,138317,2875407,254425,55582
44.006761095,592390,10552129,1136379,208358
31.004839210,835817,13844910,1593549,294678
8.001206790,13057340,946248336,44745711,1546018
4.000567439,142954,931068,244399,25604
33.005147496,1098612,17923008,1751839,290888
39.006031740,767953,12571133,1382683,284224
69.010604434,687377,11702750,1203169,127500
45.006922454,1261502,20960373,1769955,193461
15.002306434,57986,287469,93553,22418
72.011110571,583603,10753884,889347,123251
40.006172520,627826,10678648,1197002,232797
14.002125993,57638,286831,96085,22111
32.005001377,1013611,16425422,1672851,296146
10.001500009,34927590,627065899,49874380,3971676
17.002669738,2529155,46715242,2929453,243760
73.605093458,13043684,187653979,17069507,1016252
12.001829807,12589614,218410881,14878568,945611
2.000279944,79752188,1515516072,81802210,6436981
18.002830883,3499047,111473371,9246928,1347298
16.002494251,10399498,391291113,21459988,1590458
64.009846720,1257698,20597831,1563121,251555
49.007574824,636627,10711904,1207309,283902
34.005294532,2449474,65476023,3645095,262272
