time,LLC-loads,stalled-cycles-frontend,LLC-load-misses,instructions
1.000117996,19232542,1877814419,736976,3854475864
2.000280801,55820934,3500902100,2505216,8133491260
3.000452918,42335893,2162590503,2122454,4905238624
4.000586544,97624,8018840,6975,5358157
5.000749772,41342404,2326844375,3183699,5217452827
6.000918338,36175784,2262421718,1861984,4326522938
7.001067086,45488734,2910130183,2888528,6114162872
8.001216176,41443112,1452989794,1045019,5337854612
9.001356515,33163355,2502859512,1950897,4235523929
10.001496079,28016647,2095164355,2712162,3402791977
11.001639179,26615080,2168277158,3203788,3976583993
12.001772204,18574970,1923816646,1677455,2485423022
13.001907855,44228,4554387,16666,1780308
14.002053174,43641,4637459,16652,1664476
15.002209538,42972,4459855,16391,1664356
16.002396302,2129994,151326102,299410,304516946
17.002591128,16696717,502655446,649171,1666366223
18.002774417,16781285,579889218,1337411,1665927330
19.002942216,1139565,132402757,242903,123514266
20.003108123,694191,93076905,281341,73651483
21.003265214,788554,92738265,268754,78688293
22.003422615,1054559,112678170,192409,119877893
23.003576269,649398,69132979,210317,57658554
24.003730427,586921,52431030,111168,56892297
25.003902382,1238221,132530420,134057,138263844
26.004045638,752520,62714612,106033,88249145
27.00419991,1107598,133682858,238270,128407626
28.00434531,685239,70326876,177933,59537882
29.004498191,654905,76277983,236612,59079431
30.004654895,646639,77832370,249927,58651638
31.004805404,532556,39297184,140292,59272475
32.004969583,984447,242762366,429779,161405891
33.005129648,645120,70773841,168319,59325000
34.005274982,635283,68762668,163827,58518145
35.005424539,618594,73762752,125591,67346196
36.005576392,326547,34137140,57940,36890203
37.005726467,266719,32698157,52387,25576163
38.00586417,522460,31843118,91738,59706901
39.006019803,730545,80516977,158021,69581797
40.006177323,660937,85124249,253418,64638724
41.006331867,626256,76112729,238592,60259947
42.006469464,668730,75677966,220071,59416061
43.006618452,545900,41831135,139215,63241277
44.006767115,1601890,152583564,154397,173577256
45.00690934,833775,76254977,137111,96288546
46.007071134,533250,37660725,96330,57883342
47.007211302,505643,29960524,84176,58197661
48.007375511,764698,82672171,238879,71386438
49.007522743,624950,70742266,197567,59224338
50.007672755,774270,89828297,224675,78980744
51.007815255,714982,71219233,159138,58875030
52.007957969,736340,54357818,196830,76055302
53.008090798,512421,32737489,91239,59868882
54.008236544,671641,55125255,110970,81496071
55.008392714,516911,32894298,104509,59240240
56.008533202,570632,53998884,129447,59193857
57.008668131,524718,39109756,136432,59365862
58.008829057,564449,41025152,123296,74752344
59.008970849,529189,36001180,114950,59289927
60.009131143,544468,43026790,118768,70266379
61.009272507,622552,63160964,124625,59922595
62.009413949,525286,33452879,95501,61038732
63.009573455,542581,42203902,95426,66923309
64.009717899,77191,9813917,11158,15786586
65.009875297,620101,62779729,134641,58628748
66.010017256,623170,70739196,183338,62086851
67.010150154,641532,70455750,205004,58657783
68.010289423,630213,51268314,122298,78139450
69.010439039,694687,67657735,124123,63271733
70.010579036,596450,63804062,109082,60433308
71.010724814,563241,60266097,90938,58728243
72.010888059,912745,71549753,210074,108114439
73.011030648,502487,30095625,92063,57964321
74.011173631,668082,66051128,151766,59656590
75.011302417,2385220,150787232,186687,309780883
76.01143208,1180552,89301336,116414,148455049
77.011578834,512252,31945884,93173,57374279
78.011711991,555651,43072994,91907,70043451
79.011861496,1902162,121685521,161111,299894975
80.012021351,600673,59575068,155685,59827391
81.012160802,570215,47211915,125569,63239257
82.012304609,619023,65331650,150613,58195715
83.012462909,506582,36628095,127847,56661106
84.012588391,653423,48990634,97850,99936112
85.012736345,506978,32649356,83752,62047181
86.012868177,737955,70274051,98457,104282910
87.013029792,504839,41439196,87959,56353826
88.013178801,519933,34846205,96890,64062856
89.013318111,496315,28656025,87315,56260595
90.013458924,765126,59331124,208900,71626861
91.013623258,542033,57495138,85436,57111081
92.013761809,1297658,63130549,105047,150104019
93.013897963,815801,92405411,174444,94342444
94.014040546,618795,68364032,190004,56285968
95.014192057,503355,54201442,158385,51522446
96.014346602,99876,12675250,37186,4695403
97.014486411,587202,58082710,141101,56649893
98.014620196,546907,38614622,107557,68223528
99.015378937,849749,77165152,109884,104345776
100.015534221,811087,74357420,143713,91619965
101.015679844,532600,38812105,112939,56326084
102.015821644,485405,27669335,85551,55517315
103.016005892,500270,30595437,100457,57187159
104.01620389,518085,30297579,75931,69220187
105.016408624,10068000,711665943,1063608,1190770276
106.016623411,52478,3837127,10908,1991358
107.016804242,46008,3326963,2883,1887063
108.016966103,50474,3274948,1903,1945324
109.017158064,42554,3078216,13723,1345893
110.017314669,44521,4142746,16450,1342993
111.01745385,45604,4862565,17100,1326188
112.017600191,41813,3861096,16821,1322007
113.017788791,480539,25462887,89322,53952924
114.017989831,998909,52901208,115833,129700993
115.018174225,478628,25987249,72723,57577078
116.018338199,556915,53714748,103275,52831734
117.018500705,479065,30821409,96298,52693256
118.018689748,560975,43255242,93491,68829604
119.018896859,552699,39366442,87951,67904494
120.01906219,478518,24113676,61205,54333906
121.019222282,634228,45655904,91405,80163922
122.0193832,478325,27229903,84854,54257236
123.019532012,707899,57430204,201482,75638338
124.019681894,1076671,72916077,98902,164460528
124.866325572,5996028,337724045,586624,406601804
