time,LLC-store-misses,LLC-prefetches,LLC-stores,LLC-prefetch-misses,instructions
1.00008568,2204744,8292015,7390382,656189,3697729767
2.00024535,4620906,42388351,12144590,2688013,8058177936
3.000430945,1450003,23761147,7604470,2642267,5071777484
4.000621489,372,15336,3639,2460,5206755
5.000824626,2876954,23980801,8344573,4965184,5475826248
6.000956491,498204,16266439,6408887,2742822,4345785452
7.001092439,1093976,14793269,7457876,2069258,4665983672
8.001241112,663938,10819507,2365933,917976,5174743216
9.001386397,1157694,15351978,7019553,1559202,4289673941
10.001534552,994029,9477274,6356967,2773456,3228515840
11.001692391,2187922,12585257,6279359,3658026,4267747499
12.001888919,795412,8233666,5022308,1802345,2513574695
13.002059183,6410,625,10244,4263,1629679
14.002193505,5291,241,9994,4328,1504087
15.002345903,6099,665,9979,4238,1511370
16.002513552,666446,7766385,1627333,740556,1496718960
17.002700453,107196,646987,208766,156181,208745132
18.002891265,70280,618123,245443,265728,212791102
19.003076121,595370,4297425,1288073,1272961,890023702
20.003266171,1191685,11871496,2071219,2596990,1652485698
21.003439987,44386,134555,186405,69555,86821977
22.003610633,35689,188757,179992,50266,64864942
23.003785144,65201,273285,232887,104296,110711855
24.003949495,30862,210004,170265,86930,54115633
25.004126115,38725,206557,206792,99750,83000144
26.00428769,35908,278401,179218,37228,71880497
27.004502311,58070,273439,262960,99459,107562446
28.004689527,31528,184767,192871,58075,52464293
29.004861872,41573,117784,166579,114773,47425455
30.00503563,32334,150797,184811,73083,72449616
31.005208368,228633,363228,408161,180508,124720969
32.005379696,31580,116426,145114,78251,60257479
33.005546757,33670,166620,171686,68035,54661162
34.005721612,30423,174064,157865,99645,49304906
35.005882882,34981,202054,213051,113948,93842015
36.006050427,26539,184600,163714,70081,73412144
37.006203455,27418,131769,103908,106730,38601529
38.006361967,22186,138524,101658,159168,110139181
39.006529121,12375,98479,66817,8443,0
40.006685305,41014,142804,148266,63005,49177111
41.006853815,41279,156746,261575,116517,68571913
42.007012236,30650,171679,126632,135752,93304733
43.007190723,31456,121277,169305,79762,89854675
44.007340601,103278,415483,391549,151780,161029321
45.007514517,45976,386060,193963,139626,84889788
46.007668704,28676,190562,155352,63218,54055045
47.0078163,35447,231082,113804,100364,57701162
48.007987966,32583,153668,153919,102803,62895528
49.008152492,27432,129198,175919,70097,72364122
50.008317751,41614,165720,190958,83614,83107265
51.008485544,33103,160909,157094,80645,61562544
52.008649292,62394,199997,251842,99035,89316459
53.008812157,22315,212157,161590,91503,70553212
54.008966542,19143,197243,131877,69799,46397480
55.009122441,24195,221220,96930,105135,68551792
56.009290979,32191,207004,117481,85571,57451821
57.009443033,30901,282400,161247,87529,54568954
58.009605702,39303,226465,225772,63624,69418411
59.009771638,26898,172587,210552,72993,60719768
60.009935955,28004,184932,149877,121242,48156275
61.010093777,35518,238208,139685,101291,83166038
62.010244052,18029,96643,59206,45428,48228304
63.010386107,14819,183359,76564,72240,33354328
64.01053793,23608,142931,169832,92538,77471024
65.010710192,37494,129489,153962,69660,53453675
66.010896131,23966,278544,98127,117799,62678911
67.011067883,35453,183122,145445,81302,68949186
68.011231012,40001,262132,186127,73964,83789245
69.011419973,19394,172518,119369,76507,56315653
70.011573971,21484,163080,130487,42127,40566692
71.011723571,30715,231575,101441,117618,77152736
72.011888052,84153,176054,289211,57337,128191833
