time,L1-icache-load-misses,branch-misses,branches,instructions
1.000091477,35348984,41845661,694080577,3850127383
2.000243182,40940140,76275185,1320076855,7316661011
3.000380571,31371737,43813756,991871092,5377342257
4.000523046,2499223,4250469,45403617,268184015
5.000683415,24945206,30393622,716374515,3800001788
6.000820283,32079100,44102964,987365804,5302700041
7.000961101,35784348,65508385,789281644,4384069722
8.001106484,17897538,17549281,919031407,5135385476
9.001252119,27355679,52110425,887130991,4641771608
10.001395124,29230700,38270615,523572072,2884974021
11.001552374,32100897,35328028,758734878,3970764062
12.001695817,28148939,34633353,630378347,3474257914
13.001882282,1972862,1893905,54387788,261698581
14.002042849,70367,56562,307848,1806616
15.002191007,68153,57963,285967,1686311
16.002360659,65878,56288,296961,1731120
17.002518495,4939960,9343737,372844734,1935154650
18.002705186,497653,531376,10729224,59441415
19.002872167,3403204,5417400,211850323,1121734612
20.003030328,4352571,6900410,304563811,1557900214
21.003184579,1298972,916359,17605210,97562799
22.003339876,860085,770714,13557169,75184246
23.003505635,608372,532596,10286716,56917756
24.003649364,912248,548875,10337724,57147026
25.003799656,1528159,1202492,22407233,120229624
26.003951442,1115063,857538,15782449,86915551
27.004072417,971342,1000888,18178228,102216457
28.00425138,684757,693725,13575706,74601805
29.004389948,982267,815363,13526043,74708715
30.004547173,1010627,626299,10622127,58886088
31.004714924,1212747,994807,20632867,108920050
32.004867477,49305,28868,138322,823899
33.005018337,639002,636176,10973171,60917555
34.005160365,1074340,641169,10785474,59773161
35.005326155,925572,613049,10949930,60751884
36.005466623,1029390,755756,12657502,70186328
37.005606459,908377,643452,11218272,62092722
38.005747719,629227,597037,10757945,59580974
39.005886443,797168,849080,14264360,78531715
40.006038534,771764,677932,11419967,63117403
41.00618907,712928,620930,10577634,58611415
42.006331319,853510,681068,11056663,61074082
43.006471723,548640,578964,10530221,58367039
44.006617863,1245365,1384896,27747516,149836623
45.006765931,1013738,1216817,20624415,114056161
46.006913608,524826,613804,11146333,61683017
47.00706405,458492,574974,10641860,58917814
48.007214778,780957,739077,12929471,71452219
49.007359079,489893,598012,10754371,59639044
50.007512208,642645,836127,13686389,75236715
51.007657445,851357,820778,15258507,78907877
52.0078074,502726,625118,10898980,60729761
53.007955084,544854,587884,10608357,58833478
54.008101746,929998,622798,10823110,59946111
55.0082517,452798,587618,10676533,59214503
56.008395613,473397,595990,10693474,59298733
57.008544776,799694,426253,9426158,51607370
58.008695206,282254,226456,1272686,7711270
59.008862516,710737,809714,13579424,74720777
60.009006992,691258,626825,10679754,59226342
61.009173205,773246,648360,10715801,59404449
62.009321749,516958,589852,10675338,59170390
63.009480629,538089,677305,11945794,66258648
64.00965938,607557,823652,14279365,78989743
65.009824556,519159,668498,12157400,67108439
66.009977819,547826,605260,11241232,62247506
67.010124904,470914,565839,10492713,58116245
68.01027973,852668,1105168,20071669,109323189
69.01042766,902379,607770,10438375,57786334
70.010572004,845233,653567,10829430,59879879
71.01074087,782477,835961,15884570,81466304
72.010875402,896329,609917,10662001,59148754
73.011013407,487106,584375,10663105,58967510
74.011170649,476685,582642,10685878,59100140
75.011326232,582666,733680,12862093,71017121
76.011474896,1041089,1384097,25386416,139032047
77.011630916,1162814,2437939,51524008,273808036
78.011783571,1008499,920470,14459568,79744376
79.011931504,638676,728274,13104213,72011231
80.01208803,1461238,2684604,54201665,296276666
81.012232753,575046,643175,11315107,62305248
82.012360678,517856,583807,10767127,59359741
83.012493651,849714,686623,11600283,64228377
84.012632947,807803,952208,16377084,90650043
85.01278914,510099,623608,12011245,66772258
86.012943946,642795,610749,11330297,62512710
87.013086067,692978,974445,18095600,98804709
88.013254087,463523,557306,10558285,58293089
89.013391948,447814,538922,10405861,57386939
90.013527968,973681,639414,15730015,74905661
91.013670129,533906,793707,16933554,92180900
92.013814047,443043,533342,10295130,56856422
93.013959486,476117,599057,11111300,61430696
94.014088522,787135,808524,14251897,79170009
95.014232896,945687,559768,10251595,56536253
96.01438047,1557278,988483,17016494,92529329
97.014559127,604907,550960,10290795,56801865
98.014716058,705433,587642,10886840,60126704
99.014855022,961956,1053614,17144427,93806462
100.014995171,960737,919975,15059960,82828740
101.015136628,527342,532475,10248722,56502894
102.015322612,441620,513145,10181744,56158182
103.015519456,449860,524002,10205741,56292023
104.015694841,12073008,13874265,197707760,1218515341
105.015853131,414813,605250,7623254,42780274
106.016011285,84030,67437,348424,1976906
107.016219936,64285,54622,229437,1326720
108.016424983,77800,65524,342048,1957155
109.016585266,65670,54212,231445,1337270
110.016727067,128463,148028,1291132,7044832
111.016881632,63852,51614,228721,1320967
112.017023422,63045,50883,227947,1317957
113.017207137,1204305,1287120,28792401,157935967
114.017403718,426442,447050,9620773,52842570
115.01754833,428459,448753,9629061,52886879
116.017690947,537935,473255,9600533,52723221
117.017868622,439215,493087,10791131,59022043
118.018043872,443780,497618,9960478,54858540
119.018235469,577911,683291,12219715,67073615
120.018390827,445380,499684,10068020,55458080
121.018536022,576234,755864,14399679,79834160
122.018677483,442414,493888,9910575,54628720
123.018827753,521381,679125,14336892,74799750
124.01899566,910214,1366930,29916815,158546304
124.990363599,5286755,7279288,68910791,384112475
