time,cache-references,mem-loads,cache-misses,mem-stores,instructions
1.000123114,44108970,0,2910220,549305164,3997406465
2.000302363,82080314,0,6600473,1066828474,8359771012
3.000474282,58357059,0,3034019,572800648,4511720826
4.00070746,245953,0,25129,932703,5326871
5.000882429,64113178,0,6114390,688141966,5565816831
6.001034372,56947172,0,2212653,614562827,4413627501
7.001255225,57226285,0,3000471,648116478,4850838297
8.001406573,47330020,0,1470332,452919905,5211735846
9.00155259,53031606,0,2585487,600928546,4228845556
10.001712426,49770130,0,3742117,441539319,3353877175
11.001918939,36445455,0,3028927,419760532,3240858048
12.002108583,42065687,0,4591511,431403280,3311705169
13.002299293,95122,0,21651,341605,1774108
14.002464997,91984,0,22106,328842,1674486
15.002619706,90793,0,21465,326173,1660171
16.002770913,2805589,0,288674,24927686,209526933
17.00298346,14521753,0,1384193,161387115,1461809894
18.003160043,860685,0,95238,8201500,58552199
19.003313275,13746864,0,2117469,127132586,1122161059
20.003487451,22117348,0,4716986,167712692,1569321906
21.003645916,1045800,0,236837,9198114,66088401
22.003813964,1344620,0,256613,10535911,77274041
23.003968464,1847140,0,288910,13324575,97870278
24.004132808,1204381,0,175107,7946099,57041994
25.00429047,1302073,0,288007,9915771,71902094
26.004462062,1419468,0,182120,11857600,87251640
27.004624272,1264307,0,144718,13613800,101542387
28.004768373,1226003,0,149037,11524712,84160177
29.00492783,1249505,0,225374,8285501,58680592
30.005094694,1147346,0,340118,8397723,59349824
31.005257395,1731364,0,523128,37548630,278764111
32.0054108,1346932,0,330614,8764349,61289906
33.005579353,1088638,0,186891,7929581,56963959
34.005739632,157206,0,20764,588015,3056726
35.005892189,1251614,0,193051,9037867,63462039
36.006047842,1172533,0,191579,9887117,69450287
37.006193218,1054859,0,126342,8735109,62003170
38.006346872,921638,0,138660,8483439,60043674
39.006502468,923874,0,147442,9545659,68127806
40.006670137,1191078,0,290660,8312809,58875187
41.006848313,1228467,0,310115,8355883,59216349
42.007005218,1151174,0,292402,8518959,60363188
43.007172189,1397140,0,233459,8218576,58234228
44.007328626,2025537,0,199931,19231632,149877612
45.007486945,1688410,0,160140,15156019,114038533
46.007656385,1032596,0,124608,8792508,62400439
47.007805662,885949,0,126358,8567078,60659072
48.007940023,1067165,0,158239,9477939,67241812
49.008086777,1178594,0,273825,8966016,63440022
50.00827788,1702681,0,258865,11733552,84886242
51.00845074,1144341,0,228154,11024196,80873375
52.008616198,999313,0,136315,9534907,66267608
53.008782425,859287,0,119336,8338370,58707838
54.008924064,887750,0,123542,8603907,60434194
55.00907905,843311,0,147584,8336206,58741185
56.00923545,879309,0,166543,8611266,60609549
57.009400867,861905,0,127271,8331776,58690766
58.0095546,1205321,0,223868,10586820,75362106
59.009724822,839581,0,114065,8306525,58584529
60.009872609,1139101,0,155579,10183916,70263524
61.01001157,1093305,0,131709,10881123,77289579
62.010159955,27368,0,3392,71659,363242
63.010307004,1210804,0,133569,8332257,58835171
64.010474138,1222872,0,175250,10751923,76660601
65.010626963,915248,0,161466,9568988,67872271
66.010782593,976146,0,166577,8457664,59558200
67.010970445,828920,0,145378,8176104,57917968
68.011134955,1242771,0,143903,12577807,90411629
69.011271598,933638,0,117159,8157029,57779916
70.01142176,948491,0,149773,8503635,60266618
71.011578023,1109843,0,211305,10089955,73676969
72.01175611,875371,0,156588,8624309,59977314
73.01190522,877528,0,124012,8366302,59207831
74.012057863,923919,0,126730,8339408,59062936
75.012203803,1429632,0,163312,9931823,70521439
76.012343102,1083172,0,147963,9000746,63890413
77.012509669,3444054,0,218724,37292119,300219818
78.012655996,1001003,0,134560,10459114,75789951
79.012816234,954086,0,129565,9921283,70524117
80.012966128,3943254,0,455377,37507274,299345972
81.01313212,937833,0,183328,8341924,59547359
82.013285927,1215526,0,240476,8109542,57993442
83.013444802,1006947,0,160417,8169563,58308552
84.013600289,1137441,0,137051,12692043,93844348
85.013758069,879879,0,117020,9632550,67548484
86.013920464,874557,0,129788,9029145,64959717
87.014077155,1558667,0,177654,13888502,104686212
88.014239871,838754,0,119622,7862603,56494698
89.01439005,872378,0,115633,8152818,58181817
90.014533556,2135829,0,279716,21738869,166753077
91.014688573,838148,0,113914,8400910,59437881
