time,dTLB-load-misses,iTLB-load-misses,dTLB-store-misses,iTLB-loads,instructions
1.000116728,2344671,718439,275599,1644185,3861994434
2.000292943,6194468,864435,666832,2936205,8146223914
3.000431474,4489117,715201,391343,1231992,4622841110
4.000609635,437726,37838,25903,120249,267778450
5.000791804,4807772,613110,362153,1190390,5254854214
6.000945984,5452850,633291,288808,1559001,4567380508
7.001099104,5571814,888161,375478,2356323,4741283148
8.001256696,4353439,431621,170684,530429,5269912803
9.001412101,6280739,705186,386806,2545610,4386047991
10.001564784,4488007,921309,330455,1213884,3128090492
11.001724542,4155944,964838,304869,1170001,4145984264
12.001915185,3165022,684828,206694,1171560,2606093009
13.002104278,9886,4840,1025,2401,1784353
14.002250322,10247,2791,1033,1941,1660878
15.002394044,10109,2872,1000,2178,1664767
16.00255856,1037899,127533,83385,202772,917514926
17.002752716,360395,9772,46535,12133,705221071
18.002937485,63760,13256,4333,19999,72309670
19.00311312,1069023,144472,75783,234020,1064164552
20.00328117,1350798,140868,64149,239652,1479252315
21.003448662,96788,25654,17946,29294,66995231
22.003634093,79334,21134,6782,26770,80686609
23.003782842,112653,39017,11438,46084,98501084
24.00394622,82612,25998,7011,19217,57826024
25.004110193,87311,27297,6647,38981,91533252
26.004280874,65862,16230,5458,17998,56599989
27.00445531,78520,20260,5664,43771,101341253
28.004605125,96981,20909,7136,20628,74872724
29.004774879,75427,23279,8433,22683,58843790
30.004942159,77130,32216,7053,22717,58981538
31.005100608,108384,44320,9406,57282,110286423
32.005252921,123500,34963,11196,24221,143775885
33.005411905,94320,46230,8501,40463,81158911
34.005569382,87379,28758,8197,34815,74254055
35.005736094,75941,18120,5545,27219,67176189
36.005884297,71911,15031,5261,18381,65817508
37.006044457,28702,6257,2260,6842,32972828
38.006221826,44912,10347,3364,11417,26921757
39.00637656,77362,28245,7962,31976,68274938
40.006551595,73790,19674,8197,26996,58135568
41.006700912,72828,14294,5934,17557,59369661
42.00686972,67895,14670,5537,21300,58086639
43.00702456,76756,22795,8545,19798,58084305
44.007200778,102323,23058,6095,50457,149967068
45.007347362,87391,24053,5813,55501,116378390
46.007521402,76627,19397,5645,24816,67304640
47.007684148,60956,15172,4744,19946,59491310
48.007829217,73061,22480,7495,25391,63760841
49.007984555,65060,42808,6861,26115,62397358
50.008151572,74877,21925,6087,43615,79598746
51.008325393,54616,15378,5077,22324,58754134
52.008476378,91482,22770,8164,29658,182411518
53.008628136,64986,13813,5286,18649,60390817
54.00877751,64916,27482,6344,21017,58681813
55.00892291,61481,14029,5205,15682,59206778
56.009102261,62132,13650,5485,17050,58752652
57.009253508,66832,21136,7822,23893,60263753
58.009393276,64011,13954,5596,17868,59129066
59.00954477,62561,13847,5351,18169,59281926
60.009714646,71111,46414,6331,23746,65663554
61.009876782,92856,31755,7997,40763,84796170
62.010039373,81598,19771,7036,22269,60763002
63.010221287,65748,23827,6579,24581,83117454
64.010388055,35406,20319,3580,26232,32091624
65.010536815,60624,37809,5564,23391,58296653
66.010691505,63869,17620,5842,20496,64834322
67.010850521,60256,14229,5474,14659,58156890
68.010989515,60971,15141,6194,18283,57923100
69.011141385,60676,14582,5297,17479,57821639
70.011281313,82898,18679,5890,22032,60219592
71.01142955,59948,15317,5171,16591,58148887
72.011585261,78178,17669,5808,20643,74979901
73.011737086,60253,11815,5351,16278,58525193
74.011928694,65101,18822,6692,26584,59619921
75.012079744,120509,31575,9523,58161,185656647
76.012237179,71828,28662,6025,19306,57208542
77.012397693,71784,18155,5969,23635,82127812
78.01255545,133230,27773,7386,53098,272054303
79.012699809,141091,37702,9420,96399,295680650
80.012881709,62684,16410,5819,17947,59846654
81.013050565,65727,20083,5799,24766,63291067
82.013198271,88883,29683,7959,46360,93765649
83.013365621,59009,14919,5368,15461,57090773
84.013520357,85574,27382,7210,42699,103436041
85.013679597,60273,16324,5368,21510,66528450
86.013833974,73388,17298,5485,28796,98506446
87.013980239,59144,15334,5168,16026,61745006
88.01413558,58454,15625,5088,16193,58270805
89.014273956,56329,13986,4954,13869,55763642
90.01441211,84159,20056,5924,42614,151128472
91.014549579,74063,17521,5759,19167,75784631
92.014689064,55848,13963,5112,15900,56114851
93.014851145,91037,37970,8187,49103,94700618
94.014997449,67589,35117,8268,18679,56237618
95.015158373,63647,22064,7608,18122,56103988
96.01530321,62101,17940,6590,17465,56552443
97.015466642,64887,19448,5628,23237,68624983
98.015614856,8782,3486,1031,2201,7462520
99.015786971,80365,23858,8089,46979,81001363
100.015933031,60448,16549,5500,19015,58771773
101.016082307,62081,23591,7600,18246,56076543
102.016237583,55771,13797,5205,14599,55908263
103.016416803,58850,15603,5229,17469,57252991
104.016618692,1223469,309235,104050,674504,1239462609
105.016768885,8185,3566,1072,2311,1955106
106.016967306,6855,2886,981,1692,1370646
107.017152707,8520,3654,1153,2256,1958377
108.017323601,6428,2928,944,1522,1343552
109.0174885,6638,2867,1047,1650,1321480
110.017638811,6813,3014,1224,2110,1344181
