time,LLC-loads,stalled-cycles-frontend,LLC-load-misses,instructions
1.000108249,19390241,1905615513,778378,3872018448
2.000282137,55863174,3502085773,2489713,8157600235
3.000450186,42636361,2224232634,2073563,4841415087
4.00061556,131850,10496423,12202,8905244
5.000769742,47451497,2697434495,3803187,5797727322
6.000912471,35425762,2303767357,1732312,4309899713
7.001057554,32200259,2533508399,2220631,4740330666
8.001201416,38571789,1399525027,900882,5144067928
9.001337405,33267651,2533741616,1930152,4186872049
10.00147788,27351089,2085614736,2609050,3301150273
11.001633254,26802949,2206870217,3147229,4161258144
12.001816433,17852491,1528849682,1744017,2703746154
13.001979851,44865,4577655,16446,1780680
14.002123234,45342,4734152,16509,1671139
15.002278385,42516,4335757,16124,1651925
16.002433058,10530826,413539622,528016,981537500
17.002602657,4344638,176880719,204694,728789752
18.002765982,261781,14841996,25241,28776014
19.002913128,12427550,816716410,1661438,1100992559
20.003081106,18453655,1413667499,4304636,1592447019
21.003236092,763506,96157249,250310,74889832
22.003377788,698582,75483373,170286,75115376
23.003514731,578320,56294264,173476,57537268
24.003661527,640454,71388435,179490,56899187
25.003814103,1178627,121499896,132942,117507820
26.003962538,848045,91061907,172797,91932162
27.004111929,876032,83162355,122472,97728216
28.004259983,794448,94152187,204393,73516218
29.004403281,1066872,198426775,379655,147038229
30.004554527,581536,70839137,176993,59627364
31.004707978,525136,63411655,156377,58630804
32.004871762,539908,61498830,124797,59026034
33.005029841,517481,35644800,104159,59059009
34.005171949,620550,68628753,123680,57993250
35.005322691,688141,98100242,169392,85551488
36.005463212,575799,66556041,119203,58663908
37.005615144,262685,29932888,56684,28785322
38.005753693,342712,43381273,66715,34791295
39.00589614,623401,77266058,124654,68068712
40.006033278,582547,71000313,132507,60883567
41.006175339,585723,67975563,124043,59392720
42.006335739,635539,69444078,137347,58718399
43.006489538,618941,79231880,244181,60479892
44.006640228,1435569,143910707,291539,134211963
45.006785764,954523,123490370,250108,116261651
46.006933717,689281,73692367,179101,57847712
47.332981474,640642,70274817,177657,57787049
48.333133939,614392,65740452,105349,57750957
49.333289599,499584,39076353,96183,57788235
50.333443607,847412,79548242,235726,97766392
51.334629372,532569,41726086,105536,62143610
52.334776946,680704,80510957,170565,64290040
53.33493442,682258,67278918,169900,57489497
54.335082025,623982,41398914,131563,67497877
55.335219448,514817,33414814,100905,59147249
56.335362154,518765,38292398,115436,59810813
57.335513751,506465,34632070,112469,58716963
58.335667026,576333,49505482,113083,78074600
59.335803311,555182,61790032,126149,59329388
60.335935051,567944,46631030,105711,66290901
61.336075583,566172,63394533,105164,61268188
62.336223585,516746,56165510,129602,59731585
63.336362258,548454,41882613,109103,60093606
64.336505213,638391,72657128,188086,58529848
65.336645947,692869,84235217,236842,62480977
66.336793873,738316,77863642,166194,83816011
67.336942227,1121193,124646977,187154,106715629
68.337106919,798788,85766949,198713,72465453
69.337248156,579917,67500424,103803,59947238
70.337391053,54228,6265929,14841,2052855
71.337538313,596533,65600489,96952,59130224
72.337669523,519067,34889258,105347,57965980
73.337836127,560264,61223371,147256,58457832
74.337981159,538563,60757846,138994,57825998
