time,cache-references,mem-loads,cache-misses,mem-stores,instructions
1.000110143,45735747,0,2919103,540689786,3952112055
2.000277006,87586741,0,4206902,913217009,7504363790
3.000430978,73666367,0,5475912,663016137,5318272665
4.00061393,4225318,0,95188,54284670,344876551
5.000802338,55206162,0,4276953,516341708,4088805929
6.000967082,81314218,0,5073522,783305799,6068391293
7.001120776,58208147,0,2615329,583277157,4183549085
8.001271317,49143555,0,1455839,453136823,5280570873
9.001420031,57505130,0,2894149,624522105,4449267428
10.001574127,50181689,0,3559671,428088569,3192281318
11.001736408,70791489,0,6247383,671430085,5513537126
12.001895544,45311356,0,4356282,470386413,3614539458
13.002082128,3011060,0,196701,25797591,209487557
14.002234039,99895,0,23856,342220,1778510
15.002393342,96734,0,22883,325912,1660018
16.00257837,99923,0,23549,350707,1814587
17.002798494,24180947,0,2270875,221782309,2026159128
18.002978324,896994,0,107958,8650982,61114005
19.003141479,14075592,0,2201378,132387908,1178785878
20.003319393,16427254,0,2824105,112110595,1022907290
21.003479797,4944332,0,1765471,54350836,506767204
22.00374954,1441387,0,257092,10470224,76759963
23.003911239,1820689,0,272568,13333069,97822698
24.004069412,1392470,0,247836,7966382,57147528
25.004229049,1239711,0,177975,10773232,76744368
26.004383468,1551303,0,177798,14812923,109200851
27.004531169,1360884,0,165468,14174803,107328577
28.004687754,1439982,0,207937,10102039,73265311
29.00484405,673798,0,328264,6646418,62479350
30.004999477,873430,0,265470,12239036,84388685
31.005169625,968499,0,252625,8612087,60481713
32.005339329,884774,0,159765,8204671,58333893
33.005479043,1049784,0,156290,8441866,59701843
34.005627696,1113508,0,170259,8716760,61206684
35.005766537,1137477,0,186185,8685745,61754546
36.00592495,1000102,0,198503,8733893,62059264
37.006083042,1007938,0,164016,9307695,66262887
38.006236958,1102572,0,177782,8831113,62755386
39.006387024,1006523,0,141891,8152639,57883683
40.00653442,1113608,0,175310,9769247,69716960
41.009770189,904265,0,112294,8375001,59369413
42.009932135,1235604,0,266242,8190096,58063761
