time,dTLB-load-misses,iTLB-load-misses,dTLB-store-misses,iTLB-loads,instructions
1.000122972,2543759,750758,332803,1838352,4116256469
2.000302462,6505733,882273,841245,2949889,8421712643
3.000489509,4541699,675288,397856,1234338,4367060527
4.000681579,99551,22511,7462,19415,141892331
5.000863322,5655652,680496,468301,1274184,5980094837
6.001015329,5791356,660475,451441,1927563,4449727941
7.001161457,4890568,990622,501466,1952239,4668658256
8.001321893,5123767,374959,195491,684975,5518579582
9.001586684,6070762,680812,541940,2338754,3911901430
10.001789951,4529236,1025664,409329,1249815,3507666301
11.001969617,4006985,914419,337620,1232218,4041700820
12.002172753,2715587,510306,191722,1061753,2222987633
13.002362143,10846,3008,1230,1849,1775997
14.002514944,10310,2834,1189,1853,1672503
15.00266393,10503,3008,1267,2116,1664404
16.002808414,10953,2879,1232,1944,1705821
17.003004241,1615270,130472,169055,205266,1680246557
18.003192694,97729,22019,7945,21235,86561290
19.00335846,329882,100117,28400,165249,316498516
20.006182247,865961,120859,70427,223312,903381500
21.006348517,1465821,33136,108562,46410,1440024853
22.006510492,74671,26509,8360,30701,64537677
23.006673052,90328,30703,9807,36286,77100471
24.006830718,109119,52406,11029,47326,97772355
25.007007192,65359,18727,5825,19638,57049021
26.007190271,73330,23539,8164,35981,76396808
27.007356626,81864,26493,8079,44390,86879612
28.007520158,96607,20633,7795,41130,97772353
29.007695701,105131,22954,7697,35229,82745855
30.007859389,108061,19662,9539,24689,119794770
31.008023732,113442,11870,12722,28836,60737454
32.00818927,78671,21078,7492,23154,58599782
33.008355507,69687,14088,5739,21606,58557781
34.008511009,68659,15179,6312,24342,60459364
35.008672728,74721,14100,6313,25618,61176525
36.131916327,95452,16383,8243,42150,73283120
37.132069619,86605,14030,7789,27658,59373127
38.13222719,73512,19946,6796,36570,72290145
39.132374136,69278,15931,6498,26761,67233688
40.132579737,58634,12491,5590,16226,58089099
41.452000602,61365,12649,6002,15326,59116175
42.452137275,60755,13476,6184,16986,58498380
43.452287213,63215,18512,7972,25900,58018654
44.452448445,145256,46832,16144,76415,134760227
45.452613582,129146,53771,13110,86343,139621057
46.452777191,64161,19085,7812,21819,57874364
47.452925517,63750,16944,7400,20344,57812570
48.453081127,69813,15214,6607,21021,57766733
49.453243812,70213,16624,6124,34123,73249666
50.453422265,79090,16935,7582,22742,77652641
51.45362845,68731,16078,6766,27803,66447806
52.453783992,89670,15485,7867,28056,64311009
