time,LLC-loads,stalled-cycles-frontend,LLC-load-misses,instructions
1.000116673,20599716,2173283994,731761,3770686334
2.000297297,55025542,3443747978,2305463,7979121280
3.000472055,43438143,2249195091,2311508,5100108014
4.00066343,103236,8432634,7096,5601399
5.0008185,43238634,2428127659,3697122,5571317193
6.000965827,36058108,2285924573,1878632,4362152362
7.001107672,32925001,2541144224,2273438,4825896102
8.001273209,38881563,1398742286,905145,5177915049
9.001413511,32546650,2515255406,1954205,4242705648
10.001560311,28221352,2158334467,2956621,3591135404
11.001731202,22549203,2167620720,2961949,3409076988
12.001887015,5842149,529012982,553484,1000035296
13.002039122,55140,5591355,23040,1974514
14.002212435,45762,5344776,16524,1677108
15.002350578,43776,4277628,16025,1681409
16.002547733,19408731,778128677,1173527,2100922085
17.00277895,1021865,67529346,92046,169503237
18.002980396,13294714,796876897,1852862,1111676346
19.003137451,7720286,601911554,1767870,734605214
20.003293976,15113069,990312190,3736945,1314453055
21.003445336,637581,69959004,194631,58533801
22.003606184,370114,168680215,232375,109520124
23.003752407,727035,63704602,223367,82092005
24.003898793,691283,72836346,162216,69441353
25.004055823,590294,64408059,122472,57367828
26.004217998,678240,80350697,133611,73076960
27.004390586,590991,67112523,114435,66986809
28.004553862,799718,83137698,186347,74790627
29.004697583,1379770,156098995,169954,205010637
30.004839117,526798,35408869,107749,60097359
31.005000971,3282359,246035628,270993,466700110
32.005163203,681856,52279046,119983,90191936
33.005316749,730748,80612684,134120,101038292
34.00546172,582466,62934559,125285,59431369
35.005601488,857412,102830957,230027,83659966
36.005770086,709804,80820335,244564,59651462
37.005907088,690642,78644930,208221,62986661
38.006059251,621256,76226133,249282,59592244
39.006215472,723974,80481930,194204,61170196
40.006370181,634207,75973977,197785,58717095
41.006516322,758828,86964438,175818,73183207
42.006668696,899805,105779140,271084,97468512
43.006826515,516420,32402649,97226,58449016
44.00696788,859669,95877493,128674,99343593
45.007107218,622109,64311878,117727,76180606
46.007261253,80520,7848517,37377,9830576
47.007431083,451902,30006390,77599,48831310
48.007583658,642840,52635300,136129,72978182
49.00772738,522225,34865122,107138,59761414
50.007888055,1553211,138708932,169444,162045964
51.008037591,665720,55800971,119104,78985873
52.008216712,567284,45767412,143975,59348474
53.008380371,685012,68608531,163722,64274879
54.008522785,645294,68815250,204116,58806931
55.008662928,694739,74450903,199187,58869724
56.0088247,526057,36827598,101063,60973703
57.008974356,520072,35368478,101074,62752216
58.009132345,508113,32909477,97367,58680510
59.009278927,515682,34572928,99641,59414441
60.009422794,517452,35567312,101431,58943414
61.009566201,602103,64199883,104620,59107348
62.009728256,809172,85989722,190701,76181572
63.009892704,516540,33272215,104325,59090730
64.010050653,637305,51069301,126771,75823261
65.010201811,589321,43441452,110360,76014943
66.010361307,717942,79333600,179682,70109094
67.010532248,574906,64020472,154098,58076901
68.010688655,600814,57842321,120486,58139328
69.010847236,513210,51339685,97246,58161634
70.010986389,536407,57914788,107354,58182724
71.011159136,574014,63056806,101855,63335779
72.011303183,523148,35620345,111195,59143077
73.011444717,832163,75544420,122779,116535202
74.011585066,520350,35469102,106015,61259160
75.011757857,351564,37404974,60376,39551298
76.011899592,227690,26348701,43874,23100423
77.012057082,2592949,148015621,147307,343473585
78.012225613,700778,67673386,127405,79220225
79.012368822,572559,66447786,155302,57801359
80.012529091,591924,60330515,157227,57733431
81.012685926,770378,73963297,236357,87009925
82.012822659,1918321,140617449,244320,301633828
83.012962368,609297,64193500,139861,63880478
84.013119862,671699,66255570,121533,69609233
85.013257987,871880,91520893,153118,96172257
86.013405117,613428,66132930,108723,63387312
87.013551715,801969,77859702,107391,101210548
88.013699419,511856,33395244,99471,57762242
89.013846918,505189,31877078,98866,57159788
90.014000767,534578,41780669,93917,56450687
91.014154266,500476,29862727,91801,56392822
92.014317153,521428,38731048,120492,64500663
93.014469029,565893,42085683,130603,78307319
94.014612108,534131,41931730,118264,57974724
95.014755798,523543,38255172,102669,60320044
96.01490096,607418,62358207,145107,55849301
97.015037893,493878,30025335,92723,55890828
98.015174379,497185,29998242,88746,55874358
99.015326705,1315414,71095492,114222,152143414
100.015470418,770862,70246034,205103,97803892
101.015633983,683111,45611284,99373,92267310
102.015777506,535966,38889344,100398,69393842
103.015918282,522733,34012152,93405,65101970
104.016060701,722636,66183399,111010,84259061
105.016229347,708639,74933391,173393,71727341
