time,LLC-store-misses,LLC-prefetches,LLC-stores,LLC-prefetch-misses,instructions
1.00012596,2048300,7873120,7135164,817052,3508721343
2.000299479,3514267,39010621,11737545,2877846,8012224454
3.000475337,1629799,24676249,7713852,2835404,5268364549
4.000680093,1081,72678,30487,907,5144455
5.00083546,1959147,24842194,8494336,4325819,5455547117
6.000988337,477300,16148218,6686860,2619259,4281180973
7.001143365,1115939,15331443,7885832,2400245,4843849675
8.001295011,644357,10734532,2437643,923996,5023453821
9.001472695,988995,15381700,7442391,1666578,4149265726
10.001654305,1832961,11266315,6419859,2576458,3403232555
11.001859956,675192,7633484,3378026,1977234,2384246633
12.002103113,1465863,6774015,5257754,1534326,2035857474
13.002284346,3183,7400,17564,4696,1561705
14.002449983,2989,2492,9750,3480,1282343
15.002604431,2929,2486,9117,3319,1294575
16.002801646,388,41,1961,598,140800
17.003023944,881014,12706923,2377215,1880321,2013219276
18.003210487,52927,745018,221620,110904,138277081
19.003378626,1015261,10358794,2119144,1620625,1362344011
20.003561708,939989,9788573,1814077,1961534,1264192682
21.003733652,253823,2465846,501577,960407,510249401
22.003906201,21805,184272,146599,106310,58728695
23.004105049,278541,581047,476341,266939,277574221
24.004262186,39796,152444,193159,73733,55780992
25.004419211,25802,215029,118861,148759,70353703
26.004537661,35354,247227,163364,101718,87088458
27.004696706,31792,202432,151651,87014,62876988
28.004869798,13179,127862,128328,58131,58151943
29.005033372,14481,151831,112699,55492,29454805
30.005197537,104833,1004387,338749,228838,251756261
31.005362527,33965,177115,203272,84030,73561565
32.005521757,137730,1656959,446423,217459,313336252
33.00569118,46977,319881,179218,97589,111809338
34.005870079,30109,328733,170139,127731,103679386
35.006028502,21201,179516,111472,74122,47576036
36.006193618,38155,95439,211963,86581,85328817
37.006373102,32421,121347,185941,76680,58794693
38.006549415,50248,214308,194334,77632,73460000
39.006714368,38101,125439,196544,48908,62361916
40.006880194,35978,269762,217300,65323,55170382
41.007040653,35290,92056,215618,52672,58305417
42.007195312,34243,272647,186112,98414,47451664
43.007361467,92995,432435,336155,261860,169558902
44.007536706,27293,228119,113933,108903,48525659
45.007699267,41389,331605,293038,87176,132262211
46.008163641,39372,278562,191279,123394,57690099
47.008334982,28386,233909,181250,60683,54130244
48.00849865,24887,225205,189481,82062,46672825
49.008662095,26902,159120,180781,62037,45097081
50.008825675,58630,376187,220847,138770,122029018
51.009008492,3454,202014,18867,7491,34183780
52.009173774,38483,181185,225133,136643,95781954
53.009348583,43080,100173,185672,57728,82833559
54.00951486,43602,181419,186989,107538,57268853
55.009691732,32708,157092,167427,65202,70567680
56.009878604,27742,152865,133620,85643,45645773
57.010052376,25636,177775,191833,86512,72736068
58.010197632,22929,121251,111327,39573,38917699
59.010350166,23545,137025,94148,117920,69686667
60.010515932,19878,265822,178658,85292,59221926
61.010680763,19411,211350,103241,95581,56849924
62.010848443,20289,188714,169757,99867,46828081
63.01101848,72844,224366,317719,87738,112737435
64.011186797,18046,208446,124153,90309,49085431
65.011345295,50333,258272,159580,117162,68236960
66.011520209,35211,166795,171807,64536,75785149
67.011678082,33484,125845,193637,71354,51890249
68.01184545,46988,215403,205379,74780,101581207
69.012017041,69038,183507,192586,82589,62689020
70.012185243,26371,204404,88008,85082,35122791
71.012339356,31714,197438,197194,72883,78519826
72.012515508,32543,186913,168402,74289,53149594
73.01267815,27490,298143,167726,76435,51584132
74.01283977,24947,190787,133750,109353,46813030
75.013010771,20151,103212,104055,51409,70572358
76.013178687,9029,4506,59716,11668,25156839
77.013356103,34015,279478,116661,113391,54410279
78.013518417,132082,1229160,458827,153591,268940633
79.013663565,37067,444897,176011,136296,117829730
80.013828115,22932,181312,106843,75616,33509800
81.013978163,76770,636602,387547,164853,192350879
82.014127451,50622,326249,181224,176505,97500302
83.014279896,31825,288140,155571,73584,81072312
84.014435917,38334,190707,138350,40125,47262264
85.014583744,28809,253269,104947,121158,72196977
86.014747183,94512,1203680,423942,178155,240723852
87.014912611,26817,288344,82708,88642,24852674
88.015074559,20300,214704,155510,62815,89435753
89.015222482,22274,211405,119676,88296,53686570
90.015371448,28622,145876,112882,39132,38280404
91.015518401,37831,242522,118056,171184,68055676
92.015663216,48994,523635,186491,89953,99844044
93.015814486,32482,223958,100496,92369,46404160
94.015983471,24319,173691,110216,68919,50562885
95.016156332,28443,144070,171080,63450,52948658
96.016304212,41274,213613,209999,117931,110001432
97.016457014,96815,549808,350221,127238,177713041
98.016631243,24543,72911,218646,33960,77004057
99.016787199,25262,135626,105752,93003,39136691
100.016932438,31228,243824,148468,67025,91348271
101.017090804,68216,382969,168480,136817,65866735
102.017252172,29915,190528,116458,77967,43083668
103.017419917,25817,209460,94267,174064,27811860
104.017592018,45215,365895,205722,96864,159367447
105.017745971,35407,305020,174619,139734,88819231
106.017896919,23394,213602,100196,138307,66737584
107.018052254,49389,266069,236329,76369,104821574
108.018205524,29986,116080,120190,99179,58154856
109.018369797,30155,126206,190299,51694,100179898
110.018535239,19666,193074,155598,77102,49616335
111.018704562,6189,3750,16967,11064,1681778
112.018856189,33792,145257,126881,61812,54623494
113.019011752,20874,264923,153254,80395,49691194
114.019176031,28332,189419,113611,86714,43031066
115.019339992,19924,184283,124614,73921,48921554
116.019510332,23622,118722,94257,99125,37848614
117.019678724,22478,164694,100676,102761,73748105
118.019849274,23638,181903,111349,73499,66702935
119.020008818,52791,286519,128586,98311,84943799
120.020162858,30195,158705,181996,130275,93748258
121.020315523,52667,138191,172622,100471,60680417
122.020495034,32680,149864,123145,82916,44648170
123.020663427,34769,117901,201270,61848,75885935
124.020825443,32778,131339,149092,93299,55980459
125.020983505,23676,99755,149269,93573,65283832
126.021156034,15773,116937,107375,41663,40208803
127.021319534,63709,314659,262956,94233,153763020
128.021493303,20352,165434,180273,66436,49078521
129.021635803,31250,161002,158980,64540,47837359
130.021799384,42469,130027,140471,77835,52316984
131.021968189,47427,308582,151867,133436,98827564
132.022123572,32674,165684,150104,81861,92194474
133.022279966,29925,171636,170402,77096,69005642
134.022431982,41921,173364,148240,82503,68536095
135.022599989,32785,121622,143831,72948,47854490
136.022794808,27950,128977,179492,68455,49585956
137.022961123,42241,148145,200672,135536,88872032
138.024433418,117686,415407,323000,96466,139187168
139.024606802,2620,2592,13570,2334,2695287
140.024766739,22675,154998,124061,86722,35954595
141.02494019,35308,151213,118414,74233,47775725
142.025099198,45471,143699,133299,84260,54086096
143.025270182,319796,2706232,687990,657282,403831893
144.025435776,30918,134114,120929,95323,57259396
145.025596656,33043,217885,147716,64684,88314278
146.025758107,39136,154719,172596,68041,78114756
147.02589985,27180,205555,116030,77169,42481501
148.026091349,32087,170061,117460,59702,40656015
149.026317187,108940,2581710,578529,136748,425639011
150.02653674,502704,5468816,3126872,951532,1286251202
151.026693292,1497,7495,17504,983,1587136
152.026904906,1720,2415,13339,970,1017196
153.027112147,3097,2915,11364,3754,1997874
154.027331404,68,6783,6073,6378963009931454,8548886698077133824
155.027516801,2621,5693,12311,277,967223
156.027674582,2686,1819,13194,279,958638
157.027828425,2855,1663,16351,322,964779
158.027989698,2676,2102,12805,365,949879
159.028199902,64935,556464,292629,243218,152130273
160.028390301,20282,190371,82487,76636,34885774
161.02855644,23671,175290,147890,57036,88399089
162.028716928,68310,139083,351807,108881,47625489
163.028912964,22885,114661,136523,57018,46615459
164.029108923,19849,194569,95255,78839,50595417
165.029339607,16750,185965,92718,65644,48299309
166.029518891,26377,187782,94088,122676,49066737
167.029691805,19617,161984,64453,66158,25281135
168.029892909,52726,220701,161326,87873,88745400
169.030079757,21054,200673,84547,95865,45196961
170.030289035,19878,171485,86581,71157,54237860
170.973181933,163446,2055164,1484960,409938,757505291
