time,cache-references,mem-loads,cache-misses,mem-stores,instructions
1.000121185,39083318,0,2612704,475574925,3481535382
2.000304223,73972336,0,4458449,972596441,7509729938
3.000436694,68566938,0,4736863,677844736,5459931838
4.000585035,4286733,0,127382,60351542,395001268
5.000760478,46292388,0,3850575,464066597,3657723147
6.000955477,64342130,0,3320454,630053412,4916999752
7.001108184,54485897,0,1809845,618414026,4370933672
8.001254888,32439176,0,2601848,507963137,4928042061
9.001409726,71524892,0,2629363,590532714,5134407473
10.001600454,45240292,0,2994838,434748441,3095975010
11.001791563,42819564,0,3439334,411562740,3227319233
12.001976708,34583460,0,3086159,362624859,2688265888
13.002142977,107176,0,28872,366023,1943869
14.002291527,100333,0,23843,330793,1683691
15.002445838,98143,0,22944,331638,1687800
16.00262598,305446,0,75037,2400960,15442463
17.002858003,22552601,0,1680511,233257585,2113290684
18.008197864,2121539,0,166362,28879787,226505343
19.008364099,21817062,0,3282104,153133316,1385506304
20.008534001,19422789,0,3878305,149011255,1353331030
21.008695201,3431462,0,1269922,41577742,408783348
22.008842372,1145350,0,220175,8078829,57666920
23.008999836,1901488,0,617878,20220753,165677389
24.009163649,1234068,0,215442,9156386,65564867
25.009326985,1093690,0,151626,8028630,57398455
26.009501845,1173095,0,166647,10891217,77049464
27.00966997,1130319,0,176552,9098127,66336594
28.00982773,1459041,0,213988,10361374,74791952
29.009985904,1893527,0,190432,24050558,191010580
30.010147864,528053,0,94822,4692272,37377238
31.010309571,737263,0,101707,5196715,35714272
32.010488409,5371221,0,504766,51212170,464399554
33.010652731,1265298,0,172282,12542386,91130097
34.010822319,1613507,0,227199,13984858,103876252
35.010987974,886759,0,123462,8395813,59406286
36.011159888,1385306,0,300637,10401824,74563753
37.011332749,1304141,0,310633,8299944,58664213
38.011517734,1235523,0,309305,10273011,72851610
39.011674465,1346524,0,288250,8410056,59408519
40.01183576,1251218,0,291496,8546501,60265681
41.012003461,1374539,0,242334,8351823,59169746
42.012183869,1676203,0,398487,14349734,111247467
43.012356919,1123700,0,192353,8686763,60380362
44.012513776,1089587,0,151961,8251393,58408581
45.012673724,1563765,0,193935,13390647,99451151
46.012837865,1262806,0,196997,11123865,80496917
47.01299726,932299,0,146803,8251395,58483088
48.013159158,1147875,0,170724,9623208,68416965
49.013318441,1044588,0,142636,8220458,58254954
50.013498906,2095280,0,262820,19483447,151283679
51.013667091,1373090,0,293130,10544071,75893231
52.01383124,1091252,0,241088,8023955,57159441
53.013996849,64915,0,16359,193936,970337
54.014150509,1295259,0,285049,9365220,66973185
55.014310175,1202829,0,208274,8110910,57503246
56.014462138,834958,0,128889,8178660,57931878
57.014615701,865720,0,154021,8669151,61563786
58.014769885,849996,0,170985,8112166,57499162
59.014906581,843494,0,123292,8101884,57421645
60.015078391,1042767,0,165446,9513162,67404636
61.015235009,858248,0,127248,8433610,59302113
62.015406803,1096397,0,226491,10241528,74118003
63.015577656,880333,0,136189,8761643,61018985
64.015723141,863334,0,127189,8408482,59172001
65.015871505,960006,0,113735,10548047,75085995
66.016036754,1312842,0,169650,8614272,60619555
67.016214079,1253493,0,296130,8336509,58721531
68.016362337,1098032,0,192460,9704014,67105596
69.01650087,1270586,0,184215,10830494,76800521
70.016654087,1205997,0,160557,9369217,66529069
71.016806519,995720,0,145236,9243758,65315820
72.016946946,869520,0,126033,8289820,58531292
73.017085565,832160,0,120878,8221679,58104128
74.017248366,1496527,0,175033,14951355,107775755
75.017391011,859290,0,123390,8241441,58238045
76.017545649,900298,0,139957,9207462,64159587
77.017698911,3195933,0,245102,33769506,274476250
78.017856325,881070,0,156811,8505107,60110975
79.01799578,837090,0,116890,8141482,57631585
80.018147343,1665875,0,323889,11738682,84382633
81.018306894,694519,0,158869,7886749,67256253
82.018464738,1119502,0,152222,12751254,91479460
83.018622492,830349,0,116674,8046411,57137207
84.018775677,916135,0,176135,8606630,60861691
85.018934611,1302332,0,199321,10276151,72193904
86.019085671,2488175,0,210225,30990356,248862349
87.019230716,885283,0,137445,8694519,62060183
88.019384146,830110,0,111872,7987968,57016154
89.01954308,1164404,0,165264,10270922,72190296
90.019689778,848689,0,124659,8268290,59328670
91.019845242,818277,0,117304,7864892,56301616
92.020005489,1214731,0,135048,13285849,100150689
93.020170376,1307545,0,203066,10074936,72194866
94.020318358,985412,0,166611,8054334,57659842
95.020475643,1155788,0,241389,8967919,62605840
96.020623177,1518208,0,205593,11257982,82858409
97.020791833,870530,0,120029,8604373,61807095
98.020958735,837034,0,121799,8473865,61068578
99.021113906,2408208,0,289232,27980318,211569996
100.021260432,827351,0,113204,8225177,57814407
101.021408073,828985,0,119674,7878061,56462223
102.021558613,1143916,0,147135,12917297,93410230
103.021712481,851786,0,123890,8511852,60135934
104.021860781,1713041,0,198964,19493956,147929805
105.022011965,1108849,0,171934,11502294,84680663
106.022165467,1071806,0,186483,9734123,71684669
107.022318678,836857,0,168483,7706421,55499456
108.022478946,816255,0,131692,7695144,55402392
109.022643276,823278,0,121073,7677088,55275489
110.022796347,840702,0,114980,7957946,57266100
111.02298692,801658,0,107668,7673239,55255008
112.023156406,798791,0,108934,7672311,55243337
113.023307376,869009,0,124784,8676741,62570939
114.023454277,915229,0,123601,9427024,69030128
115.023604406,804680,0,110869,7714369,55554879
116.023780282,812892,0,108134,7715820,55558147
117.023927793,1015568,0,201539,9987055,73232242
118.024083981,48770,0,4256,116070,617515
119.024196333,1092719,0,142289,7924512,56491300
120.024353472,1241023,0,269836,7751732,55769401
121.024508759,1114558,0,217670,9409257,68109531
122.024665116,1134191,0,263085,7771380,55857283
123.024823554,1096642,0,272251,7761537,55785403
124.024977967,1130110,0,220868,7767999,55853311
125.025140659,3762505,0,394503,38462418,322678050
126.025297882,839368,0,123764,7788575,55924287
127.025447075,1745958,0,232304,16198911,132703387
128.025613648,1052437,0,280172,7685725,55261127
129.02578335,3992690,0,464521,39136233,327729720
130.025947151,1401681,0,280322,11248580,83351659
131.026114849,1186795,0,152097,12174455,90798521
132.026277509,821651,0,142798,7769915,55935417
133.026430183,885041,0,186884,7769429,55971327
134.026574493,1283923,0,248008,10905859,80233934
135.026732284,1289730,0,326658,8919209,66040842
136.026885523,979183,0,180751,8007217,56610437
137.027036608,1025941,0,205833,7642566,55123142
138.027213881,976399,0,214203,7858327,56424287
139.027364883,1075243,0,247618,7633512,55082475
140.027532592,1160387,0,236603,8627062,60334077
141.02769572,1113707,0,249868,7774151,55944343
142.027856478,1197445,0,273013,9378397,67853366
143.028017544,1140447,0,303530,8313521,59864694
144.028192669,936412,0,248898,8346647,60176426
145.028346393,577682,0,83072,6292737,47442535
146.028497182,242803,0,42376,1586339,9097867
147.028694072,788940,0,103433,7603191,54924065
148.0288973,791708,0,91755,7605729,54939828
149.029116417,19982082,0,1326685,182262818,1297388085
150.029301258,112831,0,6389,349583,1955666
151.029493755,90170,0,1770,258607,1351473
152.029674963,109214,0,11986,344266,1941101
153.029883137,90784,0,2991,256439,1341655
154.030075383,89406,0,20758,250381,1308995
155.030249324,86970,0,22390,249241,1303427
156.030424833,88819,0,22376,250007,1306645
157.030619114,2682094,0,333017,21309888,156795040
158.030833658,763007,0,81978,7087718,52105424
159.031033001,779261,0,104768,7135540,52367721
160.031180712,865271,0,134328,7118765,52273083
161.031354623,1075109,0,120555,7108808,52216293
162.031551371,887697,0,114258,8996249,65649727
163.031771452,266015,0,47390,2863006,21436918
164.031985176,581524,0,52444,5541356,40138397
165.032163856,831714,0,90859,8297668,60227545
166.032301253,1029990,0,195473,9809987,75374531
167.032451634,1154628,0,157104,11958675,86200883
168.032589422,826646,0,108226,8318273,60214388
169.032780407,798761,0,104842,7630076,55095174
169.649744857,12686805,0,822964,98004029,691426632
