time,r01c2,FP Instructions,SSE Instructions,instructions
1.000135144,4578234549,3319759,1055133,3821646573
2.000306512,9631250649,6573875,5402037,8143245372
3.000480369,5672395161,4077672,2225853,4855791146
4.000616153,7158112,5341,668,5462654
5.000766384,6415100665,6594538,2833579,5425909157
6.000912305,5274579591,7286973,2630772,4373197129
7.001059902,5667226726,3998784,1738155,4775367238
8.001205149,5733902254,2115046,348369,5225642688
9.001359984,5228373125,2789162,1604146,4329184113
10.001503185,4195844116,5193160,1347553,3535969012
11.001639797,4120657098,4072140,1106559,3401147991
12.00181199,1243721794,991670,331651,1065649993
13.001994333,2575199,1648,53,1976306
14.002136939,2195021,1074,55,1680129
15.002283514,2212390,1188,75,1690549
16.002459696,2251496,1378,55,1720394
17.002655594,2381330485,1422492,1359686,2108233681
18.00284071,248209845,202998,112072,214229590
19.003003122,559879149,119611,25361,491125165
20.003164426,1354328244,822729,1027807,1193315142
21.00331776,1581831295,974977,1241787,1410124117
22.003491019,59166783,82493,16675,51996858
23.003644602,133786056,81494,9483,96930714
24.003798985,69648333,88887,18233,60352210
25.003955757,74925252,92603,21570,64900957
26.004105015,66134446,91556,18196,57491451
27.004255069,87074548,97571,28554,75272065
28.00440887,78536132,92785,26016,68338665
29.004567407,87951515,129761,28156,75992305
30.004726214,297636166,171795,178833,258446450
31.004874253,70870265,89455,18241,61435407
32.005063006,479036379,206005,181624,420164730
33.005212604,103704983,104810,41467,89475604
34.00535871,116921231,116631,59771,101066304
35.005510914,67948341,90097,19269,59133521
36.00754633,67844784,87346,18670,58886520
37.007702598,67462768,88270,19321,58592011
38.007842281,71961724,88397,20680,62392603
39.007993225,68397026,87092,18701,59498778
40.011508892,71868347,89530,20529,62184636
41.011662621,69570625,89464,18860,60273792
42.011820146,133617683,114466,23550,110911937
43.011987476,69823287,89259,18313,60334192
44.012140785,67170730,86342,18166,58346807
45.012288362,121266762,106897,50558,105126216
46.012444142,3237922,2172,80,2448010
47.012612779,88515724,96582,32931,76438111
48.012762653,67077372,90079,19125,58370277
49.012917731,73543985,91854,22216,63790908
50.013069372,67155811,87294,18072,58361340
51.013221789,186873043,130236,86184,161989247
52.013366914,85193870,95990,27115,73828511
53.013507873,66379021,87109,18385,57806135
54.013653607,77720402,95353,24537,67285516
55.013793463,66214889,87744,18316,57584249
56.013930426,66161685,88726,17980,57625426
57.014068403,66408824,86703,18850,57882554
58.014216537,81949406,116544,27889,70605661
59.014383074,68414490,87633,18839,59405336
60.014525623,68226491,86882,18385,59279245
61.014689661,68432070,87607,18150,59340389
62.014848863,92313355,101798,19066,76141993
63.01498694,70681000,86676,18621,61140554
64.015123391,68411271,88221,18254,59368560
65.015280033,87309303,97108,29032,75239758
66.015421973,69150337,89168,19359,59946139
67.015578387,67528760,87726,18436,58668797
68.015715733,96933821,94800,28591,83086227
69.015860912,95168665,97008,34285,82042777
70.016015908,66827740,89402,18930,58123351
71.016156547,66710605,88766,19446,58026048
72.016294673,67709168,87837,18220,58764369
73.016417753,73021403,88078,19572,63211833
74.016562532,22905717,29458,5867,20426220
75.016722468,82189240,70814,30051,69956225
76.016872939,66957337,88950,18981,58264649
77.017020482,73648621,90552,20340,63868510
78.01715843,323643821,153364,127998,281080388
79.017320397,67424875,87103,18781,58540043
