time,LLC-loads,stalled-cycles-frontend,LLC-load-misses,instructions
1.000123128,19592768,1921484006,774030,3909916841
2.00029642,56539306,3563752660,2616912,8255468778
3.000437344,44190145,2628726641,1798674,4747466789
4.000608516,320632,31404603,27402,35577251
5.000776938,41929348,2403262100,3603391,5513840827
6.00094085,39074690,2689812870,1847968,4245984055
7.001091074,37136663,3253089833,2281790,4790831939
8.001236299,39467563,1407430924,927779,5207820697
9.001400853,32761619,2458565627,1951213,4172808029
10.00153647,26620829,1956977652,2402653,3035992126
11.001676191,32012165,2233952159,3384201,3834076052
12.001864354,25639020,1995191030,2624195,4071147753
13.002063197,20139169,1614880544,1656003,3057062690
14.002229165,44660,4481980,16121,1798923
15.002370671,42450,4278612,16411,1686572
16.002542641,47351,5587848,17280,1747840
17.00272478,6067254,361616104,661441,840094818
18.002917154,9096358,253893130,273506,971055791
19.00311332,562909,34456003,84496,75408063
20.0032603,11575800,787501684,1728860,1136441193
21.003416084,16487641,1053201972,3704071,1574141830
22.003560955,926769,107164022,272436,97817360
23.003713252,603424,64660169,169727,56597244
24.003868939,632854,72297927,182454,62248220
25.004024187,627381,74205196,228652,55286862
26.004161773,587896,62075298,151050,57945723
27.00429819,509005,31955357,89768,55287378
28.004442682,511489,34513810,94837,58028129
29.004591539,889149,107992630,163759,98851592
30.004737504,569996,67231914,146489,57946329
31.004887212,552586,65258534,138987,66511722
32.005032892,520579,55404675,143023,58576576
33.005171437,555014,45690284,115945,59141732
34.005313174,848392,187943654,259295,143923247
35.005451439,547650,45578847,123407,59378072
36.005593779,607929,51563306,115377,66849587
37.005752047,658527,80152217,207076,65927914
38.005916807,199075,13387823,49725,25066330
39.006059357,1127475,88445089,83495,125418659
40.006200439,546911,39866671,93685,69029812
41.006346547,522165,34542114,112631,59793453
42.006484424,566969,35344723,103284,64284321
43.006648223,496138,33681292,96603,58627375
44.006810039,592934,41624817,111732,72320018
45.006948375,509181,37369567,96555,59746133
46.007082683,570101,44184290,98438,81751137
47.007220685,506454,32720237,95038,59533410
48.007358531,503034,31061097,93035,59487669
49.00752924,521620,35229354,93993,66979400
50.007738087,554404,35315616,80884,75470102
51.007902352,11649311,865219936,1122423,1582221351
52.008072309,348441,17350698,14850,61889225
53.008256603,43186,2875932,4945,1454637
54.008433884,27784,1799084,1189,902306
55.008625995,28580,2247180,3826,1311099
56.00879105,44298,3530897,15889,1485462
57.008950777,42978,3977831,16773,1438930
58.009096108,44254,4416550,17322,1449267
59.009299652,42497,3985026,16435,1438753
60.009496979,1485482,83243795,214507,183297504
61.009664046,492803,25186680,81534,54872568
62.009825917,594473,67560209,202527,54232772
63.009979632,1235626,158044266,301968,150078859
64.01013178,602208,72624630,252354,54013499
65.01027573,656477,71605906,187124,64057742
66.01044198,888508,98074633,228777,93563568
67.010594307,1989063,182259724,254108,175553625
68.010744228,741028,83978949,117434,80568760
69.010895499,857152,136737250,228920,111660113
70.011051633,530248,54406653,95892,53756126
71.011198141,578269,57187389,150878,56427322
72.01133777,505749,32182288,102232,56384992
73.011480438,581529,59832711,127321,56422431
74.011625523,686532,77993426,139709,87488730
75.011765171,491906,29380399,96708,56840545
76.011902998,540028,37907973,119205,56969727
77.012070053,715729,90172888,244255,70790444
78.012231561,945019,97396082,185849,87759015
79.012379628,862273,89753500,105788,103571371
80.012549167,631026,66215261,170937,58183384
81.012727966,598131,68310193,203463,56364713
82.012864376,526228,51104003,150921,58381858
83.013029494,747471,81876395,122235,78923590
84.013192716,544881,62930525,101233,62278034
85.013336303,510905,33606457,105677,56722858
86.0134892,588798,64307928,128418,56788320
87.013641622,574304,64139807,131498,56791059
88.013797711,809386,91047662,234548,75333921
89.013938608,515620,56554096,116887,56836484
90.014081196,1435998,99052155,132556,155376461
91.014225773,633458,71305994,185899,56830622
92.014380015,573326,58065145,157473,56518628
93.014537517,616629,69345827,185002,56318333
94.014690899,986538,106693797,187495,98628453
95.014870828,756600,87121437,207582,77822647
96.01502963,596478,63428354,133632,56527350
97.015186258,560438,46254296,122511,67517471
98.015334465,526218,35342391,105186,65827370
99.015478139,607629,50456271,108613,84396029
100.015625992,657712,56616980,128340,86002014
101.015775538,2023507,179481424,158388,247844800
102.015918122,845574,63655089,137786,104964912
103.016051543,669918,78853921,228773,67281882
104.016202706,495936,54556482,153330,49825556
105.016346988,141944,17183263,50769,6552244
106.016516315,850960,93203077,323295,73589449
107.016667184,511994,60000939,142787,58107276
108.016810247,484476,31373837,109804,55612882
109.016960355,496688,32121270,96154,61418856
110.017100152,486389,28020967,93678,55726840
111.017238319,483890,28602149,87587,55501319
112.017393765,505981,31805582,109395,57756572
113.017526755,562509,38483176,106041,78663376
114.017664602,820708,63808393,102157,118860005
115.017807017,502783,32387964,102866,58344954
116.01794858,1142680,123062995,204504,119800354
117.018101994,547036,39332590,121715,63628697
118.018234164,524216,39292660,118079,55306797
119.018376223,478868,27859286,89837,55298153
120.01852453,937341,73916189,140892,132039623
121.018659696,476491,27672564,86053,55134829
122.018794483,594523,65828208,98444,65556378
123.018935414,777199,80673307,205752,89830538
124.019078714,493604,44336134,96687,56407171
125.019217164,486874,29809853,93470,56086961
126.03828952,642076,67751347,126123,65190559
127.038419707,604252,63224454,140549,55658887
128.038567505,719976,73244056,151441,83466215
129.038708546,541281,44297043,113656,54958905
130.038867662,485675,31479093,104593,55258520
131.039000647,630356,61436919,116559,69940035
132.039134391,651468,58879626,124788,54916907
133.03927929,604862,64917905,102620,68735355
134.039437773,497784,31139177,94074,55306121
135.039580066,498423,33337265,103779,61700135
136.039723237,560848,53440041,110090,68834020
137.039858055,486066,30855591,105282,55915025
138.040006766,212001,21263272,66386,25117406
139.040157809,383634,40735931,95014,34347717
140.040304976,572135,44103996,121752,69512817
141.040441773,677913,47511739,198972,70446694
142.040606357,486181,32499268,120696,54885803
143.040745396,2024474,105622858,136145,280432470
144.040891212,527920,38357398,94256,63508532
145.04102653,551365,54448892,91279,54609793
146.041164446,492868,52581257,96392,54930618
147.041299946,483270,48208685,85579,54405553
148.041438303,2247822,144082593,175174,280622759
149.041569346,471561,27008843,88314,54759925
150.041715128,473904,27484354,90567,55064728
151.04186207,478698,30225109,110912,55116299
152.042017627,767003,63940473,135195,115648637
153.042166472,489393,34058986,113582,54418319
154.042315433,615145,58526664,144680,53988099
155.042459989,471747,31459509,107068,53928675
156.042592105,493723,33997228,88501,60683402
157.042747761,673170,46732590,176604,70025943
158.042880391,481480,28802671,92579,56038971
159.043022859,472975,27312772,89890,54777131
160.043157614,472828,27415702,90536,54678854
161.043299213,470047,26971238,84594,54386774
162.043437668,485275,30785610,102108,56408485
163.043575291,523393,56738489,109263,54417258
164.043710971,519356,43942015,168969,54397185
165.043855871,709893,80554865,159985,82863587
166.043999316,501583,40689775,108155,53961536
167.044130519,490628,33836136,94566,60204194
168.044265554,523590,56858927,101216,54404477
169.044410149,512889,53747449,84111,53887076
170.044551727,527070,56822642,95809,54471298
171.044704157,526772,57052854,97215,54431258
172.044853956,514607,55683082,94916,53888321
173.045005395,1456675,123658231,262706,170004622
174.045158173,2030342,157291744,138115,271092300
