time,cache-references,mem-loads,cache-misses,mem-stores,instructions
1.0001178,42833704,0,2866535,534861452,3905654616
2.000295807,82325674,0,6646390,1046403757,8155178132
3.000471975,64574311,0,3027329,612388317,4842710084
4.000649828,236997,0,8259,907072,5183363
5.00081371,59843851,0,5222074,654781654,5232591062
6.00097928,56248514,0,2155842,606031230,4370172143
7.001135314,69745864,0,3755358,772672320,5971221268
8.001295496,49420750,0,1704658,475894595,5492960508
9.001468671,55166532,0,2758537,623620602,4420128095
10.001619678,49349191,0,3755208,425003022,3154144173
11.001807497,57365842,0,5350635,456952446,3607905264
12.001985401,49274612,0,3726925,517807615,3918915558
13.002131142,42290124,0,2823721,434222811,3347949773
14.002274032,125955,0,24301,352845,1821520
15.002420255,90495,0,21596,332559,1681875
16.002574656,93740,0,23359,346048,1755396
17.002772418,1233858,0,170591,13927494,97222046
18.002972153,22208558,0,1761848,216067999,2006282847
19.003151071,1380242,0,196068,14175383,105229502
20.003314472,24334949,0,5089350,191844972,1793020991
21.003482146,21235227,0,4328830,176967950,1669935167
22.00366244,1456039,0,342802,13623904,102036601
23.00379904,1701456,0,350605,13304999,100722529
24.003967286,1259262,0,194572,8599071,62296052
25.00413,1049175,0,141850,7755008,55918249
26.004305582,1080558,0,160566,8594182,60993841
27.004466078,983054,0,120808,8317135,58901495
28.004614827,955802,0,118432,8007429,57973886
29.004772295,1506766,0,180375,11359491,82156508
30.004955603,838283,0,156967,8190773,58252297
31.005113008,986909,0,215224,9706555,68472190
32.005265652,839144,0,116873,8261105,58553411
33.005416105,1333383,0,200885,9682963,68945154
34.00559442,1357638,0,424073,12859412,97071575
35.005748007,970149,0,163040,8557259,60316990
36.005905327,1186697,0,264706,8575656,60883125
37.006057015,1079122,0,232631,8986253,63935634
38.006242268,792325,0,160505,7780267,56461863
39.006389658,1137354,0,171451,11447343,93375484
40.006534022,971502,0,128196,8228542,58295266
41.006680022,1068281,0,121761,9014714,64071286
42.006826117,842060,0,109438,8363597,59120981
43.006977256,1149993,0,134957,8790245,62276195
44.007117532,971378,0,142684,9591866,67825004
45.0072649,851389,0,111051,8466286,59608812
46.007427121,967137,0,136931,11166717,80646977
47.007570545,840325,0,113415,8467418,59572497
48.007710996,842057,0,105190,8566417,60076985
49.007910952,889850,0,108253,9055675,63651730
50.008110718,21565894,0,1353006,225475471,1660016888
51.008291897,389451,0,28250,5135557,44151399
52.008475192,92314,0,1002,285531,1465636
53.008653022,111216,0,5841,375309,2081501
54.008840577,91723,0,8965,284626,1463028
55.009078044,20726,0,7091,55170,233513
56.009252893,84057,0,14603,251002,1341462
57.009405731,94019,0,21926,281824,1447993
58.009563337,90485,0,21917,282721,1452702
59.009756881,89115,0,20975,285494,1469825
60.009974158,2392706,0,275043,24098243,173376726
61.010147433,812164,0,94075,7466333,54288338
62.010316402,1066922,0,202933,7467687,54230896
63.010487143,1101132,0,312775,7658337,55399975
64.010641788,2199146,0,362330,19404741,146282496
65.01080342,1112892,0,256176,7456299,54174564
66.010958386,990262,0,231448,8145503,58097080
67.011115066,1414106,0,251588,9855024,71735331
68.011265773,2591354,0,296400,21867458,175447283
69.011423101,1414398,0,262361,12150083,92836688
70.011590223,888004,0,138200,7878823,56867888
71.011763998,1364097,0,170208,12133970,88265700
72.011924342,831301,0,125321,7807082,55966748
73.012085731,884289,0,181593,7879853,56358636
74.012260667,1007674,0,148525,8821608,63069057
75.012412113,1369646,0,171263,12903203,91445969
76.012592448,1306075,0,315246,10286722,72666145
77.012747951,1137048,0,313025,7904199,56465721
78.012912993,1125297,0,325743,7870506,56272143
79.013081167,353556,0,85470,2684638,20130809
80.013237568,838425,0,183309,5786537,40559505
81.013402505,2742545,0,323267,23937952,193459851
82.013555203,1096502,0,220434,7873459,56300810
83.01371555,1111149,0,241270,8103812,57929007
84.013977076,921834,0,135719,7862714,56241360
85.014141048,903555,0,139137,8760994,62772272
86.014304619,1024762,0,158772,7934246,56744340
87.014467744,993023,0,191001,8073073,57600645
88.014616133,1345870,0,311328,13544038,98921151
89.014756362,913497,0,152680,8393999,59649250
90.014911686,951009,0,165204,7916433,56669933
91.015082189,2728812,0,361267,22554609,170367819
92.018797392,1102118,0,276373,8249531,58736234
93.018944501,1387913,0,273837,9940823,72949747
94.019104271,864339,0,176184,8632945,62081611
95.019277349,1191509,0,249850,8859476,63237731
96.019428483,837218,0,122540,8278448,58794290
97.019594734,1096632,0,158048,10292966,73754102
98.019741442,1303427,0,152062,11838761,86732786
99.019889318,837679,0,117018,8030445,57378660
100.020047927,1348425,0,178018,13513581,98273434
101.020207453,1320748,0,157112,13965457,105597928
102.020358843,1009283,0,142852,7977969,57078254
103.020507919,1030907,0,183966,7969455,57022202
104.020670163,970199,0,153160,9307971,66549862
105.020828175,1555516,0,319026,17427266,128825082
106.021003949,512863,0,110005,3980837,28893253
107.021159379,668625,0,96748,4643410,31565532
108.021314293,805969,0,117472,7768377,55856384
109.021461545,1099243,0,144818,7769701,55855300
110.021626732,814950,0,111668,7773266,55877400
111.021804884,832516,0,122666,7895046,56699376
112.021947249,1287069,0,142780,14013737,105059758
113.022101701,1122080,0,153940,10681148,78912627
114.022249311,874584,0,116648,9303199,66753153
115.02239387,1258006,0,135265,9487630,68632738
116.022528454,1338620,0,286837,8474863,61163088
117.022668095,1483846,0,273768,10860730,80657871
118.022840379,857343,0,157418,7746660,55672594
119.022989149,803430,0,119103,7742473,55615433
120.023165231,1646987,0,148092,16138227,132156459
121.087232544,1291539,0,155657,14653748,109846451
122.087397348,839346,0,119405,8344703,60305951
123.087571773,1022564,0,199101,9361049,69790266
124.087718997,1040150,0,152187,10498512,75960597
125.08787879,804723,0,124212,7724239,55668845
126.088022249,794112,0,104761,7704791,55513634
127.088168149,961469,0,126896,9003142,65299669
128.088315118,942630,0,138915,7707269,55567482
129.08845618,821034,0,117896,7643547,55112449
130.088601936,2710314,0,270189,22446420,177458172
131.088761733,1585244,0,166938,16556701,121818361
132.088909691,804777,0,108196,7616448,55028668
133.089063071,996539,0,132704,9235836,67871062
134.089209503,811180,0,109148,7629846,55116748
135.08938678,964639,0,130519,9491574,69889555
136.213819508,865283,0,140076,8471440,61228219
137.213963737,875341,0,129397,8913674,64722638
138.214107419,4303068,0,211833,42184371,369128070
139.214254763,808615,0,117944,7604973,55026623
140.214422427,1032206,0,222746,10222607,75109915
141.214589959,1151435,0,195711,7923056,56720716
142.214735243,967485,0,193914,7520959,54478886
143.214887252,968715,0,126213,8422807,61156420
144.215042252,1015659,0,137331,7598703,55012611
145.215192459,1300522,0,185170,9326627,66172057
146.215369354,969244,0,120169,7547111,54668039
147.215529268,804231,0,120740,7629515,55218531
148.215678299,512215,0,77537,5844732,44188270
149.215839543,291781,0,40889,1709513,10511792
150.215980374,806637,0,136264,7547780,54681023
151.216133191,787304,0,114529,7539018,54618163
152.216283686,794013,0,143127,7539767,54628601
153.216430972,826986,0,151576,7472925,54163444
154.216577562,880825,0,159760,7544971,54663578
155.216741228,1028381,0,121440,7482260,54232683
156.216908788,980018,0,141586,9772568,71194685
157.217056202,779575,0,107668,7468917,54138589
158.217197339,3916364,0,283504,44875106,383271371
159.217346607,810858,0,120024,7483735,54232920
160.217491882,3845772,0,244489,43986583,377704239
161.217646185,773203,0,103919,7444046,54047187
162.217803521,782057,0,109527,7463123,54217988
163.217945159,795166,0,112707,7576351,55021521
164.21808886,834054,0,114742,7456733,54182690
165.218249173,1338368,0,310619,10554600,77580498
166.218404722,1051096,0,263654,7708151,56392634
167.218557808,1017667,0,195271,8272654,61120475
168.218704607,863019,0,152281,7383152,54024691
169.218849543,918655,0,128471,7372509,53958304
170.218990666,960209,0,133681,7875451,57699293
171.219142379,929601,0,128187,7381923,54023150
172.219304899,918981,0,160584,7369515,53957279
173.219464816,1099918,0,225287,8300194,60950192
174.219681243,1074286,0,232756,14675441,106438530
175.219794574,4698473,0,409711,36893087,304579768
176.21995067,4039837,0,487321,36002428,307473236
177.220131274,1265186,0,307905,13207770,101935752
178.220274143,771683,0,115937,7355363,53792688
179.220428337,795079,0,116352,7385213,53994517
180.220582064,671025,0,104631,6674234,50193875
181.220730976,131060,0,16311,741458,3962522
182.220868026,898900,0,153640,8157649,58428927
183.221020011,769770,0,138292,7315665,53531423
184.221177104,774856,0,114264,7377673,53965927
185.221338716,763620,0,108095,7318361,53546464
186.221479335,762872,0,108048,7314808,53525009
187.221624537,807727,0,123222,8448134,60707668
188.221793771,764077,0,120994,7313720,53538698
189.221978939,1006151,0,201780,7345969,53748243
190.22219285,1040563,0,201163,9445338,70902954
191.222404534,13212211,0,1030739,91398442,616065811
192.222599329,87986,0,1790,243811,1278174
193.222792506,414297,0,35730,4834543,38134188
194.222972203,88199,0,2453,260207,1377912
195.22318627,95005,0,9800,261390,1430508
196.223367238,87287,0,19757,239082,1254732
197.223522422,102421,0,21583,237316,1245864
198.223673663,85525,0,22182,235699,1236930
199.223841263,2348999,0,302495,20411147,153083914
200.224038855,747953,0,90829,6886859,51264231
201.224215453,758399,0,115182,6913366,51432254
202.224382745,554899,0,140854,9295665,71840712
203.224539583,453515,0,118566,4969792,35539879
204.224695288,879465,0,142005,8840711,65204009
205.224850642,986414,0,137005,6923987,51539686
206.225034583,808836,0,110173,7976401,59632353
207.225257594,1791447,0,142164,18314989,146435825
208.225459076,762982,0,92258,7129676,52591181
209.225624295,784929,0,118171,7152169,52755202
210.225777015,798855,0,115882,8001775,59403102
211.225922814,847646,0,117622,9034631,67129387
212.2260754,781198,0,128434,7330083,53963402
213.226253932,760509,0,98332,7316380,53669242
214.226475426,13713366,0,1186230,112400001,811067363
215.226686621,88124,0,13040,237379,1248334
216.226868951,88848,0,2008,242902,1278631
217.227060832,86323,0,6286,234949,1234690
218.227245993,87657,0,1516,237710,1249209
219.227465229,88296,0,17991,236113,1241410
220.227646119,85958,0,22340,237031,1245768
221.227847975,86756,0,23639,237724,1248244
222.228022799,86793,0,22103,235825,1240021
223.228208605,1556334,0,202005,14991788,111897664
224.228412405,662973,0,53156,5893916,43640776
225.228607976,744707,0,90004,6857684,51143644
226.228763955,748059,0,121766,6866683,51197335
227.228939654,782643,0,161816,6873043,51243416
228.229095919,745000,0,96739,6862493,51174944
229.229291196,756699,0,105962,6898277,51368398
230.22951222,808930,0,106550,8040880,58645116
231.229726051,882811,0,95011,9610138,72281403
232.229908978,1100317,0,209621,10741440,82423360
233.230058513,993097,0,156398,8034491,58248834
234.230210973,766413,0,105620,7141910,52708262
235.230387692,760456,0,107515,7133099,52604141
236.230580735,777621,0,96223,7311489,53655720
237.079581569,10893198,0,725476,79700657,559788108
