time,dTLB-load-misses,iTLB-load-misses,dTLB-store-misses,iTLB-loads,instructions
1.000124321,2408437,895316,318660,2160931,3846185580
2.000293774,6389426,1010754,831124,3583741,8131102681
3.000475919,4348511,903020,363364,1754429,4486583113
4.00068559,607168,98743,39099,314329,481378862
5.000870421,2873948,650525,258113,1215443,3120698380
6.00102372,5898923,1060344,413153,2154483,5619049503
7.001177526,6353685,1038731,614015,3512974,4258012305
8.001337345,2182747,869005,208023,1152964,5393402423
9.001493985,8834560,904045,515703,2815020,4698599091
10.00165937,4833213,1058241,418999,2099333,2725196894
11.001813703,4367294,1706498,367167,1632117,3399025306
12.001994623,4747482,1436140,404663,2297698,4307224082
13.002183216,3835230,1113808,277693,1952188,3141155829
14.002388909,1038680,347295,77827,782653,1305737964
15.002552591,10849,3756,1237,3119,1795242
16.002737913,11207,3752,1222,3098,1746123
17.00288568,10514,3803,1217,3428,1684320
18.003084908,844838,171532,91325,347142,1751491542
19.003300146,64693,21446,5545,34414,58133053
20.003491765,631557,164408,42571,419503,1196686666
21.00366064,1493157,146885,129833,346845,962293899
22.003831392,744861,56147,64297,131694,716221125
23.003993771,90476,43128,9354,94205,73807958
24.004147063,75613,27223,7096,47120,65103259
25.004298291,74738,38842,8107,76658,56150353
26.004468789,108929,24686,17846,84701,59054610
27.004630456,58424,21500,5119,84929,56091858
28.004787185,63393,25169,5666,86336,58151297
29.004943591,102429,39102,8733,125589,81774542
30.005105418,74580,21453,6187,97218,58800245
31.005271035,12776,4830,1398,13750,6250400
32.005426037,76283,20247,5682,95953,63774476
33.005615487,74481,30301,7622,76115,58686586
34.00579313,71240,21589,6302,35615,59299581
35.00594167,108689,49283,10915,87225,88606632
36.00610698,71035,20185,6509,37680,60567792
37.006260942,79671,37315,9278,82758,66666854
38.006437359,91293,35158,7054,86558,64873944
39.006605677,118429,49700,8411,144591,151632028
40.006760017,73102,22039,6208,40092,66292855
41.006905701,69080,19545,6185,32773,58590748
42.007059959,78268,22718,6509,37010,64226432
43.007215776,64436,20703,6264,35334,59235728
44.007377567,66320,22749,6148,51895,69633130
45.007524074,72932,21848,6945,37960,63329082
46.007668223,78829,24140,7203,44272,81605592
47.007809308,64288,19024,6208,35171,59167297
48.00795299,65181,19523,6386,34770,59585494
49.008096015,69844,24740,6674,45378,63992286
50.008263395,74329,22886,6392,40948,75126690
51.008469759,422573,151097,40751,251890,360225921
52.008690386,1104448,327491,114619,1039553,1341311477
53.008868451,9703,4486,1387,3719,2076007
54.009060958,7215,3458,1006,2527,1452417
55.009231449,9640,4376,1250,3483,2065400
56.009441523,7770,3506,986,2539,1492079
57.009617023,7911,3624,1215,3014,1446462
58.009774162,8204,3699,1381,2996,1436780
59.009928815,8070,3476,1232,2684,1448997
60.010119596,165365,56542,16453,93733,165720148
61.010341177,55911,19875,5261,29189,54203790
62.010542877,61936,27084,6607,55609,54417362
63.010707485,127360,61639,12576,155291,150735440
64.010870104,65328,37719,9559,79958,55153811
65.011046363,55635,28289,6140,88907,57102203
66.011209339,98370,47266,9824,133856,112557996
67.011369217,185242,73434,16200,131231,175101497
68.0115289,70216,34092,6028,54090,76027191
69.01168548,8269,4380,1181,4133,1889129
70.011845495,98082,31449,8475,108799,100819537
71.012008466,58790,22247,5616,81667,54038713
72.012172334,73093,27574,6915,89721,58842830
73.012330675,57919,20399,5839,32859,56375947
74.012486925,59560,21929,5953,35124,56407826
75.012649062,70855,25056,6648,111055,76085992
76.012794491,60464,21698,6074,32982,57409114
77.012944793,59720,20647,5830,31813,56946612
78.013112517,74850,40875,9241,105596,74066534
79.013279311,75392,38567,9950,83763,64402630
80.013444905,149010,66095,12749,146925,191066445
81.013604485,59878,25648,6642,78027,56400371
82.013766792,65227,38312,9381,86256,58031086
83.013923657,62233,26524,7535,58585,56583358
84.014090026,68127,25057,6405,87078,63883918
85.014243651,65793,23808,6152,85933,57656947
86.014416401,71331,27527,7735,83358,56754945
87.014570028,86558,24809,8772,87920,60088778
88.014724097,79081,25353,6804,101802,75912793
89.014867952,66770,28496,7054,52910,62776735
90.015009077,63890,24183,6887,47100,61290532
91.015158257,160424,51729,15187,122961,153419631
92.015332575,33689,22658,5919,43399,34502501
93.015499366,52559,23315,5615,57745,52929189
94.015662602,66471,39394,9324,77908,56045800
95.015821827,91578,45518,10303,105898,100361145
96.015984476,84423,45614,9613,92898,72985608
97.016150746,62400,24127,6780,41025,59054123
98.016317538,83931,43512,9735,95594,94412188
99.016492619,67574,24406,6790,84168,55858446
100.016669809,78444,36108,8105,89534,81313167
101.01681902,78703,26352,9722,85324,57757903
102.016979072,176085,70842,12803,203191,265858927
103.017139745,76447,24173,6010,87440,55990559
104.017289923,67400,27438,7805,58078,57420321
105.017460462,78553,43095,9640,90222,68134458
106.017620031,83521,42223,9998,82288,69567901
107.017780326,71992,35031,8739,91913,57562030
108.017926483,72175,38589,8976,79699,55663221
109.018102442,62830,23457,6477,37663,61756899
110.018248103,57408,22059,6086,59284,55658295
111.018427645,60606,24086,5794,84425,55737843
112.018575144,95823,34708,9411,118968,104189280
113.018731743,82129,29539,7770,95626,78812317
114.018883321,67093,25287,6616,38401,70744963
115.019039296,57977,21832,6076,33375,57400921
116.019179846,74181,26878,7256,42161,85607529
117.019343331,60931,24223,6567,37367,57091325
118.019496091,68886,33853,8237,73694,65217382
119.019666899,31010,11880,2972,16343,36548648
120.019811347,32784,11327,3607,18759,26843071
121.019970921,141172,53404,10251,119058,210892673
122.020113297,55994,20640,6021,33758,54881834
123.020281777,65422,26232,6300,80892,64513183
124.020448816,90209,30537,7821,55658,93765787
125.020596409,69601,24933,6888,84133,56079162
126.02074502,63590,24924,6134,82753,55792042
127.020886136,61422,22639,6248,37765,64934924
128.021045742,55131,20977,5921,32709,55139918
129.021193252,67183,21689,10399,83390,55219513
130.021357943,74037,28668,7554,56167,76539107
131.02150398,63224,38740,8804,81645,55976451
132.021657527,69392,32317,7389,91563,70229206
133.021817271,59960,25812,6147,78974,54668152
134.021969872,65452,36425,8318,95825,68058067
135.022134855,59945,23535,6417,33996,56141536
136.022293214,59405,22255,6173,35307,59302516
137.022455529,54634,20045,6053,30540,54963117
138.022614247,56156,21867,6096,32810,55848447
139.022762431,55758,20328,6001,30184,55092882
140.022907027,57717,21347,6295,34156,55092442
141.023065703,89878,40831,8465,91921,87869067
142.023218639,66174,37007,8222,78138,57575207
143.023368361,59069,25057,6703,38249,54458544
144.023531969,129898,39562,8576,85135,302848238
145.02374722,55324,20634,5913,34308,54685035
146.023895678,55191,20259,6006,30246,54455364
147.024054767,55913,20269,6192,30483,54376260
148.024200282,250786,65268,22465,108779,301430831
149.024350956,55932,23972,5566,79256,54401869
150.024507198,53524,20673,5465,85139,54488087
151.02465188,66516,24608,5912,79622,54867831
152.024799643,73858,24984,7507,42470,90504149
153.024959856,54342,20674,5643,29710,53973061
154.025112934,53797,20753,5884,30301,53951437
155.025273739,21264,12682,2581,28408,23072928
156.025444469,38603,20624,4587,47266,31059733
157.025587655,64650,31774,7141,58595,60453667
158.025741734,84417,25391,6145,81595,72086883
159.025893995,60857,22245,5648,85151,55888041
160.026032514,63594,21962,6252,34309,71065015
161.026180139,59543,22428,5842,33533,63792539
162.026328221,59812,22990,5973,33948,61117927
163.315062419,110716,43949,11557,62388,113187614
164.315202766,54864,20693,5878,30450,54380943
165.315345237,58557,26000,6440,46730,62907639
166.315511253,21744,10869,2631,16912,23883337
167.315669063,39959,21359,5497,46144,30676417
168.315828047,57839,23627,5980,79117,54391447
169.315982367,58359,22174,5688,80165,53886260
170.316127555,72742,22272,6478,79153,54357170
171.316290793,54069,20188,6092,30915,54362543
172.316444308,52445,19916,5822,32164,53907840
173.316603728,60974,24293,5980,78471,54454188
174.316758439,97589,28527,7355,99569,100372351
175.316906762,75642,22447,6257,88586,56609664
176.317045723,227945,53123,20622,124363,312194927
177.317193262,135757,48638,13381,125608,304978119
178.317349101,60354,24333,6105,38014,60627926
179.317488737,166238,46682,15566,105407,417479455
180.317632158,63775,24889,6064,38559,71516814
181.317775841,56565,22312,6011,30573,54934694
182.317940402,59195,37349,9177,70164,53752929
183.318093367,68408,34247,8269,75274,54101826
184.318266024,60040,23961,6085,77196,53723754
185.318424724,59780,22496,6123,37625,64620617
186.318564498,57707,22746,5907,36533,58231473
187.318700606,53390,20098,5737,28629,53614418
188.318869647,54011,20477,5745,29170,54172977
189.319017607,61561,25759,6196,40729,64280732
190.319157488,70724,22616,6648,32846,70741624
191.31933184,72791,33842,7097,72182,74687021
192.319536694,254911,98443,30240,139637,271002101
193.319742111,434568,153046,53939,401101,398952240
194.319929845,6342,3516,1035,2584,1258070
195.320102753,6059,3500,916,2125,1251186
196.320290707,6398,3509,910,2356,1265618
197.320481695,6518,3658,1100,2814,1255085
198.320625462,6759,3714,1189,2969,1245494
199.320780234,6782,3655,1264,2928,1245596
200.321028597,6848,3757,1216,2730,1256329
201.321196235,156063,62309,15969,87535,189717678
202.321412479,48450,20157,5128,22698,51604479
203.321606866,73516,23333,9040,28728,71616153
204.321783434,50255,20477,5511,25870,52119485
205.321945413,49019,20295,5392,24025,51305139
206.322096445,48328,19722,5271,23652,51300714
207.322288253,57313,22868,5728,31440,61274068
208.32253028,50840,20096,5373,24809,52562722
209.322748928,50935,20071,5234,26041,52547357
210.322940123,55646,23070,5875,30907,55694004
211.323105503,55624,23058,5989,28841,54630578
212.323286674,55648,22177,5899,36118,59815916
213.323483255,51819,20346,5903,26591,52700200
214.323662745,54279,21200,5782,31103,53697282
215.323881823,124832,57201,17749,71168,81892260
216.324081774,621334,208288,71441,539238,711669190
217.324304551,6060,3519,906,2725,1259614
218.324484355,6202,3675,951,3116,1253549
219.324669586,6033,3582,897,2583,1247489
220.324891137,6254,3635,948,2402,1266121
221.325101525,6636,3673,1068,2976,1253399
222.325317149,6791,3920,1191,3198,1254842
223.325495782,9132,4931,1291,4690,4243027
224.325691087,6762,4254,1232,3996,1258908
225.325915471,148248,61011,15182,82310,168830540
226.326126529,48231,20489,4951,24047,51231945
227.326303157,48605,19801,5391,24178,51208985
228.326453312,51366,27679,5681,60387,51241629
229.326613611,48772,20249,5266,24849,51219326
230.326783273,48204,20530,5257,24858,51215086
231.326993576,54949,22164,5696,28810,57290891
232.327219364,69921,23899,6091,30895,74760003
233.327402122,52102,20997,5371,28266,52879580
234.327581894,60619,24836,6272,34070,65476115
235.327726146,52794,21673,5857,27519,53991601
236.327872869,53870,21792,5935,29461,57187717
237.328053781,53538,20830,5758,30614,53691231
238.328244045,7759,4006,1060,3978,7897083
238.697795913,852364,215355,145776,523587,605497826
