time,LLC-store-misses,LLC-prefetches,LLC-stores,LLC-prefetch-misses,instructions
1.000127876,2298823,9204193,8369814,747537,3714567788
2.000308521,4273075,40746300,12811698,2673247,7928663128
3.000481377,1483923,22224205,7595347,3053164,5009713345
4.000660273,3581,22067,33804,89,5362644
5.000866119,2651693,24212876,7003246,3607128,5301161424
6.001029419,530177,15260182,6409127,2449209,4316322848
7.001185817,1178085,19947158,8137607,2412302,5246299641
8.001341799,941367,15693298,3221618,1796884,5962095118
9.001512589,790400,16242159,7526330,2054775,4467426087
10.001668164,1378446,8910420,5713455,1795300,2898091826
11.001836419,2208247,11028932,6415483,3215303,3336651543
12.002023486,414045,4892249,2977372,854470,1471100510
13.002201116,3025,13141,11646,525,1507914
14.002352331,2847,1387,11280,435,1383372
15.002512321,2898,5672,11143,562,1377032
16.002676973,413029,8763577,1859565,515908,1198670162
17.002844644,439798,11789760,1304327,1553794,1398944370
18.002987647,559302,11208693,1596640,696305,1335493445
19.004308137,836,2882,4306,1215,460857
20.004478752,41783,110795,178749,92918,61063940
21.004647927,41827,261291,215948,73877,62344469
22.004821702,202628,609443,519458,188848,186253315
23.005001979,39248,133484,184798,70858,55060227
24.005171071,33760,145876,139557,49546,51400711
25.005341054,30998,212683,163993,102308,55950089
26.005496987,32618,250343,196734,122729,70106775
27.005651156,27457,240918,194639,92017,91795204
28.005801139,34050,297939,150369,126593,73136252
29.005972148,151409,863532,495364,187798,266712146
30.006148899,30437,150333,153213,70938,48404995
31.006320403,39596,162163,224938,76121,67355364
32.00648196,58046,247125,246500,91285,84570226
33.006634703,56632,211674,219991,95798,101330560
34.006809281,30795,223628,159623,68204,52301402
35.006966884,25458,220675,157222,128094,64913250
36.007110373,30345,193756,147708,75706,48815737
37.007269248,26896,294366,146787,114613,99082157
38.007415728,22581,111131,119926,67034,53093321
39.007588619,1740,14468,15318,26541,1395459
40.007751283,40842,247881,187755,81910,61059352
41.00791722,39564,121254,166334,60458,51408264
42.008082489,179797,1160134,554048,576288,365378969
43.008240825,26745,127105,192892,49639,56832868
44.0084166,36771,192433,172131,125328,52914382
45.008570794,47454,261696,273619,85666,124370934
46.008731945,30244,266081,187070,86070,71791878
47.008879019,16724,189001,121917,56145,47970307
48.009033086,21153,202280,138287,95131,66114643
49.009186638,50088,199161,217274,80796,63445148
50.009361857,103783,871452,265844,171760,101994828
51.009523304,59206,238501,180838,100925,120614807
52.00968363,28959,138836,146129,86462,60702595
53.009850453,22880,140923,164179,71422,54760210
54.010020708,22435,163500,134707,82205,62998955
55.010195359,20879,144045,150428,84815,63430500
56.010345235,31214,149646,127150,80972,70757173
57.01051184,36074,118673,160022,73496,50201755
58.010683209,39377,150708,186181,70262,72172334
59.010844459,41367,126699,201073,71715,69035798
60.010972934,33097,187749,190620,51546,54503707
61.011126318,316,10257099633036806,7829,342,395297
62.011279298,99680,279628,238147,335639,43838533
63.011461876,28143,192777,186343,119676,69624638
64.0116351,25939,173051,141665,82245,54889413
65.011792359,33121,194445,110023,70082,49061429
66.013331341,37944,186685,149373,51850,53579036
67.013482844,29266,152250,118818,90603,53043381
68.013626349,28320,138513,171126,70951,59653050
69.013797384,24312,157325,128324,92520,83980744
70.013949269,19400,208967,160747,59053,77708182
71.014116213,27471,143868,90339,105277,56494616
72.014313217,20850,225857,116210,69410,53391399
73.014507141,34782,312129,142262,98484,104881289
73.920913337,188599,2174838,1782302,412165,724692507
