time,dTLB-load-misses,iTLB-load-misses,dTLB-store-misses,iTLB-loads,instructions
1.000116424,2610077,736954,332047,1684598,3932037317
2.000291468,6320633,876517,793798,2838111,8354774318
3.000469439,4632093,726609,423686,1295536,4586735477
4.000664873,22179,5973,2267,2492,6008974
5.000834379,5404230,660738,447151,1219840,5609469388
6.000983541,5586707,625997,406921,1627118,4422996739
7.001127845,5410618,931329,569954,2192195,4743834306
8.001284951,4750473,399977,168788,545913,5189498664
9.00143106,6167659,710218,551737,2431247,4236833623
10.001601276,4522182,1087944,385451,1190646,3674658233
11.001819158,3892435,812555,275766,1198339,3153501374
12.002007403,889999,232672,80822,398550,874342859
13.002213521,11432,3184,1252,2091,2049523
14.002367953,14878,5397,1564,5525,8036183
15.002513818,10439,3036,1237,2128,1691385
16.002717576,1132484,146542,111644,301388,2079512488
17.002945467,108185,22218,6882,50499,171404953
18.00314127,776019,128352,73101,243536,1387682365
19.003306535,709270,116773,47488,260034,986589272
20.003475235,614473,53613,40348,80179,898539230
21.003660208,78365,23129,8447,22936,60551663
22.003818764,86808,28069,12535,19043,61940305
23.003976673,68957,22547,7647,20493,57391589
24.004139845,71306,22667,7830,18210,57559567
25.004295879,71227,19293,6328,21503,60070439
26.004456881,71801,18602,6790,24114,66567268
27.004668906,9962,2774,1043,1849,3483271
28.004842566,90054,18405,6886,20853,74120831
29.00502202,194764,50006,17008,107807,247251405
30.005198191,70363,19126,6810,21107,60112687
31.005369984,81514,23521,11047,32313,70203436
32.005569636,67118,13982,5627,24745,60175964
33.005725091,89739,20604,6752,42994,98605223
34.005882038,74915,21487,6861,18556,59080875
35.006055893,75868,21990,7505,19714,58911031
36.006235666,78323,16281,7085,18647,59065370
37.00638498,79387,17180,6570,20145,59440387
38.006540366,75588,16542,6711,18631,61068619
39.006706894,73493,18585,6243,31603,65525667
40.006872704,106819,31225,10754,24896,112106800
41.007040754,74731,19806,8028,25034,61329529
42.00721755,138868,55309,12671,69600,128468946
43.007364143,91563,32425,8905,31649,74268668
44.00752175,89611,25764,7362,58327,99770935
45.007663672,81618,23575,6849,38157,89702392
46.007812476,72816,13636,6310,17302,63304620
47.007963135,88434,16517,7297,20439,67505392
48.00812374,6420,3486,753,3451,1471974
49.008284062,84678,24230,8650,35970,79903587
50.008462865,134604,35364,10768,64136,153464332
51.008627476,82752,26702,8698,31415,77694264
52.00878813,68649,15774,6623,20415,61531637
53.00894447,69148,21589,6370,27750,64685228
54.009106579,178326,44958,15862,113139,283158787
55.009287811,65464,15598,6700,17959,59912937
56.009436384,68701,17474,6610,19987,63703085
57.009596311,65844,14861,6762,17724,59199482
58.009761197,76168,26202,10031,19410,59226394
59.009919469,69657,17738,7669,18299,58850344
60.010087261,89802,24344,9851,23601,81709368
61.010256644,77603,28158,9738,17672,60248486
62.010431527,66064,17833,6728,17918,59201348
63.010584256,65733,17058,6863,22013,59107033
64.010737476,66532,17431,6668,18984,61093334
65.010888463,85377,30094,9555,37121,83017802
66.011039384,66723,16947,6687,21020,65789308
67.011188696,77368,18369,7656,36689,83171409
68.011331315,66969,17099,6956,20507,64007087
69.011480542,61344,13496,6281,14013,58383248
70.011645996,58428,13228,6249,14396,57958397
71.011822985,61259,13120,6570,15746,58441795
72.011964236,61160,13612,6381,17675,61550446
73.012150109,75217,16880,7820,29260,89554149
74.012310988,110002,22755,10216,38097,121581384
74.318150748,871188,165136,132785,285858,694236425
