time,r01c2,FP Instructions,SSE Instructions,instructions
1.000117848,4704374482,3385740,1085230,3925550218
2.000323099,9829635994,6669338,5519311,8288740493
3.000454077,5486974889,3930898,2101472,4678649196
4.000609473,7696646,5984,754,5896831
5.000761467,6270143201,6180662,2750532,5322844443
6.00096949,5282885159,7678045,2656673,4361675581
7.001115491,5633797604,3999543,1723118,4735508666
8.001264717,5643743969,2008835,320359,5157252012
9.001412487,5138913351,2917488,1480556,4228087514
10.001557876,4142669486,5184185,1335952,3454305561
11.001722607,2897513036,3439618,844854,2465411092
12.001898016,2528530524,1627768,575433,2041488602
13.002056963,3429452,2015,212,2681348
14.002201038,2225992,1341,56,1699089
15.002392567,2217738,1347,50,1692698
16.002563683,2235232,1250,49,1709135
17.002705322,1790351953,1270086,969798,1558761791
18.00287342,607963192,219597,381370,563533456
19.003013368,124883946,104434,71362,107871290
20.003177645,1551822033,817044,966275,1361739253
21.003332752,1900818207,995595,1208914,1686172269
22.003505025,90705413,96092,27311,78296919
23.003648623,299590866,183376,26656,190151302
24.003780706,70320939,90096,18436,61051346
25.003932362,71663527,90449,19966,62194744
26.004084825,68230690,87969,18056,59127588
27.004233347,84607331,95545,27157,73094278
28.004392116,98690312,137916,36142,85192875
29.004543086,72010209,92347,19215,62249078
30.004688618,285437959,169522,178338,247419249
31.004841348,73394048,91047,18953,63493285
32.004995763,87610778,99563,29067,75533519
33.005144277,105172595,106929,41114,90592594
34.005298203,116825936,116555,59535,100933169
35.005453653,276625745,132178,48350,241245994
36.005607023,169516455,134289,129128,148822457
37.005761968,53962339,74071,15118,47963243
38.005919499,14067728,13962,3078,11193515
39.006059303,70070616,90987,19838,60826123
40.006205444,74959428,90192,20788,64905575
41.006348302,74891251,88901,20089,64846121
42.006502018,68058641,88008,18214,59147645
43.006649762,141062860,132662,24389,112321511
44.006780955,67157177,87928,18336,58363786
45.006930673,73469063,91672,21393,63784203
46.007099387,111662124,104157,44033,96790602
47.007256993,90991996,99546,33603,78666082
48.007416495,89625953,122146,30634,77076179
49.007557062,69081819,88768,18123,59861791
50.007702686,79550526,92910,24115,68728369
51.007849794,197519318,135790,92050,171302685
52.007999369,68887151,89784,18235,59740135
53.008150477,74420743,89178,22023,64302921
54.008300326,67970017,87470,18135,58931092
55.008449751,68953715,89650,18578,59855118
56.008592521,68329037,90016,18802,59321498
57.00874966,73740188,90494,20759,63715911
58.008899017,69705062,88441,19104,60449546
59.009056433,67641183,86715,18266,58739837
60.009213802,68570874,87775,18411,59491076
61.009356982,87050329,95215,19247,72773878
62.009524344,65244827,86033,18206,56734591
63.009667198,5186559,1742,262,4017603
64.009819719,68140495,86903,18349,59128159
65.009973128,70434574,89944,20341,61071851
66.010126975,115289303,108070,43900,98883679
67.010271672,71362655,89867,18960,61957250
68.010415359,66751555,87877,18976,58106491
69.010556099,90526466,92871,27119,77958110
70.010689494,74401754,89137,21543,64503900
71.010840996,66584020,88315,19380,57962978
72.011032395,67120331,89086,19113,58403613
73.011195999,78199911,93255,22360,67539292
74.01136965,67558315,89712,19210,58735212
75.011569301,105159395,101375,37072,90504292
75.862009084,979973487,574460,238631,831601438
