time,LLC-store-misses,LLC-stores,instructions
1.000130824,2009336,7492795,3619180324
2.000292033,4056667,12515624,8006432675
3.000439856,1594441,7927688,5259595719
4.000578704,1122,32675,5062708
5.000708271,2601834,8510799,5457557278
6.00084602,641105,7336101,4786802828
7.000985325,1010975,7875886,4623519154
8.001119863,694186,2579709,5225096427
9.001247257,967982,8035471,4302986740
10.001369541,1533011,6417810,2933971171
11.001521482,2789782,8601792,5892357873
12.001685472,1422919,6732898,3314896509
13.001857406,2952,13026,1777961
14.001982359,3088,13837,1655882
15.002119827,3055,12305,1661002
16.002267465,3084,12160,1703678
17.002431241,6795,27925,10609059
18.002622427,613606,1767835,1655481697
19.002772834,33899,166161,86686150
20.002921924,741749,1466818,1090733888
21.003075782,1054941,1891235,1565821326
22.003212254,50383,206177,74423646
23.003345874,38945,196486,80801559
24.003514665,55457,228370,97940011
25.00365757,32341,186445,57173947
26.003801678,39577,175630,96094748
27.003942138,42133,204081,86856518
28.004087254,37985,201273,99506282
29.004233177,30394,192529,73081227
30.004373369,120581,313864,159905894
31.004509872,29760,145359,59784524
32.004648388,27893,145197,58397935
33.004791715,10899,48180,17998497
34.004917313,17586,119152,40578082
35.005063413,27084,142470,58840240
36.005221724,27470,164478,60575456
37.005363612,29467,141292,66760429
38.005504779,26581,122623,59219094
39.005635847,30716,174892,63336969
40.005765219,27002,132030,72692688
41.005895711,27963,166011,59023570
42.006031465,22965,122931,58635223
43.006172995,21820,120288,58616351
44.006311464,38131,222478,59386463
45.006459478,87513,290939,135423888
46.006642029,76604,264504,116502200
47.006808496,40658,176221,63819057
48.006938854,31425,162991,57972639
49.007071062,42790,221981,67400777
50.007235585,67755,214907,92249305
51.00737215,25437,180737,59021596
52.007510484,29739,176876,61915307
53.007639411,28236,173250,64090182
54.007779179,30411,142714,57456375
55.007923965,33049,178212,71508325
56.008066634,27247,143371,59220474
57.008194346,24991,133185,60273631
58.008321655,23865,163918,52700105
59.008459255,3384,25981,6200742
60.008592831,33781,202294,78020858
61.00874074,26273,143927,58731603
62.008873327,26700,147015,59116124
63.009016541,38190,202592,78386961
64.00914784,25577,164916,59023465
65.00930718,25437,134076,60690861
66.009437287,34866,215715,59152138
67.009581362,41545,194198,61263165
68.009725587,256541,643803,300088998
69.009887032,58800,261737,89157720
70.010020526,60257,210261,95476300
71.01016075,28842,158828,60639371
72.010291448,33910,238294,65042840
73.010432171,25620,156362,58346245
74.010574848,25076,123172,57790791
75.010718921,25717,140868,58187086
76.01085356,35807,159141,71607713
77.010994135,29826,166403,68216028
78.011126188,23832,121545,58415418
79.01124835,24853,158135,58082939
80.011380537,57260,294437,140045581
81.011521922,32912,151766,78868571
82.011676314,29387,166999,59424490
83.011806376,27764,138008,65378402
84.011942111,51029,194419,85685311
85.012069381,77614,317450,218470214
86.012207728,28933,134481,61855377
87.012368006,24197,191850,57468178
88.012538117,41456,164559,63453940
89.012666619,74593,237386,101239795
90.012812442,35140,190723,59972387
91.012967653,25442,144813,56195644
92.013089038,97978,397763,192968869
93.013225257,33142,180694,56951112
94.013344932,25542,142294,57371661
95.013474091,24996,122546,61319250
97.27943231,79764,381342,169542705
