time,SB Resource Stalls,Total Resource Stalls,cycles,RS Resource Stalls,ROB Resource Stalls
1.000172575,229030976,658224911,3924703732,294144390,28017274
2.000614874,356400864,1541043736,7275270551,735982261,61374377
3.001034733,213231428,1176204766,5553250749,521281417,61129743
4.001905141,44538981,103636192,557378261,40332669,2720401
5.00219729,183187788,880936206,3909114276,439052805,56422145
6.00248946,239271154,1160862437,5902101446,619690379,73983231
7.002777413,282617212,963309573,5584639193,454757727,30387855
8.003086477,72459910,899709624,3331754554,636729229,23282079
9.003365257,316786627,1236596952,5459031712,547096689,30227794
10.003722317,205047269,793783034,3579285952,403037279,38221363
11.004062709,211481632,1364218068,5369835601,719006547,86031723
12.004263462,299561701,1026485693,4495684417,489716114,46748888
13.004505483,274215220,836178308,4783439129,397757146,31464277
14.004804043,263193176,1174093594,5593510395,578785677,54969737
15.005072101,236103984,996523759,5178073040,478651576,51545073
16.005514286,147186456,458282496,2442156477,224926905,15040669
17.006833664,84268836,467943232,1768237882,236923926,22620444
18.007077893,909038975,2689039752,16639311982,1045064826,103388479
19.007310238,1760573797,7318762059,32137444754,2566760864,238393363
20.007540789,1468630388,8601174825,31053411686,3002816843,409238701
21.007770535,1604271771,7330445853,29993334139,2530753679,311424037
22.008069728,1179304083,5048467494,25265092493,2035841168,311891166
23.008297858,1504175598,4848819653,26569164383,2031252231,207005227
24.008513337,1128945795,3553446645,27192380177,1287144337,99849693
25.008732637,614110895,2392372935,23908329036,829460742,96670846
26.008955921,534314602,1896689811,20112816249,596036989,150836287
27.009354695,705035744,2300621629,17472446680,923797104,102859755
28.009562031,907392639,2537332766,16192511532,1006472159,86158645
29.009800418,1625444187,7610862889,31584111843,2662189180,269627291
30.010034717,1685346440,8443198285,32323322245,2891686227,348859190
31.01026557,1319778189,5855232300,27532416118,2148344893,272441283
32.010504476,1192307329,5407746164,26111685394,2119433944,342136622
33.01074333,1466376839,4188401202,26133269289,1678086368,127700607
34.010971397,1026532514,3373576212,27066309659,1243219882,115639133
35.011199069,690735314,2455603117,24315837706,867600173,114178240
36.011401871,533453170,1889090044,20465431520,614162855,129201666
37.011629467,766580804,2505682127,17531958581,1015217309,106415439
38.011839311,1001368964,3481060679,19195077334,1459129776,143068882
39.012086295,1655533915,7665408260,32235048585,2685099656,277476718
40.012304478,1614404520,7956473836,31549822100,2743291746,327200168
41.01252168,1152472180,5309947884,24733287002,2068130735,275183202
42.012746987,988469144,3866116892,20300020573,1679707893,245415988
43.012948024,1185535149,3459654270,23012318331,1383265728,115649416
44.013177856,794091699,3177360184,24747606324,1073416111,147038404
45.013398204,505169428,1742274504,18013514752,537090404,135490751
46.013663453,639508134,2162899686,16187845722,790608575,116410762
47.013884466,692808042,2082477716,12752476845,939399949,74116869
48.014122419,1181635176,5979230258,24955759663,2264247547,254825566
49.014359844,1415182594,6231386896,27692758971,2236428091,273699178
50.014622489,1027826249,4688549518,21974218288,1877857193,242201459
51.014847671,944479233,3438497369,19366590191,1534975238,173957458
52.01506557,578834782,2128782112,14738115449,908381424,114281088
53.015280528,350455057,1507781846,12496728003,542427125,109862799
54.015524719,348333600,1160778195,9713194774,465975382,80292666
55.015780332,359378942,1122669032,7125819718,501984698,57086371
56.016060191,510769035,2158110915,10281270748,1008639086,101110580
57.016269491,711909171,2986421523,14875393544,1332745570,145109953
58.016498007,870386899,3815436723,18262398583,1618416199,200609459
59.016707414,636277991,2484863125,13917504656,1113679765,145546946
60.016952432,560333706,1865431723,13347746085,818686572,109753686
61.017217578,472965959,1620259754,12813994697,645154057,114625769
62.017461534,259045010,892595134,7875182833,348840884,71843416
63.017705535,371182885,1130340543,7922895899,523079124,62541286
64.017927678,572235563,2389916309,11108193779,1112956777,116286106
65.018160444,719744067,3108150498,14915675220,1382499313,168557827
66.018391298,785477475,3253272227,16319792396,1452865600,161680602
67.018632432,661156817,2531096230,14662034712,1135907852,139669228
68.018877767,535646302,2031738046,13996332093,805653101,135205563
69.019128267,451227037,1628884270,12811609286,687630255,116112560
70.019376752,292387484,1040264189,8291231187,415463216,86490794
71.01966564,358081024,1075654159,7488651817,435417923,58008712
72.019931481,506674273,2125931500,10893899066,861854703,81490731
73.020134901,744492367,3063761425,16051322263,1335848892,139384771
74.020358179,827414621,3964273346,18483319816,1616270883,221108485
75.020584733,699829861,2762334765,15150818740,1207849348,139971598
76.020799361,564589072,1901298555,13602130520,821609054,118992237
77.021000135,477514499,1712209413,13415326088,727225555,111775533
78.021259735,264776340,974853604,8145201824,384402557,88091204
79.021472482,380892035,1167786337,8308140261,552939143,65586204
80.021732897,392769423,1781274479,8058231966,846326009,82384811
81.021939806,433180019,1448383698,7633036959,665871485,70794043
82.022152548,732304994,3059826761,15524470651,1417292225,142873795
83.022391265,673157604,2868613359,16259844893,1187213863,141526022
84.02270652,326870164,1241824581,7884503959,511157369,68802056
85.022937262,107518548,264146415,3787002490,83514617,24396301
86.023236926,227503895,2094331921,6445678057,904962643,293716693
87.02358314,50844463,1250036945,3607817616,514131723,140199582
88.023882221,55522010,1174411790,3523883500,446584910,147984584
89.024094641,187235994,887332247,4062589321,468471101,62525014
90.02438427,139959880,699863710,4086169508,414855184,29048332
91.024690254,204930078,719575365,4551576025,349901347,31804504
92.025117279,163987579,590389590,3604988204,320914233,23633744
93.025341702,657738238,2277638680,12216780611,1126233447,98494895
94.025546,1091530869,4603528224,25092895095,1988140942,219688547
95.025774924,1230526573,4621349129,30338642676,1808370502,141236912
96.02600144,922049035,4535026156,25085787395,1853059598,183225519
97.026224718,712348177,2921790723,14310278417,1317801892,147598928
98.026443079,820156638,4132070304,18390626643,1687207301,227652944
99.026683841,748269774,3199196373,17087378597,1433167656,126384815
100.026954,539173205,2436280719,11452046547,1083086016,170206857
101.027194329,395923815,1714303992,10710105576,923711386,91534202
102.027587587,273358807,1750138958,8198210985,777372865,142940679
103.028094905,27031800,61494045,329936946,17450162,3953185
104.028381402,127878474,326461227,1676748507,129351221,13083800
105.02913047,35650474,82185102,539552281,30367663,1691267
106.030009741,21194012,34562472,184504893,3488630,398192
107.030937399,22078491,37537098,207547512,5295649,678680
108.031857756,21143648,35458241,180947220,4290003,344781
109.032077109,51464150,158308401,707993869,51055078,15327603
110.032276119,289997117,932158460,5325323247,447786690,32473229
111.032571339,241499180,1090357702,5152788539,544296808,52372248
112.032838294,260467690,1030294562,5865200755,490626707,49210022
113.033326076,149395517,478253084,2633935497,225788593,17589880
114.034063045,26867014,58052280,306456927,17542062,1960325
115.034360062,211031808,632415375,3921456776,300103429,22305567
116.034673274,357853581,1582168713,7887909928,647668610,58054943
117.034919074,279100858,887013077,4624853519,415387700,49679590
118.035865176,95408447,249795188,1124041118,73721452,18733336
119.037064323,29902853,58887051,297246993,14577570,1702488
120.037374916,231048395,660947163,3889261720,313649591,20489330
121.037675814,375297576,1669645915,7232320460,774107424,76436180
122.037995968,193586346,875526413,4725209157,433805765,51891414
123.03846745,173690867,813397377,3617619600,382320916,55162043
124.03901417,33505278,110264421,640208102,47011042,2596129
125.003002883,66024767,181528838,884407284,88846011,9462375
