time,L1-dcache-load-misses,L1-dcache-prefetch-misses,L1-dcache-store-misses,instructions
1.00022141,102954218,8661801,60771564,3992401000
2.000493828,241760550,38410160,107944765,8384163450
3.000954504,116932356,15456310,46986725,4552777632
4.001400388,1958205,309735,561929,67671325
5.001742762,136715079,22499664,54364907,5716155809
6.00206878,157396641,14175523,87178119,4448013576
7.002344542,154961811,23444861,66021856,6117031192
8.002535824,119019553,15841644,25227767,5354488673
9.00291887,165757269,14222785,94286261,3957094695
10.003184962,59386331,6215735,29931931,2523293765
11.003389458,89452167,9868283,45142542,4051944278
12.00489911,91116705,8542224,46707331,3190903642
13.005148918,83467659,7792670,44893072,3151099503
14.005397992,198553334,28486997,87724565,6898934971
15.005646621,105381416,10720972,54358657,4555843395
16.006023399,103696958,10249464,53540314,3811009394
17.006486802,53994286,13125643,13919180,2175895988
18.00675908,306661193,35628725,146569000,10950893735
19.007022593,780041322,74255159,368864893,19276719777
20.292833729,785769978,124296035,276561089,27533200940
21.293059023,686034163,87530480,302401110,20477090746
22.293289403,429391190,44670742,205990791,17844571457
23.293509478,475266957,41270129,232035253,16029202911
24.293719835,684799842,65439600,350127870,25321929141
25.293949133,422440132,63857718,156218820,35458686389
26.294170689,240266107,35189956,96859785,35417448190
27.29440001,294070355,36054729,143187000,31502521737
28.294607368,500280904,45165179,265616158,15479323960
29.294848407,620401712,90399629,237001879,20730323065
30.295046087,732190633,91810729,310812798,20581929533
31.295271352,542365825,60747302,246348167,18912774003
32.295497798,451097934,52912351,192460192,17686146531
33.295714604,638326632,58571529,329896510,19122357269
34.295935499,471517100,54005567,219869199,26270741998
35.296143623,314088967,43057697,127627298,32683670614
36.296750079,199019800,26280936,90464589,32661926657
37.296995813,258482140,27188292,136538298,14674361864
38.297232434,380256719,48406406,176396722,13240915157
39.297445101,444463616,51237123,206523760,15990433077
40.297671062,556540131,68543503,245634607,18781057203
41.297901407,628502983,77066277,276624715,19948093998
42.298132392,493856150,57303882,228998919,21225168248
43.298354301,348755457,32944835,174315772,20979580842
44.298614637,355777441,43339162,165400037,24241043715
45.298842749,151722985,20578563,65986975,19823567560
46.299105115,189661799,20086968,98448002,17692261604
47.29939383,377347055,47800511,171475932,12932497366
48.299603778,383603375,50777672,172834750,14244564649
49.29981427,419700129,46237516,197279627,15183394376
50.300047935,526947698,63094942,238135641,18943282038
51.300262713,423839991,47381288,201444306,20710044559
52.300479061,300787045,33530214,141881834,22114054163
53.300734656,280808855,30013707,142731825,18916083051
54.300951106,288419919,33012759,139292291,20175357923
55.301184802,301807316,45312649,126132533,22204182538
56.301492871,260846707,24977508,142419556,11530584128
57.30168483,292766867,38068120,130191774,10766746842
58.301898311,357411810,42879283,164434248,13186111498
59.302122605,411884364,48579814,194710799,14247821034
60.302380499,317279952,37439843,148260928,15231999133
61.302627093,268064519,27504150,131944964,16013057351
62.302893583,269001763,30292051,130846341,19156363140
63.303165169,114090845,16749950,46513728,15100269974
64.303430019,193342132,19681627,102495450,12805812562
65.303686983,248546090,37284589,104073859,11440194228
66.303957501,188997854,16966160,101461331,7307027699
67.304175098,353767655,39377843,167852298,11848144068
68.30442554,428783730,54718887,191572758,17538644630
69.304692228,283408758,35240005,124465045,16494755132
70.304945303,261114914,25766118,135258518,14992141081
71.305174281,227695878,24224826,114472269,13057699386
72.305391541,229914919,26969478,107462553,18372941934
73.305619769,244077428,34917825,98020336,16273144819
74.305927462,187467874,21718343,93511430,8107257835
75.30615342,179417316,16157480,93090168,6900022616
76.306377678,401392384,47438496,187557183,15776468640
77.306612083,363300752,48991245,156985834,18067199194
78.306835804,256179017,29872326,120639616,16143785184
79.307035114,241538845,21758370,129865662,8725749103
80.307230187,298430749,31775463,148046873,16544687645
81.307474597,284719657,40189920,112231797,21180162982
82.307712113,226916231,27744777,105865125,15185884847
83.307984348,207521280,22758628,104015621,8800361969
84.308205513,350326177,42542708,161537635,12450114523
85.308455776,274875156,32773956,134614875,16029046507
86.308680038,272993975,34173332,119424558,16140643992
87.309292512,328599789,37631732,157531770,11934494232
88.309632017,51865957,6752371,23791311,7345321875
89.309891806,140308540,13334835,75915692,9844075544
90.310140925,222279378,35271481,77742489,14614353838
91.310465952,163245726,25564215,68494357,12191434323
92.310814867,28887912,12026353,5351795,6330809235
93.311143264,46858120,10259164,18714429,6694465380
94.311433588,38754859,10561210,12373568,7206121121
95.311747195,50912289,5337230,27077178,6840597758
96.312053037,22297128,2033181,12287915,7003049486
97.312293024,144139642,13495930,79179738,7451094581
98.312496515,372013235,39877836,175868354,19370795378
99.312715714,635105759,64121459,278052713,17662856542
100.312936521,656452788,75066003,252196469,22366460025
101.313172217,458874243,70756018,157973679,19646315009
102.313359449,275729062,28935537,146502026,11107446186
103.313592239,480506937,64341991,199089925,15224573286
104.313841114,381421263,49896407,166214016,14832371078
105.314087651,161655152,18161222,79684335,9355305983
106.314348773,268382786,27272463,133887244,9280778626
107.314691765,171011870,28045704,57567856,9908658318
108.315156274,21376529,5084965,8567125,777583126
109.315752498,48675859,4155447,25063874,1311704782
110.316829293,592658,37870,138142,11143318
111.317751514,546473,34406,119381,9840408
112.318781205,1030711,93406,340894,28999662
113.319771069,799615,53821,211147,20833340
114.32014977,3541565,468272,1546455,142061788
115.320415662,95350339,9120688,51331681,3757632721
116.320732733,193873119,27596976,85281066,6704833918
117.321012957,112696308,12938326,53147197,4944878870
118.321363257,82043591,7230787,45745434,3000783826
119.321957398,7821511,768539,3726890,388100350
120.322270586,53553258,4913327,30149545,2260160318
121.32250869,202578549,28014422,89339994,7028803707
122.322783041,150716425,18737091,73194500,5838214897
123.323215046,54872244,3915472,25964982,2161418640
124.323826532,4019986,363771,2090133,116700366
125.324744081,4975219,623695,2188723,192934997
126.32506349,60866411,5109246,35630669,2281239929
127.325370575,190292713,26538565,81552455,6361607919
128.325680243,153358799,18931331,71873411,5002220590
129.325982294,95246710,14338375,35349962,4377630314
130.32700396,46018389,8405749,21721963,1771668962
131.327377887,5030479,405146,2613976,154035830
132.318801176,24406300,1474873,14424700,461369238
