time,LLC-prefetches,LLC-prefetch-misses,instructions
1.00021399,9252746,828820,3826042653
2.000485787,42717784,2747253,7949690008
3.000789763,22461911,2657145,4905019279
4.00119763,978098,77969,308940216
5.001473467,23326047,3890149,5166616513
6.001783035,20051668,3262531,5076896891
7.002081813,14705598,2017238,4342012305
8.002384001,9631381,989531,5052650788
9.002635178,16094734,1766073,4355130380
10.00294154,10056576,1999679,3085054647
11.003243146,24611275,5314658,5734490333
12.003533623,13167773,2814102,3745943594
13.003816517,6036950,954172,2102985051
14.00411618,22780079,1186218,6209801121
15.00440073,16548309,1117436,4223313673
16.004622776,18668656,2523355,5503271743
17.005026403,11989604,1346320,2267036277
18.005225061,3880025,1354534,1265716359
19.005405869,48905542,9097104,19367350430
20.005604752,88866694,20210749,22170522256
21.005813311,87387588,23671787,22146165473
22.006002335,47927326,13309144,18742497333
23.006187566,36389141,14343901,16577576618
24.006388765,43271841,9324281,18247831087
25.006587802,45683244,5765015,28428562686
26.006787232,46758889,5756557,36556586880
27.006979749,23086832,4170011,37609493074
28.007199194,37880447,5733592,23347040261
29.007391859,51027339,6670704,15219708687
30.007590976,79349355,18786427,20179748139
31.007780439,55796990,13870831,20022937811
32.007972964,60167471,17101383,19628379276
33.008163469,56639982,12344288,19894024911
34.008340056,43127265,9756189,23690577583
35.008538126,37100426,7140647,28706016116
36.008742587,37392385,5166961,31300156686
37.008943625,38216162,4919307,28814244086
38.009146258,40793317,5773447,26977795128
39.009338657,61710002,13310776,24816997654
40.009549466,64399813,14058541,18457444763
41.009758919,59818986,13797536,17784611054
42.009956598,53283697,11704480,18812749136
43.010166533,48256392,10906671,21011762423
44.010345265,45120333,6597019,23658158762
45.010571901,29096067,5368634,23282918554
46.010764458,26979077,3444148,16433003722
47.010959695,36031050,4089092,18639561437
48.011163235,47420423,7982781,18918714340
49.011382264,52781721,11257327,18191733072
50.011618787,49792533,10746630,15009990312
51.011839564,34314074,6877231,15526713013
52.012029483,46748555,7729178,20483681405
53.012258485,39756882,5652826,23721586384
54.012511311,12865207,1500360,14589535848
55.012733765,13468882,2079722,12392213773
56.012952516,27946356,2774774,7507921749
57.013149314,47349249,7400721,12256888784
58.01334767,46966432,10010304,14384677469
59.013566438,47792660,9257462,15510810949
60.013794425,29501741,5608610,15509107354
61.014017174,25005667,3419161,18116290383
62.014275978,22074809,2322845,16159432903
63.014501695,15130649,1977091,15176151525
64.014683082,36456805,3387094,11745489378
65.014873258,51408202,7455267,12103131768
66.015083233,50640097,10056942,14856899375
67.015290718,46540617,7928861,14453036515
68.015521007,31839374,5560026,15750048961
69.015703294,23364699,3608762,16592199000
70.015940397,24448192,1917863,14610632317
71.016169544,16107322,2236655,15450396197
72.016382822,30499262,2815481,13745046435
73.016637849,32258021,5372878,8510203704
74.016861348,30774852,5853178,9912267229
75.01706459,53800118,7275726,16065770518
76.017254394,46133381,7846526,18157558924
77.017467912,29711755,5881550,15502861841
78.017668949,25537412,3435752,12123674541
79.017897719,21257375,1527519,14980662174
80.018148582,37676689,3889681,19071409678
81.018398132,34066239,6100370,13406990163
82.018647072,35971768,5352935,9998326634
83.018904267,38344721,6158497,11529413440
84.019124774,31406113,4444469,15651670053
85.019321463,49947648,7885641,19228810407
86.019560778,21446534,3803723,10640715085
87.019784477,6302663,2054157,6756171414
88.019992763,27950457,3035971,12073915338
89.020226808,68144853,13697186,14927344192
90.020522007,27579588,8245305,8255643793
91.020818551,15804959,5991261,6434349469
92.021121213,10063659,6566785,6806943072
93.021401395,19051882,4709078,7334982740
94.021693021,5512565,3081640,7048220465
95.021929901,7114638,3379342,6209275319
96.022114817,32798160,7756426,15339692939
97.022311609,46786696,12890484,19040729101
98.022539801,55556624,11423406,21171543078
99.022740736,66975800,16026897,21796489449
100.022930745,58816025,10076076,17725473369
101.023143413,71787970,16140193,17587898298
102.023388353,39849819,7391661,14889346259
103.023575356,27588833,7286076,8530430363
104.023839712,32351268,4737505,11422932013
105.024272752,25011654,4915986,5059389860
106.024695121,536633,144010,136562363
107.025002161,4376173,867148,986130285
108.025816563,1546284,286180,422634122
109.02665845,69974,9432,10083253
110.027774548,72692,2963,9551585
111.02874709,384101,151267,122363224
112.029050456,6064239,832841,2241005946
113.02933743,23086484,1268721,6153921766
114.029629659,16650313,1212579,4256695604
115.029943665,19367790,2597178,5499189959
116.030347737,1271197,459382,530465334
117.030605924,1660952,524884,684892138
118.030835189,29103485,1641323,6410654952
119.031063822,28168863,3975204,6360116679
120.031421154,13091743,2681212,3478040735
121.031844567,444796,133302,110083564
122.032110642,1242763,283580,497964216
123.032338597,25805153,1696144,6123111297
124.032587229,25774073,3914248,6531693672
125.032795131,12372492,2902749,4124168194
126.033788869,14560293,2268351,2419189795
127.034087987,922961,225571,284113658
127.221263977,526345,136890,210544629
