time,LLC-store-misses,LLC-stores,instructions
1.000198688,2540566,8459167,3998198827
2.000530143,4100609,12679182,7851311352
3.000928931,1677098,8260236,4777117419
4.001379478,222963,884977,514105586
5.001646678,1848605,5474106,2883149739
6.001935931,1554343,8011840,6162920439
7.002228274,739154,7702811,4523026812
8.00250814,1029578,4038553,5284067763
9.002806858,1246217,7291601,4893466938
10.003052837,1564667,7178169,3296566064
11.003324039,1360995,6269116,3979445849
12.003633086,2971498,9643695,3588612997
13.003877405,1023340,2212928,579993240
14.004119962,2348839,9451344,6040241060
15.004373211,3684984,11073717,5288101001
16.004581312,3364245,10485630,5067212754
17.004912399,402933,2295857,1454984715
18.005318264,967948,2380486,1940131105
19.005520092,10978963,39985414,15569557337
20.0057189,17233873,47963272,21756954945
21.00592922,14992291,45138805,22048669447
22.006126835,10415444,40141938,20284565367
23.006327053,12731879,39687203,17038825265
24.006523308,9081135,51153524,15394903486
25.00670929,3321324,46989335,25432146565
26.006897602,4668280,32881676,34773773071
27.007082253,2082914,20578643,32045094258
28.007265419,1896055,18204734,31973079872
29.00762262,2728479,12154558,6772864202
30.00780782,10179746,37554066,15685547621
31.008014093,18303717,48232166,22585761844
32.008228842,13983647,44675942,21581229418
33.008443297,9664246,42510411,19391261157
34.00866812,15655173,39355361,17600905654
35.008871451,6009338,56047009,18373613742
36.009075149,4000699,39796440,28383974411
37.009285475,3369123,28559607,34107748290
38.009503582,1313237,18920443,35795472786
39.009736818,3118714,19433802,21911364293
40.009909152,9695349,39460920,16333177034
41.010124116,14952584,46831890,21270098925
42.010315975,14946622,51103719,21612657479
43.01053996,10164748,42435320,19283974910
44.010713578,11342631,37673695,16582493633
45.01090451,5715753,36919959,20604332179
46.011119066,3164203,24512395,26803969284
47.01133375,1226133,15193960,28883677000
48.011642509,1980700,13267329,15895610489
49.01182125,5246562,17965781,9943974579
50.01200994,9926434,28450544,17177103754
51.012198875,9054341,32976207,16882299737
52.012396152,10256408,33018045,16080188445
53.012610629,6227758,26318863,19619263002
54.012836824,1465622,15339804,18483366435
55.013047341,1971631,13653107,22433717483
56.013285192,1542152,8076401,11145845581
57.013510296,2583263,10089378,6935283935
58.013742913,6503891,19284084,11512831688
59.013919638,9151341,29084834,14261890532
60.014115697,5499158,24521152,14902574380
61.014298873,4708790,21266125,14394580698
62.01451098,4604220,19156034,17872012765
63.014709088,1631004,15782774,18509530782
64.015003963,1549661,10617736,15200111468
65.015220776,2966954,11786495,11347249989
66.01541186,6666798,21355023,12784705194
67.015618749,6995354,22824794,11856663189
68.0158498,4872679,22962123,11518766119
69.016033153,6126431,24010501,16091117846
70.016236585,2943895,19337662,19479811440
71.016450312,4549490,17486172,17391583454
72.016686509,1438973,11792105,12698158363
73.016904303,2509900,12090262,11965975619
74.017125075,7293610,22869328,18676620210
75.017311412,7211206,23894263,12150523335
76.017539352,4795725,21257749,12126770826
77.017729513,6696478,24104870,16928134384
78.017917363,3002562,18999585,19496540416
79.01816613,3741017,15309648,15410634395
80.018456366,1907839,12260022,12795587735
81.018694764,2835851,13322737,12229978659
82.018891995,6020423,21882485,17683600254
83.019185714,6800320,22873719,12480138768
84.019505568,4271583,18073858,8751509738
85.01971814,3836931,19033987,13411389616
86.019975701,4728105,21520052,20869228175
87.020163031,3109683,15049043,15620137470
88.020441559,876135,4303829,6964431701
89.020671208,2832018,14347852,13627302994
90.020835377,3963603,13752293,13424039021
91.021102678,1960711,7220459,8854970837
92.021353603,1752580,3131580,6652252989
93.021568673,952321,3603039,7192472805
94.021784211,1019760,2671354,7085382438
95.022067798,1486104,2683713,6497984547
96.022249958,3207525,13723560,10539967214
97.022451228,8682658,39300631,20239544300
98.022656807,8149089,51131822,20010367229
99.022889424,7953255,37529801,22770070406
100.023119226,7557614,23320938,15459802460
101.023334314,7387117,24934488,14330331964
102.023587843,7070066,28442011,16488133223
103.023852899,3974366,17088855,11323062776
104.024096837,2265924,14689167,9836422197
105.024393986,3084262,12146544,8667997271
106.024793685,1606044,4724064,3241851749
107.025249756,176398,415800,136066394
108.026161444,1122804,5151937,1184140183
109.027353185,205955,678749,355904998
110.027764823,105100,158112,20328476
111.028428214,246187,300349,28723691
112.029277575,185345,330762,114355732
113.02957021,1638404,5047537,1957650696
114.029841277,2561465,10413475,6115512932
115.030127525,3249128,11248976,4328545739
116.030415361,2786462,10034786,4952495331
117.030819023,537402,2319179,1368923474
118.031234304,247128,797552,338467641
119.031480292,2276710,8567575,5204228362
120.031777355,3898963,12198518,7310411250
121.032143923,4199229,12157991,3903255249
122.033164937,199943,388914,130485308
123.033482441,506213,887561,275749629
124.03371554,2403542,9382325,5696085331
125.03396946,3595078,11261043,6721997814
126.034268546,1680046,8391868,4493572606
127.034662756,2054322,4987880,2485835006
127.961978926,292869,1796394,489991482
