time,r01c2,FP Instructions,SSE Instructions,instructions
1.000199313,4960364632,3512953,1135303,4113530446
2.000544165,9561285567,6458364,5189080,7893137287
3.000939515,5561202582,4071855,2305859,4760800695
4.002134213,531771091,269880,114900,404327346
5.002407575,5601622227,4756242,2308057,4740224339
6.002735471,6370530529,9333389,3379043,5265395528
7.003059263,5286737225,3571901,1578202,4394196643
8.00338957,5756993258,2205728,360460,5234181146
9.003707881,5360480692,3129065,1578800,4432507578
10.004026158,3965603605,4382825,1113955,3252173069
11.004329723,4814663809,5130244,1471988,4025832236
12.004794051,3774185242,2979897,949227,3113249056
13.005237832,2258206219,1632860,469799,1810028760
14.005504896,7543771110,3577681,2737856,6364792567
15.005785316,5637693444,4478051,1864610,4756435692
16.006064552,8247392264,4588970,2307326,6672048089
17.006472399,1105920907,787064,926147,947419786
18.006705517,1945188509,2109313,203995,1627093887
19.006920267,23177995908,11696689,7210994,19284544413
20.007153683,26301094768,11387321,9152866,22069132101
21.007376383,26418840632,14332739,11731142,22580067912
22.007591647,23631571948,17382832,6603020,19435570364
23.007813179,20638234290,17312957,5462031,16926940427
24.008044306,22601383726,16288230,6532054,19301476332
25.008260191,31796570674,20685342,8493078,29753364463
26.008471443,36519980981,26262245,8677638,35110814974
27.008669991,36668090115,28502488,5694182,35238613595
28.008891181,26974980846,36620586,6671563,24142278437
29.009096002,21344343880,9138144,6311819,17899539800
30.009309771,25479840630,13623984,9665937,21634646489
31.00954542,24814757011,15605672,9026530,20548881447
32.009766176,23227579954,15439044,7411239,19257183056
33.009954119,22002504014,17459688,6087471,17977379381
34.012030314,26156525761,16734559,6726478,23335173450
35.012248959,33379645119,22526621,8768808,31507942872
36.012466507,36179155919,28233969,6510776,35043025915
37.012677337,23674238802,28727262,5560871,21642106425
38.012910799,18155604626,12415761,4901882,15462400198
39.013132906,22415452831,11739771,8045094,18720681775
40.013352313,23952054228,15047058,8261825,20216111558
41.013572971,21992985568,14983669,6475597,18055275017
42.013797502,23275720130,15909546,6623552,19967426675
43.014028018,26749610578,19181521,7190298,24006825965
44.014228526,29370655338,21355264,6334767,27448612007
45.014448523,30363673062,27278298,7124524,28501176287
46.014650297,27851190935,25292183,6039962,25713818240
47.014869061,21360760186,15654184,6398163,18207942905
48.015088697,16072936289,9032540,5157556,13604261268
49.015309302,18559415294,11097957,6053121,15615918686
50.015524872,19940976582,13561640,6635439,16645518171
51.015736248,21028828262,13273047,6350392,17723288888
52.015998843,22183979928,16381924,5994291,19936694020
53.01623551,21623335267,15206241,4719668,20479045565
54.016500832,18053521957,16859315,3441966,17197826978
55.016723797,10764146923,13868540,2433459,9849177585
56.016941839,8583327338,4351911,2721357,7085377809
57.017165072,14168867120,8154391,4243853,11779787507
58.017393324,17695360347,10989593,5911485,14777904256
59.017620305,17527403489,11759090,5749816,14848443429
60.017830326,17332505883,13723393,4672094,15475492279
61.018080146,19588000327,14833228,4059250,17840675688
62.018341667,19048994042,16273387,4584970,17908883084
63.018587296,15303148141,14899700,3286854,14419662065
64.01881537,14868592123,12275379,3751676,13089339868
65.019100051,13659387499,7404634,4272896,11618142139
66.019349277,12350695176,10499913,4361546,10228507880
67.019562119,16878229498,10300405,4468903,14406857954
68.019786985,18278811254,12375895,5843794,16141290050
69.020048017,19947507168,14708401,4485688,18076062483
70.020294254,15489475180,14995605,3650803,14006527182
71.020518391,15284276717,13749810,3585310,14155395047
72.020739656,15028604553,9352845,3866807,13593044647
