time,SB Resource Stalls,Total Resource Stalls,cycles,RS Resource Stalls,ROB Resource Stalls
1.000175682,235666883,644773581,3950989929,296857085,27323682
2.000450328,379779846,1594927964,7215155203,758401016,72061119
3.000780512,195826724,1072675320,4770578633,528607763,64736201
4.001692156,23826949,56193912,337927256,14104497,2619732
5.001987539,204432425,1124697599,4730906964,544696965,77180860
6.002258887,223944895,887034745,4937632132,474747228,46194343
7.002576216,244488806,928544310,4943324784,495950228,38697606
8.002901742,63910221,1063484475,3165877954,682075908,21501625
9.003223972,339363455,1042742768,5128639366,525334982,33609421
10.003490956,216882700,794842177,3890327666,422102393,43608382
11.003766593,236551349,905409311,4298170456,466757676,54952760
12.004089223,231565633,777321984,3847712242,415895873,34205049
13.004288014,92398882,246965612,1405668642,100846094,15404071
14.004578935,297722302,1053926518,5831253523,520627263,34123924
15.004898033,220307521,995218882,4871756818,520103652,48273784
16.005156024,295093454,1050441118,5365788534,513805791,47328726
17.005745488,130763723,625490390,2603468523,304820526,27888844
18.006094748,39461206,96416143,507971838,38841144,3875701
19.006309178,1365191738,4022422483,24041963711,1498840709,131485924
20.006576173,1641489694,8495895482,32792650470,2984474519,308697557
21.006816533,1575784678,8544910730,31499736852,2957820805,377268220
22.007043302,1419905102,5808744135,27571565649,2041591731,241583658
23.007301106,1147754977,5175064114,25017126346,2099631893,332799245
24.007551692,1790688626,5306129699,29878573525,2144693447,141171197
25.007789861,824605111,2719798706,25926128653,1035307820,77038873
26.008068613,417463489,1376896665,23260599570,556620866,37378849
27.008275186,246328654,756531966,20256163179,320802633,21508004
28.008490674,312934914,1005907547,21257934418,424031685,28600221
29.008710446,400489295,1218186237,22287406107,468975442,32537833
30.008930293,658613455,5035556714,32077900430,1058454498,389063089
31.009161211,577270504,6345924080,31560540494,1308156637,630451416
32.009387572,262639136,6580724291,20521165910,1536211627,1201479391
33.009622602,625086048,4637734118,18706501756,2134148735,566868509
34.009837711,268239229,1052155160,18783174045,506962203,40199891
35.010057043,282704451,1028366719,20041731335,384936252,72442299
36.010284596,118502769,5098344157,18355678467,1242621419,1157126657
37.010511853,181557113,7546828259,17383820274,2236175863,1591462975
38.010730056,792514163,4428275965,21979572449,2142980016,431779828
39.010947236,558409437,2397852340,19893991172,1540948583,67853724
40.011193481,527518847,2368721663,18755514418,1502653068,75844321
41.011408155,454336719,1743412813,12760318095,897351941,100042927
42.011645218,1494264423,4514524716,25709737195,1664010146,138288126
43.011857165,1520542964,8449242780,31891294217,2969271256,370258669
44.012079691,1705374993,8102529417,32003324677,2787675933,316459240
45.012292741,1174397824,5276043822,26225923790,2090377371,259774093
46.012521199,1344882175,4841578105,24724443225,1952552326,267979828
47.01274853,1722412794,5357636312,31504051984,1983187255,130481735
48.012968075,685380653,1940306747,22836720383,738142701,52532982
49.013211275,379977254,1405414437,23740306770,549589395,48676050
50.013436017,286538550,985871168,21332969764,397825685,39867065
51.013669585,344150138,1064598601,21173493845,449236846,42463694
52.013924044,498737334,2467621943,25849715754,671407880,180094400
53.014150166,618694190,5020393852,31652657138,1023840691,451793957
54.014372413,454225324,6999748314,26365311253,1535159774,1115652864
55.014613977,520192633,6537427514,19647602211,2279665114,1156592632
56.014838917,429277294,2750924519,18235333173,1295839964,298182597
57.01507297,316396362,1062655863,19361799426,475471416,52863746
58.015311906,177198807,3616516589,18903467659,913266657,720464318
59.015573879,121351197,6020518251,17487725785,1442759872,1270384733
60.015792037,563895824,4913912706,19812828307,1979026376,667358306
61.016034389,643171341,3412827404,19825710700,1849240067,273853548
62.016245486,638257984,2861490956,18884936226,1849960925,96242314
63.016494476,403520886,1814294625,10911460588,1116942236,94461335
64.016704589,1160033070,3479899236,20784932351,1457452906,109896332
65.016929874,1375333462,7139652681,29047340396,2586459831,309507731
66.017156914,1684071332,7656397901,31577335638,2613805791,297164300
67.017363728,1431149906,6249181749,28426471827,2359082877,270452115
68.017591954,1419250702,5520814143,27234979509,2146413349,283550684
69.017829024,1434226157,4702220626,27154344347,1787679951,206881256
70.018076978,821540265,2412693674,19292730041,913524305,96570559
71.025366563,390641004,1494229526,18417153472,724615918,45180361
72.025602058,350934866,1167371056,15655591230,519756366,36274118
73.025882284,259518542,837502814,14257279205,361715511,33174289
74.026096211,380966748,3414677810,20797296050,1088594768,516062818
75.026301407,339664357,4620047878,20418967653,1360052232,763843878
76.026573139,445774278,5296964539,16835893921,1808001365,1024462325
77.026802353,320342799,2801941000,12773254545,1126596625,449215062
78.027001517,219279031,1050437797,12996883081,499298127,79316599
79.027286563,175110922,2234027483,13420922628,675395963,413308023
80.027494039,93940277,4066590442,11809546434,1182692397,869958154
81.027719868,440581558,3727441774,13393170224,1594472280,532731347
82.027927242,528067930,2442003559,13824618552,1473802063,122366166
83.028136147,499023364,2115850511,13118909432,1384286678,73749975
84.028339102,399198659,1495332349,7147544915,736499241,75027249
