time,instructions(system mode),instructions(user mode),cycles(user mode),cycles(system mode)
1.000300244,141204716,3695749412,3457128705,305411325
2.000609982,62255158,8094585014,7104514084,218344333
3.000882656,85861388,4895564450,4306064392,175646782
4.001318965,18662769,70375143,111632661,73510116
5.001610183,69441249,3128256464,2782157477,183955359
6.001863233,83419578,6074305763,5304399478,189348899
7.002078166,17497179,4332278063,4755207412,96745732
8.002394745,37091068,5308620430,3391707350,125803729
9.002757666,24224746,4758737662,4837055610,120551862
10.003068382,41080017,3098826309,3514626906,183265208
11.003390264,44326408,4078106224,4004069866,164695436
12.003745519,106180475,3547956829,3508712576,353643808
13.004047216,198029302,3819516960,3699011618,398516618
14.004360261,77982936,6417887569,5874340035,209413436
15.004612718,58822866,4962504019,4682736259,231024736
16.005012287,30794645,2761819466,2829667743,133810297
17.006164246,23067722,2037050874,1488112440,96104049
18.006414005,314262575,9949700223,12852410595,714344226
19.006622297,247711860,20640235426,30345749311,664632321
20.006853362,430596096,21348109254,29943823015,1232676141
21.007080336,583954773,20919197390,30432724828,1574872366
22.007296701,578520054,17641796725,23026415494,1306363537
23.007501918,2222883867,13420994028,19491086643,3962249418
24.007716839,67560491,20279423473,31826130698,244883367
25.007935579,418176434,26294796543,20389704058,1126237400
26.008146312,191934060,29485049879,23250412915,570155845
27.00835764,176028855,31283161879,18595306225,503161453
28.008602325,228036053,26156199396,21446724789,640863708
29.008821407,182098530,30340934144,25677541613,523142642
30.009039426,94948489,33999940260,32585789473,347071947
31.00927288,112161306,32006907528,26330898707,318049488
32.009497602,512362947,28691474346,18776920543,797051170
33.009696605,613686720,24130674225,16802621226,1090866386
34.00990684,178289826,25262349703,18785880846,532518035
35.010129361,148481315,27478018317,19306293567,432137619
36.010345696,75942708,27100207168,17886813468,244357198
37.010567955,323896448,29255392709,17618696278,486888795
38.010761582,811184603,29180011698,19913399412,1200153044
39.01096197,926996044,31899243532,19139209067,1475602057
40.01118011,913498888,28011977723,17499626409,1498392275
41.011442466,969166785,17106427430,11701916516,1400106413
42.011650151,486613504,15604269274,15590758105,863022049
43.01187403,255002953,20756708616,28329132091,684674025
44.012099007,808507683,19600508164,27669098975,1865081582
45.01232419,578238071,18427944868,26170007293,1376365224
46.012554745,1708835645,17856650251,23641040967,3723039585
47.012792881,807709484,17835937281,25673202362,1713433594
48.012976775,880718945,21653522138,26313721057,2003426892
49.013205068,164102424,21634694839,18554732621,478767721
50.013420697,171013677,22638664319,16797962405,496910727
51.013647437,179076452,23947207307,19357021650,519443355
52.013863767,145971078,28071061926,20895948333,428082016
53.014071019,121937873,27024896978,20675372629,368301331
54.014276352,294927439,29626346610,24832207714,583768072
