time,L1-dcache-load-misses,L1-dcache-prefetch-misses,L1-dcache-store-misses,instructions
1.000221244,109887106,9390690,64231398,4188840102
2.000520452,240707374,38419479,107234049,8457429338
3.00091935,111993652,14857092,44684388,4335336751
4.00134734,1513379,136720,547361,45040897
5.001641705,137287167,22915968,54570492,5724443703
6.001963771,158275983,14410565,87719654,4410190199
7.002227902,155200089,23655136,65743206,6156167424
8.002525074,116689184,15624535,23873732,5112090957
9.002834453,173852800,15749633,97163933,4400204449
10.003145068,86126145,8982126,44144167,3564362804
11.003502377,86021291,9738700,43550270,4013120697
12.003966831,77060299,6644160,40755556,2310641881
13.004294535,90441380,8659840,48432020,3464400800
14.00459508,196348981,27913253,87028309,6784571001
15.004890212,101541975,10436033,51405970,4307819031
16.005250736,147887551,19021922,65083034,5293270890
17.005551883,31953894,9106774,7329876,1322227306
18.005769415,242690739,27228668,121389535,8907722168
19.00598359,827591832,77612143,403585857,19808104567
20.00621491,606119656,103306116,211254404,22361590870
21.006470949,785940724,104565913,330483511,21806579723
22.006711796,444364036,46327863,220721823,18286529017
23.006922042,571480246,49952171,300738389,17034549183
24.00715659,715019242,78987969,309861108,22293315709
25.007371637,248477831,27275382,117381649,26954510391
26.007588376,241026510,32046912,95230959,24539356224
27.007815186,156940624,17709046,71622409,27731075816
28.008032445,227827164,24182826,104938057,27192843215
29.008227528,262941107,38269709,106413669,30863514393
30.00843734,266969879,50464840,83648441,33697492318
31.008671384,236598649,54293104,70608803,32836719471
32.008883399,173668922,39593248,64103410,29082871319
33.009100958,162816721,25226913,66891743,26826729987
34.009332319,184726541,21137574,81352805,26779770693
35.009540848,151891620,24480319,62221681,28008529425
36.00976104,102949325,42033190,21816020,28645457967
37.009987604,168913693,40869552,59698005,31334232185
38.010211469,248926501,31381932,115007981,30261844813
39.010448287,147009113,15230002,76113351,29413350215
40.010647169,145204467,12749779,75076507,28967879154
41.010899683,216625054,19216803,117362224,19218923315
42.011110896,632856684,77489172,272579469,18923433104
43.012409783,739360269,91997992,328538932,20900312843
44.012622499,625573913,75587158,276163602,20680240014
45.012826102,525196362,67073202,237803305,19495817719
46.013046234,754365748,80016701,351339012,20241026717
47.013285351,442623384,43318435,223924141,22106851378
48.01351607,415579973,48737891,184411733,25866358066
49.013745587,224483794,28829504,98247464,28467852053
50.013976333,176260478,20639782,82342888,28562094328
51.567033876,278160590,34021966,127337122,39007893976
52.56724966,235902154,42448518,83344700,33097275151
53.567457282,210585409,47776383,64298150,32241538220
54.567681646,193989328,51045102,62027392,31414458215
55.567898462,166671990,31769043,64655343,29266322837
56.568118606,164070666,21417784,71476827,26290550252
57.56836137,172247208,20105764,72961534,21224524500
58.568582881,122827328,13622869,54470055,19015863578
59.569057256,23917461,2659081,11620317,4883398332
60.569850524,16743248,1958219,7735320,553847207
61.570055314,111735491,48316631,21910632,27361179905
62.570297277,103955569,39462012,22681898,28745724359
63.570505092,300879331,31875614,141294755,27872781374
64.570711109,174224952,15406573,87027640,30544214614
65.570911183,126320220,9522078,66851033,29156898875
66.571113211,161177051,13231455,87052812,15348676344
67.571320124,593963131,65676528,270019536,20170725915
68.5715417,704680740,94398420,298663103,21055304476
69.571767103,668177890,80696495,301719141,20807891749
70.571995558,604829090,78847286,268413527,20678153688
71.572229316,528228288,53963237,261074345,19891398773
72.57239671,486022604,51963133,231000664,20958056789
73.572583097,319637085,39120669,135633533,23911363878
74.572775659,163276431,20908768,70376403,21323401709
75.573003156,108858467,12801935,52768787,21993170379
76.573240544,130717193,14832146,64103449,22268949212
77.57346909,200198211,33292511,76025127,27745509384
78.573702497,150622663,36017935,41481221,26183527223
79.573932555,140122982,33998918,50373196,22711553309
80.574186487,108800787,17916781,45947120,19702838709
