time,LLC-prefetches,LLC-prefetch-misses,instructions
1.000200247,9895152,850411,4065782114
2.000448972,44871720,3434520,8414911821
3.000800839,21078161,2184094,4462965794
4.001081706,1140370,439166,218092181
5.001393195,28255269,5185239,6192359019
6.001687924,17964054,2052853,4709280444
7.001984471,13571426,2338134,4433367062
8.002222781,13199633,1482687,5563992909
9.002460478,14238557,1216818,3851995819
10.002657736,18978729,3848575,4482125565
11.002919749,15999834,4315451,4875346158
12.003695183,8960580,1448188,2339392866
13.004004983,5942326,828991,2129849104
14.004281187,25851967,1544564,6618080986
15.004533049,16528698,1862801,4771526922
16.004829409,27128747,3749018,6770514618
17.005837931,452780,165400,157568662
18.006051111,9367396,2178179,3949959045
19.006245879,56344193,9451755,19526294272
20.006457627,97501260,24058402,23229828987
21.006667747,86228875,21139941,21739689268
22.006871152,47217577,14220102,18816549778
23.007064123,47628974,17159696,17723203457
24.007249939,52090140,9007464,20091598563
25.00746014,53932035,18256285,25563323223
26.007665698,58302909,20761221,29214764225
27.007872832,52456107,24643941,30972755497
28.008096357,55160552,23192792,30078233966
29.00828901,58946720,23298150,31050900610
30.008477964,57353474,19594666,34890541898
31.008669615,43922488,15419221,32030793329
32.008873001,13038683,4906638,30233478344
33.009080476,33395332,14429911,26832581354
34.009276807,49731771,23430712,30354792092
35.009507656,41852168,21298274,26700244353
36.43117339,27138620,21299593,38627263282
37.431374511,16092432,6874230,31397802338
38.431560841,31871966,9828362,29795826315
39.431746944,28406246,13781245,33027595909
40.431985984,23103072,10327821,23768219665
41.432202381,39158186,5228203,13669053536
42.432397987,72609347,17745929,20663210928
43.432592774,76990092,18350400,21582045300
44.432790656,68201208,19173038,20802880365
45.432987117,53682995,13725139,18982605660
46.433190165,50620299,14503871,20861358220
47.433379283,53387995,14742966,23723252580
48.433586202,52276030,16506193,24895177507
49.433794411,49286737,19733242,26900238671
50.433997562,50268505,20723619,27441917286
51.434191877,54609686,21530194,29499946300
52.434379033,59588969,19510118,30532377143
53.434575862,52576006,18906193,32932368431
54.434776476,33988249,10286386,32301200272
55.434985966,25795844,11675040,28159825812
56.435171614,34068173,15013456,29306523975
57.435351701,47604144,22673776,28304577791
58.435544817,35274588,20521861,28857595952
59.435739878,23985539,12262925,29998946296
60.435926767,25579480,12813795,31826982603
61.436107431,26782115,10843560,33713791782
62.436296407,31599475,11809720,28815657887
63.436495766,35252052,8646619,20664007416
64.436694642,50811356,10436530,18757999983
65.436875627,64380975,15459358,19768215534
66.437066711,83516017,24058767,21893704180
67.437264016,61513304,15243162,22625821772
68.437455942,52211872,15390422,20462746282
69.437635054,53889721,17789709,18709515088
70.437842598,52902684,14299025,20804788713
71.438019487,40915179,16710608,25937641401
72.438216421,40936739,18416700,23410278853
73.438408197,46096080,19221867,24130428117
74.438625622,49922437,15382773,23216770535
75.438808646,41695460,13673680,24360949507
76.490233602,44097412,11107318,25939984860
77.490453434,18569295,6775534,18205700197
78.490625272,32765486,15850745,21852404598
79.490846009,31170179,17011445,22282769783
80.491044467,19925442,13169391,22180706818
81.491227924,14975026,6026187,23139541690
82.491424965,23344010,8269922,23931333944
83.491655093,21158693,9577483,21888969091
84.491915587,15873124,7481631,12027416213
85.492109888,35316676,7739516,19401887591
86.492292087,66590598,17175209,21890320269
87.492516587,59700089,13263308,18240294399
88.492718543,58534733,15155893,17621422773
89.492920364,54520436,15380899,18024618822
90.493142662,42857947,14034003,17450289727
91.493353565,31085315,12749138,20182596668
92.493573906,37386408,19752205,21813738749
93.493766884,36824807,15122933,23463961782
94.493969151,44204142,17132848,23525139322
95.494226048,25924453,10040639,20771514495
96.494472721,11280656,4279640,16577195327
97.494690005,21486904,8854938,14057240674
98.494946476,25335805,9933134,12962271755
99.495173788,23370654,12949981,15845879924
100.49540343,8363332,7182962,17191022995
101.49563009,14182900,3388972,17338474233
102.495861275,16817169,9286567,19203275110
103.496148652,14939818,8618039,17406133145
104.496379071,26058047,6957911,7835079644
105.496610405,48917472,9917027,11257483533
106.541964003,55159123,11156250,15621324565
107.542166302,49631867,10960233,14053798900
108.54234948,40611058,8896131,13976706991
109.54253478,36007535,9301053,14252562077
110.542687825,36825639,12580083,17212233503
111.542904185,31713382,12928455,16906919225
112.543122,53648250,15239038,19363476285
113.543329071,57424347,15977675,22221276295
114.543539059,35198652,11658214,20269809799
115.543711456,27996976,9562049,18372332552
117.136257428,33929272,15457313,24061529833
118.136501342,17355913,8102536,12466475820
119.136754675,15852933,7803843,16167212587
120.136969954,19875352,8787697,17771612176
121.137195803,16103151,7512897,17814801793
122.137419266,11819966,4449886,12737203373
123.137667658,12495029,7164080,10449960439
124.137877311,27755814,7815186,23494407996
125.138112094,45004596,11430911,20461864695
126.138319296,36566621,7101517,9913600947
127.138526197,49518782,10000558,14575646230
128.138678853,42556285,9531751,14180889889
129.138924544,39625889,11131929,15010648977
130.141742221,38078366,10821298,16484571904
131.141929306,29804236,12491155,16243071175
132.142171177,44858083,16254314,19482317124
133.142423526,38209486,13085586,19193143337
134.142635406,23452028,9769475,18365794454
135.142831646,20336550,8398132,18718117309
136.143030797,22062252,10713603,17784932276
137.143289053,19970015,10084477,16843954365
138.143510522,16266710,9190233,17180309458
139.143715628,16659159,7739509,17080665493
140.143938923,17564424,9278008,18213637963
141.144180371,14888838,8922897,18187522436
142.144471741,12189964,5651104,11683380243
143.144753054,20511753,6569275,10851233852
144.144934352,36461022,7435437,13778102579
145.145137159,49869422,11328197,12137722031
146.145356833,42223646,7551408,12976566203
147.145564231,49895701,10996956,15691037543
148.145802727,39318396,10964813,15932154568
149.146007565,29294158,11433251,13996124875
150.146188186,38214457,12956765,17047465148
151.146428821,43938013,16165145,20043602263
152.146657165,30200934,12762765,19705329741
153.146878485,25365284,10324679,18699969941
154.147095731,30689827,11471983,19101395491
155.147318594,32917351,13044373,19308234628
156.147551756,16515681,9563314,16688167678
157.147999866,4639130,2280955,5444282291
159.420781611,19378026,9763858,16691960093
160.420987378,15220628,7994262,17474928645
161.421206737,17316602,9737416,18215507764
162.421453448,10960764,6120256,13005693908
163.421673279,12152952,5428860,9779349702
164.421870073,27182118,6834951,12078967874
165.422123854,48827914,9260095,14948282817
166.422315087,48652810,14944662,25799319126
167.422493711,33207802,6444133,18333922313
168.422678024,47123609,12138527,14716127147
169.422856207,43486887,9751695,16406932365
170.423087894,30921973,13976608,16817979516
171.423290573,19290810,7872081,16867311500
172.485419513,34436312,15334586,21382517847
173.485605342,40965016,19412909,20941925574
174.485851238,33586269,16789050,18210231995
175.486053466,32797881,17333171,17442730139
176.486298227,23081101,13166907,17116402362
177.486547229,15880462,6261776,12875404345
178.486784583,14269711,4812292,12848680400
179.487073675,10877271,5331208,11302782887
180.487400125,9681350,5466128,6658227830
181.487584685,38889456,11298114,17557983812
182.487768816,55759894,14527132,19870265935
183.48795071,53425734,14840235,22376309001
184.488154357,59476192,18157060,26165281579
185.488336712,43627971,12071160,27130200977
186.488521137,54616458,26430071,25384821170
187.488715416,35369646,13327493,31782942492
188.488902425,44170226,19985433,28455831101
189.48909095,38530987,16312595,29315652734
190.48928782,38209905,16418094,27727374237
191.489484414,41941080,18788250,31612630444
192.489679812,44478894,19459016,29194434259
193.48987823,40873800,11904348,28399463188
194.490074272,41850225,14765964,29685724782
195.490252809,40826653,14388585,25803929913
196.490449616,40977013,10615765,24152631216
197.490653259,43417625,13099736,26808542663
198.490848237,45063269,15890121,31166221949
199.491051807,44358363,14131229,28175867983
200.491256123,45130521,16696400,32420044947
201.491472415,48178074,14117448,28002458065
202.49166655,47041372,15397383,30547380981
204.597841356,92011114,33034422,66626894408
205.598032896,43564088,13476457,27503304447
206.598229402,44936823,16114702,31999282194
207.598427768,45055257,16306550,32358414064
209.30712597,74678614,26920538,53210402518
210.307362224,46665819,13301618,22140672922
211.307550155,46847802,9259077,19396538204
212.307708991,65774384,16128548,23231904718
213.307991474,50728613,17368279,19556518332
214.308284947,39942816,17477621,20842965211
215.308465978,21108760,8042074,20728970702
216.308673872,36146308,19298008,22624796123
217.308881547,40494000,21095264,22214845022
218.309064116,23482102,9693069,23055012267
219.309285514,33306288,16794849,22713036110
220.309489783,17922210,6917611,18325830707
221.309700824,36697605,8345435,12798872336
222.309883979,59499439,10602632,18837205788
223.310154092,40234559,10994135,16272571755
224.310373452,32337606,12453229,14410329224
225.310602048,20756900,7088524,16675807438
226.310800928,25234606,10273671,15023120871
227.311004829,20733607,7470025,17662365168
228.311215691,28924265,11745126,15400370025
229.311441134,18846109,6736504,16850503884
230.311660835,25672203,10628457,15296913950
231.311854017,19665724,6874896,17571750372
232.312078896,26691129,9061765,15495388246
233.312284273,31494534,7680681,16841621123
234.312516146,25945603,8618299,17086616097
235.312736722,24776010,8659312,16898900423
236.31294278,24563561,8759022,16980797222
237.313164478,24412116,8571520,16891494961
238.313414305,24963002,8473044,17026561057
239.313590472,24296621,8416404,16928681884
240.313826785,23935124,8321951,16836458228
241.314039298,24618793,8434672,16978260192
242.314295106,24216841,8397764,16953853059
243.31453387,24036359,8357431,16807000263
244.314746211,24437625,8320823,16862931979
245.314998075,28995249,7443559,13504117808
246.315423216,4092218,525429,553730513
247.315763536,5402165,1030458,1248307558
248.316691654,176087,36011,38788323
249.317742895,70779,9999,10677320
250.318735823,73818,3983,9626740
251.319151676,136504,20447,38033608
252.319490197,471693,222292,171986414
253.319729802,13275472,1266585,4721833783
254.319985083,27770283,2192876,6525433910
255.320280521,16958334,1970437,5029066813
256.320706605,5901474,752583,2022324199
257.321470576,1812596,687755,766221708
258.321733434,12190360,867726,3525862447
259.322026288,38030182,4006031,7801805714
260.322256343,14551933,2758575,4510635880
261.322960636,3711402,1121385,854873333
262.323985261,337977,120401,97494229
263.324243438,12555272,755860,3452957448
264.324505729,35389678,3959964,7635419100
265.324768086,14612700,3049028,4513331570
266.325215147,13363416,1895879,2458350012
267.183466421,2116363,427428,675452890
