time,r01c2,FP Instructions,SSE Instructions,instructions
1.000287332,4791643421,3469467,1113799,3976916985
2.000591515,9696824790,6591663,5427273,8186268000
3.000942458,5675161831,4048656,2214563,4823857959
4.001363828,69942221,74120,6176,34385266
5.001708883,6963335556,7936948,3293238,5866954208
6.002040197,5650581758,6222298,2481179,4685956977
7.002362533,5541394622,4348104,1632980,4664052286
8.002668464,5675368249,1986014,324280,5137327567
9.002903278,5281379597,2757391,1624106,4330296018
10.003221417,3941728388,5028853,1133214,3255672609
11.003503438,4453736684,4381838,1326907,3683215151
12.003987422,3762029139,2949595,1002099,3104971769
13.004330406,2657588806,1882339,560492,2137276786
14.004588299,7799013979,3663338,2744129,6588297364
15.004821175,5578848924,4466175,1961710,4692188237
16.005083847,7252567555,4226870,2186821,6130145700
17.005567368,1030372965,789780,925650,888664410
18.00580518,4803577682,4154294,862968,3980561887
19.006012805,23673738088,11073956,8033149,19760327324
20.006260081,27153469967,12957446,11018484,23346253717
21.00649511,25773066343,14011326,10647296,21980277863
22.010616883,22446144197,18752412,5775004,18814168474
23.010833039,21909470859,19712672,6456362,17562575118
24.011043353,24501241011,13916526,11300306,20587633992
25.011271688,32593332449,25785168,14455060,27908059032
26.011487878,34081737083,27230773,16334822,29663853574
27.011702812,29495535613,25196957,13626229,25423705404
28.011933393,33233493215,27658625,15184556,28744478642
29.012158851,35959233566,143492852,13589620,30847516990
30.012382122,39014881959,333127560,10059479,34690257158
31.012616573,37013665739,482380448,5785032,33505235884
32.012842297,34935714774,350802685,1681975,30126131508
33.013057707,32272508315,36901903,8225841,26903928074
34.013267979,36060619884,30457291,16014038,31360133697
35.013483628,35818760527,228060772,12400329,31931246925
36.013708306,34754605329,611762742,1168897,31564327766
37.013912255,36784583205,266509911,2030734,30689853091
38.014100294,37879576551,57421774,8361173,29509896794
39.014310066,45193377469,76452102,10254827,34828287988
40.014556584,33303878480,50655491,7267909,25286519374
41.014758573,16078859167,13160555,4434119,13183702796
42.014971448,23855549681,10989981,7467828,20047083641
43.015187071,25383109479,14553836,9448427,21518929167
44.015403663,25077364395,15287694,9852890,20882297411
45.015625046,23774287678,17354693,7972080,19799358067
46.015839752,22799638593,18524859,6960762,18309898626
47.016072156,25518261346,16574061,11245050,21468144699
48.016289958,31201558345,23217020,13737403,26350023562
49.016467366,33801271568,27285302,15410791,29175868816
50.016683176,32609668437,34325062,15077584,28235505421
51.016917827,29970913151,104811602,11504556,25871565537
52.540032986,45750956023,252865220,15840163,40223071074
53.540245319,39003498410,309124302,8622925,34347187070
54.540470557,35572999029,412394553,6785808,32209421063
55.540692361,35569374999,266045101,3675763,30323665385
56.544485315,30524379612,100274681,8069888,26354881185
57.544712975,35994314082,117397035,14296580,32057364391
58.544929656,35636074211,229950015,9773730,30757070057
59.545142612,36476767236,584097014,1804409,32432733139
60.545371831,35807008050,119713564,3545903,28765503217
62.148221748,44565624142,72969835,10209304,34518153575
63.148447343,40714732442,66557957,9449165,31484051835
64.148657293,24603726603,25682595,6353806,19706640444
65.148879643,22472368615,10373525,6887723,18956660650
66.149097463,25200000180,13682558,9840728,21226474367
67.14930119,25415796762,19561001,7628617,20926860673
68.149509301,26350252779,31280957,8834717,21400181310
69.149733117,24421833685,18496640,9447836,20125139670
70.149982971,27217606027,17550191,8942730,21436638891
71.150214486,30207762259,32408653,12737566,25212350148
72.150475707,29912534494,31540088,12529760,25325359062
73.150752978,25431315561,21022116,11190610,22072186134
74.150963499,29452373590,150580225,9814153,25376126636
75.151171607,31376567257,302781480,6576436,27197971111
76.151435034,26688307068,340207369,2689032,23538776796
77.151653512,26451036737,119156943,3437483,22110241544
78.151930414,22390373624,18725416,8519371,19140713763
79.152159972,20633346540,108993269,7517117,18266679949
80.152415559,25291286365,245601879,5080386,22391848000
81.152662961,26123808367,289035891,2244309,22422477493
82.152886171,28685502030,118812476,4419597,23043643688
83.153136211,29822650625,44660300,6344255,22876204287
84.153400001,22855482000,35791169,5205506,17831452112
85.153621246,26011676982,38749437,7970845,20769861716
86.153827831,26300384713,41678359,9200097,21588954611
87.154037478,19503838524,13418666,6738410,16451985944
88.15427243,21290304005,12611666,7630374,17877148861
89.154492937,22364486758,16270899,8492205,18686450147
90.154710186,23472694090,15004970,7291622,18497096618
91.154959429,25216861648,27204713,10307519,21023337847
92.155166885,25783466252,41291567,10606145,21798678330
93.192326076,22500228173,116422368,7356179,19762719945
94.192534426,9698507069,106557665,1896573,8745158600
95.192754317,28429282684,107158121,7713522,23524621377
