time,instructions(system mode),instructions(user mode),cycles(user mode),cycles(system mode)
1.000587184,596042,407624,3885093,2542572
2.001247671,571535,404650,4066878,2544522
3.002066408,652123,411390,4060338,2701216
4.003000211,621649,410906,3210913,2317883
5.003657624,612223,551838,3868601,2562242
6.0042642,629851,436394,4117982,2633732
7.004875101,618362,408917,3882073,2550664
8.00549466,602651,407976,3776198,2476477
9.006125763,626902,559550,3936938,2509127
10.006739349,568713,554388,3838271,2304026
11.007427766,617151,411899,4011737,2579578
12.008289645,1495480,6576968,19560571,5575032
13.008900562,641594,687696,5170066,2787941
14.009525277,620012,651051,5190622,2761055
15.010134331,642417,808134,5124238,2723947
16.010752923,791595,2292764,9297602,3175260
17.011703962,850446,2109348,7387531,2975147
18.012661516,905587,2724420,8812001,3526927
19.01361073,710756,687584,5905419,3315046
20.014523871,920985,660978,5930040,3882937
21.015141744,883801,511361,5755389,3784244
22.016020119,968926,551771,5751664,4035987
23.016673271,970600,535202,5517270,3740789
24.01757475,939073,511109,5092973,3522547
25.018449301,851538,660694,5176461,3147965
26.019347519,851800,531595,5536615,3271588
27.019977311,800377,503660,4931122,2897532
28.020602363,846046,505477,4770757,2894498
29.021224022,751238,663225,4965433,2845960
30.02192265,843082,659223,4949307,2932805
31.022800429,883341,508201,5042470,3179207
32.023512836,740676,513190,4931793,2714649
33.024394747,743345,509630,4863554,2718626
34.025050382,1153197,2627974,13538464,4012285
35.025986925,898412,2512605,9896697,3565507
36.026928225,844250,1394468,8897052,3694752
37.027876202,713898,928061,7652325,3209393
38.028797713,950003,553215,5752460,3810041
39.029714486,1048039,660033,5742332,4057868
40.030677745,898922,660852,5607482,3537592
41.031541343,839113,509337,5141149,3138574
42.032185973,796519,512672,5172711,3136047
43.032851757,763050,507917,4902414,2775567
44.033620448,739527,516012,5070972,2817097
45.034387787,717860,656327,5046390,2733257
46.03504187,667302,509574,4952012,2598460
47.035691169,641060,510679,4957690,2512683
48.036313676,750749,507575,4701985,2488698
49.036929923,692999,656027,4793315,2476154
50.037791592,652116,658203,4984016,2489954
51.038651789,887568,1507425,9014282,3314266
52.039288308,874307,2201846,10378847,3417523
53.040328508,857843,1719857,9314515,3825775
54.041260252,933556,920620,7600177,4001893
55.042106647,839697,692735,5816115,3415687
56.042879492,825750,511403,5456075,3425918
57.043745985,819498,514402,5120728,3278793
58.044608185,770585,508065,5000635,2879858
59.045268294,755191,653168,4969458,2866778
60.04604029,778373,653122,4952510,2857562
61.046678481,774943,512289,4920479,2909203
62.047319924,674412,501188,4783026,2706012
63.048087904,641867,505813,4802829,2570105
64.049039594,743496,503357,4663176,2701047
65.049700516,673672,657811,4901743,2706898
66.050570424,761438,521507,4914005,2889164
67.051418971,881438,1880994,10081206,3341304
68.052067169,921878,1970541,11231819,3609773
69.052698909,859145,1863028,8648389,3488311
70.053615438,797362,1077490,7387157,3528316
71.054466977,785682,550209,6009934,3566290
72.055362085,807779,710652,6107231,3336547
73.056284338,802889,509218,5035178,3245617
74.056904447,690411,511095,4741226,2720930
75.057786598,705616,655003,4900137,2770541
76.058652692,702295,516652,4837957,2864401
