time,instructions(system mode),instructions(user mode),cycles(user mode),cycles(system mode)
1.000305027,141961731,3685180546,3457213418,310781035
2.000614376,55170564,7905887900,6900517738,186426711
3.000841084,65569785,4994769383,4383265912,160145583
4.001811862,11156218,5670923,16482168,68317228
5.002179734,52342037,5501215801,4658112586,188364931
6.002507646,39538952,4566848761,4512848796,118038183
7.002830624,26783191,4696870097,4836346870,116180023
8.00309182,31456189,5183144857,3039938149,110522355
9.003409476,22387181,4260853298,4820006682,127533589
10.003724072,47906489,3382772148,3562366129,212517765
11.004118581,112870963,3541886713,3721460451,398678656
12.004390578,185839928,2354020953,2214207868,381500358
13.004671313,56870739,6036680493,5642187224,181325678
14.004928621,59220864,4884111541,4334485747,208229874
15.005226112,54970744,5433906849,5333480437,213273605
16.005828712,27399057,2678679717,2057893017,108320654
17.006066698,183310598,2180479392,2217163812,367479848
18.006279365,554290583,18929992513,27284443708,1420405912
19.006499457,936093732,20870448596,29746440558,2564517867
20.00673963,320302126,21233769557,30194420498,941126867
21.006984297,575120736,18614485619,25813570696,1536816929
22.00722134,2386966576,14397423592,19955597698,4501801405
23.007450234,420755056,16859769981,25359519254,973289600
24.00766911,379518358,22014280592,24352478466,950204897
25.007886366,171402933,26119548648,21122889886,508651918
26.008120177,150162003,27077666991,21702511513,453906857
27.008330875,174136528,28272117131,20734854837,521199899
28.008575445,208084775,29359643009,20739271727,575114659
29.008811094,167995415,30561570548,18881698030,486878343
30.009045954,171076109,30589936654,19358737213,509182371
31.009264455,218830064,26658961869,20303461504,570111973
32.009485886,150688336,28399890686,19678798419,431389290
33.009704916,323433823,25092906644,17650986586,755737944
34.009920595,479425345,14114148942,14298317159,862630199
35.010147978,516545774,19458342402,26747914863,1252046440
36.010383041,936700605,19366098695,27503137101,2470288635
37.010576726,901444208,19475804961,28225912180,2180314950
38.010787923,607219600,17894529701,25107720125,1371396741
39.01102045,1470870679,17472562189,21629281465,3021867247
40.011242306,561677911,20018336907,23993410769,1297359336
41.011445938,298731237,22845836689,22921066723,829716778
42.011679126,192326903,28004883391,21510692600,583994026
43.011896189,168967110,27614252675,20172863476,473238473
44.012121095,239648122,27465015069,21362765634,611608189
45.01234269,168910043,29297135951,20039033015,495318888
46.01257304,155362650,29072955109,18756603805,466202473
47.01280232,202373608,27836787818,19469472963,566542097
48.013033447,172821020,29925229554,19037605219,484069854
49.013263203,277265359,22145734532,14515562938,632654052
50.013526672,350979099,17577854501,14528475553,752648906
51.013747084,383400157,19158134766,23836554492,843275442
52.013969163,795426651,18757890927,25585528970,1972208754
53.014190493,734904194,19360113904,26758722229,1797584236
54.014409775,766074709,18012661702,24517713467,1654755042
55.01461806,1055447317,15507285499,21235371071,1919317219
56.014871143,856356211,17141207692,17895804569,1932562892
57.015108697,234914374,20559187651,16088039656,578457397
58.015360198,127800075,21467233887,13971903748,400888086
59.015625241,148400738,21448038446,12928755815,446874474
60.015849633,139333470,21672347960,13787791501,421872488
61.016089516,141989685,19324875816,13875919934,443910230
62.016334497,149502163,21707350488,13047382017,437678066
63.016565929,132085263,21586764883,13055415282,414743603
64.016796706,227606226,18545166838,11129358515,559531377
65.017009083,280392897,10598172994,8891631155,566259730
66.017231344,497932344,14242346757,16285351305,995322195
67.017457832,631476374,17800209310,22030005685,1410589803
68.017714299,914614603,16312436364,20396208524,1967332800
69.017940779,1098881254,14527592234,16361077672,2016410195
70.018141354,703789151,16817821980,18132931371,1509843651
71.018357428,318745813,19393980079,14788179471,794737572
72.018610356,149828399,18612273767,13804044622,460194521
73.018862506,102968248,16913920957,12864548663,349849862
74.019060165,124463092,19380950631,12976570732,400297984
75.019301343,156237214,21374940771,12983038313,446304684
76.019541262,120109188,21271175803,12533797453,387059087
77.019811765,133058032,21606687537,13072278334,414716088
78.020082696,193788437,19600904232,11810543555,512474901
79.020315623,188138641,11619760271,7536921501,437122769
80.020539129,287992757,11315708687,11756024990,563626183
81.020730081,493142380,13807806128,16992297571,1180819534
82.020937668,707165960,15265841919,18292411325,1478574301
83.021161543,799159994,13143136265,14768495486,1451202516
84.02140271,792184326,11446023407,12650538265,1534846062
85.021611654,600432209,12637797201,11570918384,1134363057
86.023848646,201335031,15289730612,12516170756,521483737
87.024061675,148621962,15932502596,9677009525,404470719
88.024287634,97544893,16542714163,10411233177,326651487
89.024552337,112648999,16212510533,9594753907,362065367
90.024786854,176986480,16397818650,9947996730,491624931
91.025034133,102827479,16125766669,9399235973,350129489
92.02530067,105033328,16320141022,9550633382,354554589
93.025752295,218534399,8861376571,5710525965,505954378
94.026021938,151809209,9783624200,8116106549,394122875
95.026289592,582256770,10284463101,10702198930,1130072895
96.026504277,795895463,13065702519,14671883712,1509471270
97.026729307,693652531,13903596757,16092569676,1372972268
98.026958734,738377714,12882572239,12701950164,1400665883
99.027248353,648867036,13633367004,12381088481,1300893262
100.02752387,295402245,16464849511,11241103289,775046203
101.027776136,105961798,16813235731,10230282355,348574355
102.028015762,134458339,16509975212,9590474569,388433502
103.028243285,109764190,16563416280,9843518081,357069157
104.028507991,109166484,16418255001,9888594032,356845833
105.028761746,161058955,16809562857,9810076508,448298308
106.028980864,139237188,11638116878,6614455339,403257679
107.029248366,139580485,9022692653,5217009712,375680428
108.029496981,204450221,7683797380,6802806105,416706691
109.029772345,509691311,10289009795,9946300792,1010812647
110.029998163,883836154,11813557856,12935476750,1718098804
111.030235296,454193363,13261215528,15692184761,1010545182
112.030469659,762269848,12987792989,12413587903,1454679201
113.03071031,634352075,13673481854,12829414305,1175443025
114.030996784,166631387,15546132594,11430170333,479378516
115.031249683,137101620,16031862725,9377717903,402439662
116.031535273,112267058,16646843192,10440399690,370617812
117.031807327,104241310,16484333283,9695943504,340432802
118.032102709,132399136,16400239064,10255185091,413890647
119.032389712,105472106,16351740411,9155619615,346166928
120.032641172,128880872,11338041150,6577086870,361012345
121.03284821,161929083,9478168362,5764634140,392329719
122.033050449,210801630,10579929810,10355188623,473824895
123.033286523,601782290,17265343708,21768005104,1353171889
124.033493389,472401006,18711634147,24959534043,1132136915
125.033712569,810808944,20265695168,28857202355,2076222152
126.033934995,386042000,20477793412,29039137197,1004337233
127.034153828,234076238,17306073191,22734023213,668396110
128.034383149,382554706,16365135252,20881334562,881198668
129.034607536,359841099,16762465954,20417510769,763928851
130.034832624,554839910,17851555962,22884618830,1294591549
131.035047251,674548921,18549559990,24873257387,1663333191
132.035259164,304492197,19565117942,25891845654,802367643
133.035488989,435632123,18411435695,24483344125,1078409045
134.035708749,375588498,17884537676,23531612154,906096386
135.035937223,591788325,17236576225,22840441411,1460179865
136.036163029,529719663,17264246441,22312391894,1269537483
137.036389558,353319103,18302665109,23520595722,895372364
138.036645658,388245596,17551193303,22511830358,949041334
139.036851012,473477707,18087661726,23126347178,1170006874
