time,L1-dcache-load-misses,L1-dcache-prefetch-misses,L1-dcache-store-misses,instructions
1.000177669,106551580,8986201,62610528,4078093115
2.000436938,239990254,38536642,106981906,8453698818
3.000885334,114430706,15304967,45668369,4401691028
4.001316871,1029611,87677,306996,24754194
5.001632036,132002206,22803900,51543840,5603780019
6.001907197,142112841,14120656,76366980,4359916681
7.002179406,139841555,14372993,72750162,4806162423
8.002448173,105713050,14494994,16279200,5214047434
9.002764987,173620874,14999330,98881532,4335275287
10.003083791,73102740,7877082,36980740,3113572468
11.003388595,99908614,10101436,52036387,3946915237
12.003707739,36094661,3430249,17963824,1355498205
13.004001015,147588424,14424118,77870447,4982502339
14.004328558,155045248,23416894,66359621,5854871733
15.004623059,114395476,13319143,53672338,5050237933
16.00503884,132214582,19624211,57854719,4636733651
17.005810506,7255204,833324,3426313,317603737
18.006035428,374005753,39627044,185500828,13197936630
19.006260899,852619162,95483962,362290619,20443308261
20.00649683,530404153,88944469,196819859,20709814678
21.006710175,759379892,100940817,317067324,21567522296
22.006941447,449901845,48390718,218247101,19046331804
23.008699991,396535463,34172764,184554156,15509374639
24.008923071,730632520,69646205,352522446,19838147707
25.009148871,268279575,32661035,127760486,25918116342
26.009394575,327861888,50329279,127467233,28049480084
27.009615372,235488431,34351709,101775185,27011374313
28.009839851,310410075,41646951,134123095,25810990640
29.010064521,244157942,34334380,105601738,26772757459
30.010319818,238302562,34213878,102519532,27131688651
31.01054034,283728968,39979053,118099839,25943825419
32.010762048,232861433,34164158,99778598,26825546570
33.010992331,200811471,30680571,89270601,29830878578
34.011251205,223930724,28943196,108297133,22555501906
35.011454395,427545329,36130872,236876228,13229389958
36.01168433,758920494,99942354,284961578,21392308424
37.011903352,688902880,96580875,278686334,21015431175
38.012124144,577240996,64721222,284351300,19331461622
39.012351343,430794740,49443914,184186179,17625756321
40.012578349,599051323,54914721,295072250,17775878277
41.012805926,491126685,50275295,231380339,21489445362
42.013019717,360844242,44916945,164245440,26530300474
43.01324844,271286699,41107787,109197304,27129967841
44.01347357,247901660,36388996,105520821,28406224282
45.013700299,246982570,35912659,105509046,27910750071
46.013928284,252619477,36125014,108101399,26610521094
47.014172913,231005359,33581815,96377706,27583139270
48.014397184,245545127,35035386,104179654,27342831570
49.014609087,219222191,32938863,93109302,27649006369
50.014868188,252305725,35914142,103769353,24405827883
51.015081106,261824419,27969122,134805525,18309807628
52.015296428,553044260,71211372,237966534,20671013690
53.015511319,664446872,81920389,279516257,19905682996
54.015738347,620131785,76797353,272899343,19805787852
55.015965634,555562752,64952699,248134663,18579530281
56.016187529,436298672,51727885,198073581,17574952765
57.01640854,480547611,47932842,235695335,18958032624
58.01663574,269707989,28654517,131814748,19285415389
59.016864965,167065328,23724615,71872044,22368423998
60.017095993,159852042,22333943,70533095,22273383668
61.017345373,159390134,21746215,70477480,21794860146
62.017629703,156374693,22204724,66556789,21796133968
63.017854988,150683036,20640867,67019997,22006040244
64.018062439,146719072,19899505,66407934,20940059751
65.018338952,111791314,14818686,51742672,15526971037
66.018558379,268686763,26666485,143515127,13204831766
67.018794071,464799697,63820822,193032668,16083280995
68.019015645,470719303,55903576,219795595,16291601115
69.019254753,447461324,54515984,193922230,16116847239
70.019480176,505878126,54867089,246673657,16451794474
71.019702031,246911463,26070907,124411821,14875449270
72.019935692,190415199,27173060,85223924,16733698977
73.020174031,126349915,21099235,54531641,16624153196
74.020406386,116410546,18638457,53208231,16580149153
75.020671456,121173649,18912468,54220334,16351646262
76.020917861,126464341,20338217,54076773,16474015684
77.021127733,120979919,19239593,53225691,16493045795
78.021359756,105876288,17542780,46510359,16367620593
79.021590315,165961733,18544929,86391600,10401233519
80.021834041,323523269,41750857,147397401,12470387860
81.022094278,334489690,45926304,150371949,12530194195
82.022322507,268421557,24594758,136474926,10147716774
83.022571328,341346052,41011772,155724234,13294055676
84.022799126,348204144,41033299,166466881,16027933910
85.023049023,163230024,20441829,70860371,14184047754
86.023313114,215720145,24666797,104667455,15815115494
87.023562211,132575750,18904649,59512087,16512642362
88.023777485,118037478,17998824,50418501,16750706963
89.023963691,115858830,17871945,48515369,16915216806
90.024228901,118736366,17289532,52182565,16771344376
91.024514425,112839869,16324947,49432218,15371285286
92.02474598,64726886,9366732,29824983,7967585901
93.024997732,140791513,15470224,73160662,9061689340
94.025226121,324666654,43136782,146216298,13952903221
95.025454314,316122498,42123469,138979703,11761359522
96.02567307,288995017,29014388,146194724,10668165877
97.02592999,350977724,42277383,159897772,14053420397
98.026187625,334735242,39755301,160548211,16326296078
99.026397489,162523230,20421130,72803715,14878125092
100.02664393,215059145,23436477,106124843,15513049039
101.026884681,132722851,17320069,60820179,16468352382
