time,L1-icache-load-misses,branch-misses,branches,instructions
1.000202947,38600460,47520649,757403685,4198562065
2.000483511,40747477,79408122,1547627811,8440429988
3.000868327,27895072,39269619,785445368,4288684313
4.001379481,1970913,673445,6896701,35242684
5.001703817,32560389,42976212,1099123744,5836844720
6.00202279,32271348,54070051,811368664,4431085369
7.002347098,39126053,55503463,901525366,4834801078
8.00264199,12625072,15333362,937847766,5159319694
9.002960284,32619294,59432427,775448783,4260199672
10.003275352,34622776,36489676,701442920,3722769511
11.003584675,33991388,32642071,598736089,3285393100
12.004281278,10666428,10200853,191208712,1017895746
13.004558779,32288654,32871281,541746215,3039981583
14.004918121,41086156,69148608,1272955919,6878428090
15.005178304,42482062,47571196,826552057,4426658373
16.005630615,34912837,41437008,717852569,3910038656
17.006312172,9601251,15401952,489453184,2550712537
18.006526671,98758030,91679897,1441824413,7859201936
19.007094301,214582504,264716560,3606483860,19778761650
20.010089173,174975457,186228862,4296015204,22591282190
21.010309536,207228538,226937547,4055620622,22104168036
22.010525121,209420757,181419158,3504593016,17907820082
23.010759068,157190005,130097525,3159940878,16380256763
24.010982122,243220346,233889703,3308236806,17486758612
25.011188787,210542699,83467511,5090144291,24326621236
26.011391623,197127649,69212997,5469074597,25762294345
27.011615329,159056913,42136150,5643260341,26304247613
28.011845647,185360391,55217757,5630286008,26607007151
29.01205079,169351911,39748722,5660249547,26755729924
30.012260428,154790551,42985464,5974212299,28605309578
31.012468916,202111626,46948214,5575203895,26981571242
32.012678438,180400589,40103557,5662174521,27039214206
33.012928441,167926421,35627147,5685183361,27011990401
34.013216664,145571142,54669684,5653939947,27448228235
35.013480446,123090418,95722387,2765403467,14280499403
36.013697217,163153172,219080925,3488205541,18786318997
37.013924471,198342536,217308609,3822781566,20608807944
38.014147547,207100972,209060595,3750752351,19830206921
39.014370655,178677583,168902958,3621077409,18936781724
40.014596757,208602312,206297841,3348321000,17730594524
41.014840551,188530928,130995047,4060983122,19870970137
42.015056821,172694837,80624370,4453478915,21681692603
43.015313542,118651682,50762161,5355832511,25482638774
44.015543175,129669358,47528937,5335469110,25751460795
45.015759974,152914108,40094532,4733247859,22794341272
46.016005485,141736504,40093352,4934355169,23899457733
47.016264065,119645260,44042932,5491386372,26403194834
48.016484463,99762300,36185424,5532151244,26464226776
49.01672036,106562716,42412541,5484423912,26439398337
50.016959485,80974840,52047469,3082973400,15176379698
51.017199528,101391950,117722595,2776819245,14562438754
52.017423053,138728467,196764417,3365197459,18224900567
53.017649015,163426001,185099707,3534061963,18662662986
54.01787081,188389619,201673019,3507100692,18701267009
55.018084166,168283460,154173099,3550083902,18270452163
56.018304324,168277885,137138550,3971873875,19848884419
57.018534745,117871407,79480320,4279922587,20818152095
58.0187481,120792582,35374395,3959178694,19037279174
59.01896878,95161945,37306426,4475921050,21637812106
60.019193013,100812175,38196637,4530423046,21852555648
61.01944461,96955998,33785696,4445167584,21567378572
62.019709871,92760366,36141889,4510129693,21946863802
63.020004701,88777045,32313004,4005468635,19265060331
64.020266464,86515880,46437443,3502967319,17413697331
65.020514382,83918948,100516637,2636734523,13749218000
66.020744882,122234616,146517722,2879113506,15352113672
67.020954101,125319570,154146315,2948123213,15690945019
68.021158253,158565060,170853925,3067580583,16242262978
69.021376767,137887996,144574071,3545807314,17989414405
70.021603734,114830320,99944393,3564712934,17923044549
71.021827078,131630599,76682187,3424428421,16852445742
72.022027735,128057842,55227674,4078489035,19732578785
73.022242551,111718906,42071549,4497946992,21622013692
74.022458429,111221954,37314950,4399250094,21277152892
75.02268355,107259109,35690244,4486641799,21579199002
76.022923157,106111899,32507036,4368666862,21310936785
77.023202925,98468206,32384265,3475960215,16942046937
78.023503208,100590055,42587915,3076400012,15133196236
79.023711706,124042367,99327436,3590656842,18165088741
80.02391528,130006365,131774257,3371003579,17418595146
81.024175507,71518540,83531982,1512952064,8097050868
82.024405454,86642338,108581394,2071565088,11146178807
83.024622307,119383564,154822521,2922306753,15444490824
84.024902256,112396035,98159668,2694071610,13886682033
85.025090957,104182487,95617285,2780996843,13990514662
86.025371581,82493652,65981438,2977241246,14850361462
87.025603557,87703490,45988734,3516943399,17063923623
88.025838099,67627792,31439698,3520242694,16962996554
89.026052657,63278369,27128616,3440733939,16705367964
90.026251554,73396408,29800130,3468622967,16867143155
91.026514108,63743591,27536633,3474819473,16760453432
92.026781488,44639399,23680653,2374214383,11647458218
93.027056451,55940192,37514998,2185482380,10893593643
94.027361656,63717492,78953598,2394775761,12302210905
95.02763641,62532574,78783716,1426608232,7685248664
96.027858417,87866166,103793279,1993608064,10600885924
97.028070968,119969755,150055251,2785134669,14747298802
98.028271276,98605460,99749984,2862456144,14838009987
99.028514639,101648286,98797505,2778200010,13913459000
100.028724337,85946142,63892960,2863533319,14246748759
101.029005707,83505063,47541243,3399939989,16652003216
102.029246496,72175325,30973955,3432355433,16606927816
103.029476736,70588926,25391712,3385479173,16412753777
104.02971022,70201220,28960833,3429061495,16525079160
105.029972504,73176209,31358896,3347759407,16301835339
106.030237001,43855791,20750056,2389570535,11580389935
107.030487681,50030157,33395116,2550456868,12622922204
108.030726581,74159746,85829029,2519012244,12848208461
109.030983345,66892774,77993002,1552455515,8287500373
110.031221221,81670679,103339548,2031245726,10798211440
111.031463084,123353423,158057482,2979126847,15770481841
112.031726039,102644718,102333915,2945129934,15148682923
113.031969905,97150335,91140886,2636899087,13423632669
114.032220386,90862092,66233164,2813908775,14072140483
115.032470489,87655252,44008637,3468969212,16780936684
116.032723339,66179044,30583738,3447957880,16702468155
117.032931452,61766845,26885333,3480779514,16861185705
118.033162412,73841153,28717858,3437873017,16723855061
119.033434211,64404386,29253948,3061029966,14943020853
120.03373677,41762989,18569329,2328377471,11298917029
121.034015395,58986105,35456383,2539551654,12584144231
122.034259166,65720842,82704598,2385077675,12265283056
123.034573944,60618957,76689293,1406834334,7582184765
124.034851279,85689806,106001025,2118916072,11190435533
125.035089139,116757814,148285856,2738472248,14582835440
126.035384577,83088119,87278088,2691908752,13486710531
127.035701733,43497562,30132769,1543531554,7617338867
128.036019568,19504895,10252439,1186175616,5808887372
129.036371577,27141755,15448609,1239625022,6111247602
130.036616633,23066774,11976525,1222370549,5977160502
131.036898114,21799525,10025279,1215603298,5918892261
132.037181111,30467486,19436470,1244814521,6198051187
133.037412663,99477774,94450408,2011223151,10407784062
134.037642516,135302424,129627262,2930342545,15254553563
135.037869342,171558396,224164220,3410268452,18389095211
136.042073192,185926628,203718424,3826267813,20438259935
137.042295806,195831676,209965254,3826870400,20337078960
138.042523265,206782537,201440288,3788036120,20063893014
139.042766939,178469694,170295205,3539497488,18327544161
140.04298732,169033433,190884728,3308393984,17437503823
141.04320763,185226624,219089670,3762197622,20386387200
142.043419995,194825832,207622523,3715621413,19783864420
143.04362698,205311140,204139504,3839736182,20326140145
144.043859109,185255846,186501085,3493620886,18660294066
145.04407881,168324815,184473103,3468853433,18210987642
146.044296635,191171461,211027229,3641346991,19476578394
147.044518964,190429656,200677251,3665138102,19568935394
148.044738321,192353295,201645789,3657835698,19386244185
149.04496689,193718808,196210809,3585775876,18947024640
150.045252318,159902687,170903730,3481919285,18286103106
151.04546744,171813718,201845358,3412751460,18236972495
152.045687309,189507440,198983335,3680862911,19881781763
153.045912958,180243970,190119224,3518616295,18515886247
154.046141373,192183517,197611768,3745904593,19607295906
155.046351923,176579951,194652095,3405259416,18222369536
156.046562109,172649673,191261914,3709777873,19235511994
