time,SB Resource Stalls,Total Resource Stalls,cycles,RS Resource Stalls,ROB Resource Stalls
1.000172867,235910291,668625020,3916795816,307316458,30231134
2.000477575,372660849,1586480073,7399101816,759706712,73769228
3.000856784,186672527,1066783172,4703099551,528060151,64397689
4.001942939,22058157,42437158,228725669,6503674,1056329
5.002223143,162182125,697956476,3094388477,330746373,42523081
6.002501174,223326778,1197606954,5401543304,626700328,89143922
7.002815397,282582454,855418018,4875185271,474058904,24830544
8.003130565,89326094,875677522,3675310285,624103936,32644139
9.003390203,292744086,1270898144,4900033191,567860133,34595449
10.003734957,210979045,670095243,3645143863,360985466,22948114
11.004078541,203580012,856734830,3823437773,469105769,59274954
12.004291721,275564710,1039254275,4482012383,503300540,54357040
13.004533026,231881339,836591046,3941178610,441383672,33359049
14.004999878,51898726,259312876,1256546026,141403864,11785697
15.005369679,210548326,622711121,3678266489,298569324,28377189
16.005672045,306438771,1313132371,6280480570,646382399,54160474
17.005918349,246668485,876394996,5111656228,423805314,44685124
18.006388185,185209245,722686060,3890681221,326601037,27384390
19.007047439,73220121,490972995,1822513920,236132004,27981037
20.007308204,709038890,2111780464,12754838313,784180188,72317178
21.007539503,1758541003,5824823644,29698193386,2001976253,162990233
22.007790095,1465187840,9392944965,32334455525,3283843572,435361609
23.008082887,1722160254,8069447884,31645654288,2747946428,331947918
24.008301434,1053410285,4692685541,24500372187,1968826360,257897993
25.008532064,1331040255,4755658302,23996125135,1973379413,249464762
26.008759605,1468994581,4569104338,30407252080,1699667793,103119652
27.008983413,495024495,1870854289,23085209788,649935436,103275508
28.009211192,350241625,1077722292,18345494885,370873677,109019438
29.009443328,330074075,1074994137,19734790824,356840220,96008967
30.009666791,361936544,1277057870,19647684846,431408204,90824636
31.009880015,210310413,5164891994,19183624995,1002581939,408477646
32.010105592,146617410,8362065366,17653819333,1441050171,710449658
33.010328782,617453043,4580286914,18331942432,2027802066,474068055
34.010565912,400881398,1333737249,7397507661,633776287,78034321
35.010836406,688827683,3366142648,14872166126,1465668013,150590695
36.011099825,610396081,2432317860,13030823050,1080405968,120255013
37.011314999,924024833,3593790270,18177508028,1606360466,183829061
38.011560518,1002632087,4245452885,23594762709,1605670015,168098708
39.01183767,833457475,3208644493,17656842463,1192887460,201462902
40.012070824,715722401,2633053008,12733070549,995140730,189072754
41.012277627,685593574,2994131593,10897461931,1094719605,318194644
42.0125223,493853314,1839911775,6787361892,766761921,158700566
43.012717737,463074164,1893089237,9791451557,953293618,90095986
44.012955306,309871636,1487612258,9413229373,710820869,84338494
45.013217758,216692284,1497650642,10283518243,652384870,60626360
46.013461497,104467988,646409120,6946654232,338050275,24298650
47.013728266,85765271,589581373,6823789484,328287973,25727511
48.013993327,82214967,584324156,6449934565,321813214,21807277
49.01419799,92650121,491620296,5027603769,250596082,30367560
50.014518612,80072578,345219193,3505268418,172858127,23258721
51.015016304,42426273,104154918,514836532,33900387,5202441
52.015401368,52313786,125934862,682980163,44993242,4789108
53.016013172,116192865,326111567,1781616813,139879357,10413135
54.017105013,20735545,35391717,172671104,3823272,328370
55.018025871,21431776,40258348,187180946,4811572,875548
56.018993979,22908727,43535137,213852117,8325815,1625644
57.019353805,28699198,92040218,406859849,21391573,15384840
58.019620289,260215725,827806441,4723147846,376113336,36350334
59.019927844,270396646,1202144272,5832325433,605078716,54772132
60.020095958,224630511,996618197,5117310787,479913426,50387500
61.02044389,173610732,579381717,3091335365,283003203,21501230
62.021182781,31102188,74633252,359615702,25055454,2830051
63.021421688,877957684,2559476277,16202761745,1002908163,96149373
64.021657809,1705953797,7163627312,31784472825,2553544717,222530100
65.021894514,1524469848,8465090429,31530363545,2980848009,381825877
66.022107594,1536867326,7021578672,29257363742,2398617291,298206540
67.022345071,1171469077,5052889764,25614833428,2026771877,312927977
68.022571563,1602476135,4716241537,26054174442,2034183308,153191199
69.022806697,1153753683,3920332220,28588747321,1438173074,105975874
70.023028938,470426113,1721521294,22958765115,624807967,72197435
71.023271985,304482396,964503521,20756260796,357577799,40111731
72.023506219,365703488,1183010681,19951385209,446228115,58303992
73.023739492,385515560,1289898447,21259788151,486796098,63414094
74.024028893,333266032,2218278266,20776030266,905124941,109190407
75.024245989,139163865,5140483246,19187611355,1786612984,254964391
76.024489782,648187589,4232769798,18844952572,1847288188,269799720
77.024714322,651116744,2252789628,11808391601,1041793325,122478870
78.024934622,1155123568,4991323384,23469298373,1935664024,216142673
79.025157525,1624766259,7316646440,31559605083,2524200733,269247735
80.025402758,1569633556,7345255263,30710128453,2600215339,310713697
81.025628267,1319922144,5450477822,26928723160,2160049299,258817069
82.025849892,1245507706,4722853873,27226951010,1827697209,207811799
83.02606892,1315037279,4191779119,27826487629,1659928068,122256512
84.026268095,640525185,1944899879,23001038370,761275646,78730896
85.028664554,404465606,1496736757,21607680001,505236858,73512801
86.028878658,347091679,1095730054,20565596362,387205327,67057714
87.029120411,322194595,1058742713,20752330418,384691429,55307830
88.029353487,279412340,1760116801,19841020730,769777342,88297687
89.029568497,253632247,3072939569,19680268854,1124804402,165548581
90.029787288,407202265,4061490120,18606352955,1664101422,241227609
91.030027371,553164238,3087762267,13547608192,1520551884,198244180
92.030253948,955366069,3691795052,18649008909,1577752722,158902168
93.030504778,1469944868,6568991940,28954323451,2355970883,255693718
94.030751193,1520625576,6895691622,28718944766,2497090277,279485009
95.031055633,1171938806,5299040710,25620441354,2101884300,251860138
96.031282849,1204445986,4584109459,23242800072,1884065919,237658526
97.031529397,1080956296,3697236384,22844967357,1506675269,122717698
98.031773536,408051148,1591434932,16810118739,612631285,76333011
99.032043407,306461771,1063796667,15247743249,379900205,66447897
100.032258556,247778796,858103018,13028579392,318561673,56688176
101.032525288,272168525,893022060,13669820659,330794634,55050005
102.032743443,197629124,2691283200,14146273712,1239983104,106586663
103.033007241,313081561,3413155665,12965956633,1513693822,182470247
104.033326166,316899585,1604679278,7221687854,747580304,101628370
105.033565361,698411541,1811123919,10166149235,668071183,67667737
106.033787561,1229757977,5424050581,24059926257,2061394004,219599848
107.034071846,1298507864,6102036334,26242321623,2254742970,271365037
108.034298769,829841147,3540524031,18614455894,1535261651,216676253
109.034533707,976594256,3364063485,19498789001,1516575404,142454317
110.034771346,610899523,2282280117,18796464431,1021771927,91225179
111.035007619,310304441,1189265666,14371364258,454467192,82452762
112.035258994,263467165,922059125,13988703889,336444858,68542313
113.035513986,241397939,859871898,13286235069,315369245,65259771
114.035733603,256821519,1916294808,14374596162,801716458,93573802
115.0359964,187227136,3104013543,13081021746,1369194691,166956099
116.036195375,353260617,2396822102,9687385728,1115750676,156959586
117.036429737,535958440,1700963267,9323063310,780418914,81277397
118.036658579,843505592,3759296895,17945243487,1588272713,179853170
119.036900734,1060959455,4488575696,21460645425,1724125706,199664629
120.037145936,946324125,4013746612,18779576963,1708546859,216172025
121.037392772,777844720,2808104140,15549754290,1273681894,126449865
122.037640259,515506408,1903037005,13676547137,905808876,90344608
123.037838627,304077095,1124358545,12318787244,508177607,59195378
124.038081817,273210954,972764294,11536133438,329237626,70269404
125.038296179,186890965,588565556,10193740363,216457192,46335961
126.03854416,175785397,976312560,10545332620,419603084,50133054
127.038791098,238416009,2042902443,11843495737,937551300,115078786
128.039050497,299879245,2292476572,9494091027,1138360936,100675055
129.039256307,874465381,3279470714,16616035490,1810138374,123322603
130.039469265,864726698,3731135556,19144230678,1800543747,143864581
131.039695269,698403622,3066917470,15146705874,1345454074,146086283
132.039974734,851149784,3583237860,17174827400,1563547665,184190215
133.040202084,628944399,2664655096,15877835941,1125750036,131622118
134.040459292,561111810,1972694804,13465576081,912304651,97529208
135.040716892,387658069,1398894999,13848256890,558743687,62292687
136.040971394,215903524,728154291,10910203173,286533779,56662246
137.041245278,201545221,856053278,10431550484,385969922,54580207
138.041485304,144101828,1189980170,9757019436,559896640,62240058
139.041761698,275784937,1790293705,9982816245,939251377,92242730
140.042043469,129731411,1451713702,6518451289,719290630,82998868
141.042329677,401699380,1488285658,7449184543,695694982,84759306
142.042564376,552339653,2185796140,10472153983,1018839305,90558643
143.042814604,764777399,3521632342,16433147638,1453863829,173305547
144.043035222,793907960,3382471261,16683944138,1518216020,173627380
145.043325855,705201721,2771718739,15872093465,1203382871,135081067
146.043572857,487645219,1830626052,13673997763,837655832,98314671
147.043824354,325986527,1098995690,12280274938,487992506,50741344
148.044065602,204600186,683127932,11040796183,257684537,45908019
149.044267699,207362679,854612157,10691805528,385635426,52131122
150.044532953,147419247,1463221724,10145471762,692434082,70766188
151.044809572,232270475,1980294179,9814545181,903549088,102390547
152.045126688,194517253,1515923441,7026576813,688281332,90406061
153.045400872,323578773,1179007252,5904740925,585427680,65531573
154.045634332,395179203,1752004718,7592504748,819305714,75831923
155.045845703,434408897,1451450104,7646065383,678963167,82983434
156.046072259,721584637,2678273365,14210530125,1198422588,110631576
157.046330009,821112321,3546340387,17152726168,1485499391,221677231
158.046606031,1062284786,3856822089,13530668424,1325634732,329252693
159.046857604,910447573,3829618608,11454337351,1237773230,390573653
160.047114002,615775434,2707927042,8786128401,892573880,343267496
161.047469045,420724745,2020062545,6420187200,670926963,256343560
162.047792563,74765038,927960930,3592609696,363263589,143864467
