time,instructions(system mode),instructions(user mode),cycles(user mode),cycles(system mode)
1.000219668,147492474,4003888849,3826862419,318296129
2.000502881,69198009,8370241689,7198067574,210496510
3.000774566,49995711,4236370079,3770896411,142497285
4.001107167,19357522,225689216,286807867,121826943
5.001333151,116914847,6104499066,5144556718,229683850
6.001734781,27827684,4580441709,4879831378,110351288
7.001993496,32895387,4468625296,4469492703,131435215
8.002231833,27904880,5357732805,3471388000,109142117
9.002484486,19824809,3932993632,4392753543,110983101
10.002801051,44782154,3084454981,3424290498,189964161
11.003127281,49951214,3405316272,3520001903,226306390
12.003538421,41164364,4108467873,3854414706,214435256
13.003841999,242103238,3287364607,3256891580,545207064
14.004088595,98617253,5879078290,5462672224,232171170
15.004439334,55320778,5313148934,4679251927,200651747
16.004731568,57116304,5037602718,4854929583,250269475
17.004972361,21046557,2112958007,1944213835,99441912
18.005390034,15157602,1190795104,818659322,71673621
19.00562151,877927958,15373974354,20349972421,1894605400
20.005832642,634277919,20873474980,30690108153,1666214241
21.006047222,624937124,20483006656,28978582106,1712491023
22.006273395,612029664,19828675809,28027408971,1604947723
23.006530522,939398236,15952715942,21200418265,1849132293
24.006751947,1825483524,13548282684,19364026917,3467588068
25.006969284,136199479,22492929090,29288150807,377444391
26.007235227,137715461,10444745232,6276246063,306718129
27.007506344,319104414,13173420952,9343921611,664547667
28.007771954,359718904,8702577391,4511874065,971835698
29.008037125,407705142,10785491835,6577332875,1109021384
30.008407086,137412260,8345319109,3905648535,283432015
31.008709584,156085599,8047377486,3886680729,317844311
32.008957063,202913153,8206709365,4759488645,422689515
33.009307736,276444630,7752122166,4112586079,646014387
34.009545928,180044799,8246865939,4278363775,381531340
35.055567571,228814661,6814970417,4463788615,449603270
36.0558508,153146316,8313748058,4229360262,303688116
37.056136464,154337968,8064423932,3696291116,300532961
38.05637915,238394583,8545893019,4685340832,482804499
39.056660722,212353493,8140175281,4230031322,454128610
40.056904496,176530929,6946125566,3288538059,432037052
41.057249858,215650688,8808396822,5287738245,463690811
42.057445616,145904764,21023161356,12612182120,337245520
43.057656281,45819775,30230655843,18017942902,135629548
44.057863721,490091950,27351524633,19376068270,894441116
45.05816481,732619975,16159201449,11956249932,1100666754
46.058418894,258894158,12257611035,11428448952,531198972
47.058683173,1151292984,12130164954,13001822919,2101333895
48.058906479,865538620,14051492614,17318942105,1776787802
49.059124969,1003239424,17883766320,19410603076,2032374298
50.059347264,76184864,1724209302,1822933542,174503132
51.059584105,989868954,14694850120,17877889632,2095054726
52.059850493,913511490,13717339006,11933919883,1726350464
53.060096379,372061883,16374894145,8307348606,619715419
54.060355553,252733596,9432295618,4917841202,464367103
55.060588204,453288499,10451916235,7304133069,917451761
56.060840608,429032062,15437197761,10961645673,838946855
57.061132679,215373208,5947996939,4240881196,400240484
58.061398371,143979171,11360242074,9987599573,286853774
59.061653811,87110715,13190428597,10492734004,277657253
60.061932467,91771522,13547839342,6991471636,320361307
61.06224176,78886629,12878872502,6250877664,282778550
62.062559718,82452522,12924081910,6291289472,293426473
63.062884798,89382182,12993106314,6188847947,304300599
64.06323583,204085243,9161378535,5112540921,388451301
65.063681698,188357802,4022851070,2489687011,351264809
66.064946562,18328235,107711721,129858882,82359128
67.06538901,90553692,1216558081,1287137166,290573849
68.065996132,11175075,323321162,308150855,68840707
69.066903062,10837146,17659658,29605778,59426629
70.067899663,6765790,2831067,11573322,51430654
71.068325957,43532227,28156419,42000029,98676303
72.068601372,199855815,811500340,737907877,349564237
73.068921482,60769836,5974801023,5587384399,184750263
74.069234379,56954283,5202517951,4592741568,201153034
75.069516934,57886114,4991269248,4982925056,242771693
76.069976982,19362431,1579061949,1625630418,98950675
77.070410109,11542848,266973055,274447383,72458923
78.070627409,851392161,16381893339,22297052326,1811012916
79.070846132,781346684,20712783603,30560969824,2067979493
80.071060398,454618740,20671999051,29528807974,1239528633
81.071281553,646394368,19188956584,26433430214,1662064548
82.071502595,2519904060,14154806192,19114543081,4560740848
83.071710082,278534483,15816638888,24478318974,645658386
84.071937103,351136911,22550879182,29674425658,895347929
85.072143361,371635118,29945979214,23297435197,989994271
86.072366977,288027625,32877768360,18964376842,745015006
87.072589484,287809060,31163046166,20513884464,783684586
88.072818854,284166239,32548781714,19870798935,754928113
89.073041852,151002151,31250714094,19800313650,461006374
90.073261143,52348584,36429574386,18251317263,164297027
91.073473883,545069526,30392828187,18256037641,991446611
92.07369739,637340124,6508347718,4411953810,903072250
93.073902769,502491442,16437192111,22533255296,1130094036
94.074121154,701370991,21288347552,30596718706,1569419860
95.074341317,660171027,20123553717,29751492296,1459864367
96.074569275,561605513,18606274362,24825888729,1374207895
97.074798139,2228541472,14709808022,20665263068,4450622216
98.075007687,552139676,16362237062,25917262100,1129907699
99.075236317,348034111,23429654573,25771720830,934734957
100.075448303,287693720,27431830703,24319712098,803885581
101.075656713,293083965,28425374917,19527791688,774057494
102.075881863,253471371,27377382941,21400194575,700787578
103.076110702,256977606,28315484934,19249329512,694916800
104.076330861,178901918,30713180382,20110787158,514228518
105.076550766,129885916,35875533505,19264090446,333669551
106.076800333,490184710,33029822272,18580497690,805728922
107.558631312,713811181,18319576363,11805426304,1041714894
108.558844329,584831886,17783886377,23867764694,1206149514
109.559069645,949078546,20403346773,29867673521,2052205334
110.55928966,759396393,20199461141,28932057848,1910125592
111.55969972,484194706,11901923886,14875710806,1145533653
112.629657054,1884550187,13580673244,17823332845,3647411993
113.629870327,440095561,15727716727,22359957063,1019968888
114.630099604,391536610,23100350685,22555405870,948558625
115.630317099,345341943,27211500660,19642652606,922438434
116.630545199,242890802,24241926382,17265510940,641075926
117.630754743,229971988,27114619154,17524238044,648632534
118.630997571,250087792,28931286939,16148990950,659735069
119.631219617,87460128,31221413012,16765796766,291915629
120.631434398,233702549,30600081063,16200252881,402513731
121.631718965,918317225,14606101194,9613245616,1584170241
122.631925911,502614629,9974734679,10034099026,945822283
123.632146147,965577266,15103584721,18630782658,2098116707
124.632362652,918772640,19026735264,26796204120,2091220050
125.632581827,1371831168,16257871933,21949052837,2925785502
126.632811207,708982855,14873740511,18419755493,1430907817
127.633070355,1030732215,12910373484,13604205620,2033160006
128.633270557,184015266,16394401133,13323543018,505460493
129.633523247,175528618,17551473800,10216692265,496821000
130.633715361,298911436,17417921027,9818056545,764736120
131.633971547,399001503,18082776587,11033515464,982132487
132.634242482,98991433,18795489390,9841159866,318501700
133.634492857,727176546,19289246794,10855567121,1575959115
134.634781605,280444621,12416756174,6330798304,447769561
135.635018502,387326444,5342837443,5522071170,690407955
136.635240584,685909857,10577717723,10174643090,1386785252
137.635452062,806315855,12562549929,13855131831,1657871159
138.635673084,812847085,12542498151,14614716338,1637733505
139.63596066,760960433,12667970991,13704745869,1541624941
140.636228117,681102978,13457577317,12182710798,1329971123
141.63650994,262084022,14996247446,11923496993,632353703
142.636763188,228831083,16476104546,10012983672,630024585
143.6369558,163530413,17819023107,11072653625,466132034
144.637234133,110861959,18498040320,9681758318,359914487
145.637462804,133818972,18955514715,9690215251,352156335
146.637683064,258754146,19608200148,11166957600,472765325
147.637921305,535833249,27514471069,13614822906,770769110
148.638165263,689724233,19433867915,12075420128,1069113701
149.638375495,653011447,11274869068,10936585333,1283676540
150.638604194,709379321,13178078647,14489646334,1479375681
151.638831457,1037866947,12216748543,13457531417,2090900706
152.639103437,814987310,13408461465,14489386455,1555846924
153.639327262,718084243,14135605294,12573561666,1338365801
154.6395257,211434654,17243739650,12197854356,589764749
155.639791093,202749778,17774738653,10466916666,578958020
