time,L1-dcache-load-misses,L1-dcache-prefetch-misses,L1-dcache-store-misses,instructions
1.000239489,92371024,8147967,53778907,3772445208
2.000539226,226629606,32687126,103144932,7767630927
3.000833755,127177127,16896609,52432173,5088634014
4.001796928,5316075,553017,2734026,156974085
5.002091135,105027348,15896400,40201314,3874221103
6.002351392,134497460,18797108,61524425,5238695137
7.002552527,164291356,14316936,91441735,4490489364
8.002882659,60977986,8804481,15629180,5212476559
9.003194036,205321204,20881253,89136403,4720822935
10.003523739,103140728,7607153,59014737,2547322858
11.003843629,67820872,8299738,29872422,3407974720
12.004105549,108452171,11478380,56102565,4388473447
13.00435776,138816407,18581504,61974134,4801739506
14.004651651,46419885,5248859,21544149,2067013778
15.005004421,178747983,20419022,89327852,6030214688
16.005304592,126226099,18155994,55186484,5237576601
17.005581452,126033804,13205573,63400587,5029270470
18.006054428,65222221,10885457,25126120,2465660678
19.006294629,52979856,12414832,13338804,2074474594
20.006501318,638035692,53636909,336048821,18751148291
21.006719322,735111277,101916788,261123968,21526806286
22.006933538,662367339,101989882,255903632,21445943603
23.00715702,574412499,60200351,292698618,19004582237
24.007376863,357145481,36937331,151561069,16534500362
25.007597832,674694782,59145255,346489697,17308179465
26.007834791,525809518,66259038,208893480,23546110533
27.0080368,270607477,38887402,104638180,30402457273
28.008253498,162547433,20399084,73256409,32208938163
29.00847296,198365388,25240988,86649357,30902630201
30.008723762,182151428,27270897,73143860,26205908554
31.008964909,155322064,33516279,52835483,28083011191
32.009181568,190100575,52982725,56208055,30785141470
33.009389441,175984952,46885530,53175176,27019615030
34.009598997,141304336,20477606,63386110,16963352489
35.009842842,377017469,40423937,184042094,11680864751
36.010099752,335688231,45281591,151964563,12647432910
37.010321123,295593369,28411433,148092580,11939764881
38.010541821,571576611,62344151,267484788,16948613330
39.010741411,430565335,60512059,171861550,22862164332
40.010975326,216507558,27162012,103598714,18915123553
41.01122399,157609592,25730407,70240424,22059661736
42.011494981,85341276,10705869,42397764,15386967343
43.011794207,50423065,7032069,22376755,11114038791
44.012017064,248294003,31911397,92237752,11846535772
45.012288252,250424054,30388346,106447454,12662480249
46.012531245,81536198,10133543,36997638,13318681917
47.012801955,57707246,4583942,28685522,13003646573
48.013046794,48384766,3405155,25572418,12888819801
49.013292187,44273621,3068714,23565741,12881516378
50.013598439,49500999,3882977,25957701,9175561120
51.014023768,35499595,2425156,19664729,4664735810
52.014372877,5568864,523234,2978298,161329816
53.01490986,11274088,839293,6389232,304843324
54.015990455,51266976,5366924,23919207,1590228829
55.016590913,591711,36706,150270,10836353
56.017096167,1186671,105411,416395,37788465
57.017926724,796306,50602,253473,17708834
58.018235619,17281255,1978130,7558469,767080006
59.01848897,182676688,20327772,92397920,6050144383
60.018808814,130451249,19112887,56183489,5435283519
61.019074971,120180927,13105312,58180848,5013974361
62.019514711,55797773,4208198,33100373,1789020240
63.019928825,5564210,591973,2647423,215339127
64.020157884,448560900,37885377,237368713,14938986490
65.020381805,814152633,97876329,327856810,20717792845
66.020664169,614525360,96089470,227664790,21343562693
67.020889258,663652246,80364745,309263136,20488161153
68.021122399,404078988,40656594,187297865,16808619701
69.021336759,483549930,39939132,252596800,15742236229
70.021539635,805779589,85535011,353179904,20989907893
71.021763577,314434534,38704739,131157797,28586687854
72.021982121,162532028,20116621,63734030,22351155074
73.022202424,183723113,22024415,77134830,30331689330
74.02242965,243590206,28938789,97621063,28746548239
75.022658898,163378911,19911769,66527664,29337667421
76.022888767,189590461,44910094,72584882,32125668175
77.023131528,146567232,48001800,51134902,35059154307
78.023353242,164072405,25881601,75199142,28579580632
79.023562918,462640593,41214373,249123569,16006443112
80.023781078,545791018,76051960,217384086,19585448435
81.023997943,721049074,95031828,294980186,21066495497
