time,LLC-prefetches,LLC-prefetch-misses,instructions
1.000264118,9837976,810850,3920034934
2.000582663,47870744,3116593,8191151898
3.000992533,22755969,2647861,4856490853
4.001787289,115472,34396,18043440
5.002101977,26377770,4657662,5714282892
6.002400237,17394588,2702828,4481110492
7.002650723,16104506,2259300,4656657247
8.00294919,11030264,908254,5139266546
9.003190931,16460786,1794487,4261838471
10.003464591,8904450,1948057,2786332403
11.003769796,22558632,5739740,5295169475
12.004050502,14268141,3077438,4269349405
13.00495095,26216236,4727999,5548087090
14.00519354,13422703,1098855,4160389544
15.005449094,28883525,2195256,6620384358
16.00573694,17171837,1958153,5077739158
17.006013653,6745655,1011005,2530295977
18.006829535,11374843,1566540,2055121017
19.007042344,25405341,4914074,11976792572
20.007250339,66003151,11164306,20612945589
21.007474648,81912499,23462152,21554861783
22.007681714,82937558,18931841,21582037655
23.007894274,44809151,14919959,18647434314
24.008100492,27274825,11256674,14395747176
25.008306744,52011330,6998373,20271303547
26.00849814,40725215,5637681,29431415847
27.008706612,23345199,4968230,31255057875
28.008894843,22496077,4629419,31673894471
29.00912441,24938135,4808407,29067378339
30.009331418,25936572,9431202,26794677286
31.009536578,24827735,17574822,29183992263
32.009729805,21027711,17776783,26807133838
33.009905861,11249836,3394531,25744307350
34.010117989,16765924,2485837,10468735449
35.010325027,58052973,9268733,13673070204
36.010571793,41414258,8249692,12619226115
37.010780222,45684286,9912160,14221824085
38.010972867,61275749,8825201,19514686108
39.011192514,48612113,14536240,22125499810
40.011374082,22800251,9710459,22232561179
41.011607107,15464758,6337842,16872524012
42.011890579,6853820,1841224,11172414368
43.012125198,5787745,2352817,10174007648
44.012339234,24241232,5523305,9906188464
45.012551882,51865662,11695645,16356968202
46.012812009,20263625,8835594,13029556982
47.013056726,19387851,9095075,12949425447
48.013227774,18953892,8934365,12879199439
49.013478858,19514930,9115685,13071189383
50.01375231,14894282,6630114,9448704778
51.014110942,3452269,1306574,1492476338
52.014331522,5013542,980391,1156647439
53.014905952,1790256,276798,401911822
54.015927474,74386,7140,10484784
55.016967164,127613,20566,28222669
56.017846512,79726,6193,12085403
57.01882998,313714,133427,97569426
58.019114211,5970374,996420,2141013121
59.019375677,25093575,1379937,6542864610
60.019603987,16629172,1737569,4678748281
61.019949032,16572641,2169736,4969536984
62.020767278,1851666,531332,602614052
63.02098878,8970258,2190128,4060266664
64.021172064,46674318,6324011,17829145181
65.021380865,85228377,20474088,22034406220
