time,LLC-store-misses,LLC-stores,instructions
1.000271645,2235279,8326004,3877084150
2.0005765,4317773,13614450,8166780895
3.000914166,1598817,7813879,4985464639
4.001406185,135422,239833,53363093
5.001654645,2858291,9221461,5807374325
6.001885225,695517,7383092,4249221459
7.002177179,1167666,8292108,4718377120
8.00248145,713201,2663867,5151123262
9.002723283,1131906,9117633,4371254234
10.003072857,450270,3904646,1717895297
11.00337019,2088659,7063000,3772595672
12.003675259,2720396,8710758,4436984555
13.003881998,1744259,8677832,3774489044
14.004135531,2592390,8778219,4372553932
15.004396297,3665752,11391578,6659893272
16.004686533,3579680,11067574,5115525683
17.005116005,842207,3708439,2385500312
18.00632796,978075,2717572,2107772150
19.006554999,8663798,30185187,11776677893
20.006772737,12394340,43725583,20189583208
21.006997893,14979699,40880001,21844114236
22.007193999,13421317,44772235,21656357629
23.01103535,8832358,40574977,17714104914
24.011239423,14435419,37358588,15600913523
25.011428994,5222881,61759473,20485391225
26.01162573,3601976,23974905,31019606966
27.011823111,730896,12988376,36782564965
28.012017815,912357,12030862,31177483598
29.012212186,1901409,16618273,34513010407
30.012424766,943479,8712743,32159152115
31.012620144,194386,551751,27278312050
32.012817288,3882385,11577876,28146135748
33.013045195,4956029,15238360,16209185472
34.013249093,5597364,17510754,11190963725
35.013441733,7364251,24744119,14291344815
36.013648801,8069279,26579754,14904499336
37.013829095,8903253,31719342,18118251989
38.014046026,8701455,28256724,20978402465
39.014275254,7042207,19441056,21532535353
40.014496911,1846575,6122065,18796778823
41.014746493,1533902,2982417,13116908457
42.014977268,2902805,6969504,11761430550
43.015164359,2830182,14114635,11116239477
44.015431053,2997778,11286985,15822841822
45.015672835,1180200,4653628,13192220919
46.015895565,782617,3430245,13062932079
47.016144039,835163,3580410,13163620671
48.01638541,1110170,3882314,13161463699
49.016647366,1208790,4369372,7269910407
50.017000875,210921,489074,184370398
51.017278321,1077749,4998387,1095574388
52.018383597,318987,1361354,823150578
53.019294291,102429,143964,11892477
54.020397853,193070,283658,57726854
55.021273817,109939,162721,22436832
56.021582556,634795,1462575,380052478
57.021821317,2595477,9229270,5174017432
58.022036826,3744228,11069483,5815483659
59.022292656,3039486,10042409,5107157599
60.022676014,896415,4048907,2468932890
61.023104046,180732,417176,150632309
62.025222145,9671154,34488757,12963150508
63.025425771,13403907,45055941,20181448176
64.025626492,12664020,40361351,20611029411
65.0258246,12839804,42426784,21151174815
66.026064334,9155317,41625107,18136046083
67.026262922,14080326,37791997,14764528671
68.026460904,5316576,63120653,19201280771
69.02665591,3803973,25340991,27975192121
70.02685541,1383557,13911561,31469427332
71.027016561,826956,12276991,30076553867
72.027220575,2228533,16802687,29238462073
73.027424512,757896,11105803,29627531205
74.027621213,1106947,6642843,33614230475
75.027813714,1742678,5188416,36327533951
76.028161315,5165392,14496719,24614341151
77.028335687,8651291,32612770,14649194523
78.028519958,14905135,42259587,20925007525
79.028712181,13108109,44622570,21443339115
80.028908733,9565779,41334050,19015863956
81.029097327,16099570,40058391,17220067118
82.029295019,5731283,47412682,16536202233
83.029496252,7317547,45319743,22684868198
84.029685085,3020248,28795208,26560239007
85.029896216,1776168,14682918,28357723330
86.03007886,1378799,14552263,25653256464
87.030259866,1096678,13008979,28101205730
88.030451444,1525561,12576269,28865846714
89.030656501,1396684,8275324,32566288784
90.030848533,1928758,6848085,33684021795
91.031076202,3300776,8297314,23553805496
92.031401976,1693183,4983645,6426773343
93.031623863,3053685,9705639,4369551339
94.031803403,9763641,31816077,16030956027
95.031994388,13290683,41056445,20803662111
96.032197032,10389737,40232229,20050689508
97.032391696,16152494,43671666,18406253629
98.032606558,5655604,29790701,13897300849
99.032810831,7127860,26567666,17779887914
100.03300847,3077802,25087944,18504449097
101.033191481,1616694,12514697,22338858570
102.033385788,772836,8869606,23292166602
103.033586633,1656686,10504491,18411486405
104.03379271,821112,6818109,23926822518
105.033998487,1508803,6822674,24615133299
106.034235775,2122158,5749544,18066969264
107.034472302,4728821,12184129,15058848772
108.034692872,6012808,19182470,11236145705
109.034883277,6865932,24418166,14313376787
110.035074948,9112451,30528643,16254868323
111.035315633,8546813,34731975,17257196054
112.035527955,7219945,28726862,17198307351
113.035733138,4525877,25633897,18567127247
114.035966395,1361268,11638971,17574987391
115.036227527,1000524,8579687,17636545774
116.036476059,1264028,6635712,18238824791
117.036700133,744001,5405262,18392167843
118.036988877,1535172,6440896,16476929613
119.037291247,2842338,5213295,14254941699
120.037480602,3000714,10334729,8798963807
121.037664101,5229262,18406172,10773536631
122.037981949,6525313,22631146,13821636203
123.038166969,7584883,24412362,13967645419
124.038355955,5766280,23077399,13650920578
125.038560208,4772338,20382307,13798015816
126.038792244,1579835,12653833,16716013350
127.039006539,988595,7882932,17547720697
128.039233201,1439632,8286721,17757497871
129.0394556,503279,4843383,18164243398
130.039707305,1292825,6174927,18939995501
131.039955694,1858303,5744209,15367296534
132.04018411,2301039,7576561,12861531208
133.040372051,5332423,18223810,21236299517
134.040591085,6808796,19327904,25320470671
135.040786055,7286888,22073682,17879563921
136.040988156,6305812,24457614,15698480371
137.041213859,5889692,19611130,15262618033
138.04139429,4331926,18065314,13431864870
139.041618003,1709554,13678538,16227959959
140.041842581,1168398,8965449,17995092026
141.04206933,1292811,6886558,18011812330
142.042307521,766994,5255120,18775094380
143.042552778,1858507,8072011,17132258372
144.042804233,1183816,3113926,13479139286
145.043024527,2660621,8641832,12268961037
146.04325975,3681373,13684729,9283220595
147.043444495,3841818,15550303,8295474436
148.043639554,6675652,21755526,11807464922
149.043865077,5950192,28208347,15202277392
150.044061179,6249960,19121326,14990520551
151.044281064,3790200,18243135,13574275517
152.044511276,1801804,15360442,14670660167
153.044740512,1705334,10132255,17507416829
154.044997511,767362,6105463,18437988972
155.045228615,935076,5878571,17880505520
156.045487623,1787263,6820934,15120363101
157.04571762,1269523,4347449,13620010021
158.045912027,2794924,8368051,13209005807
159.046147298,4251992,13392219,10901608861
160.046351259,3343028,13848398,8388903446
161.046585169,5922144,17934352,10354284878
162.04677663,4222783,19201472,13128388150
163.047003742,6155912,19675049,15254093659
164.047183225,3287403,18339325,16391222576
165.047410374,5363019,14337710,14983357423
166.047630932,1369013,4960248,15227476932
167.047874067,1377553,3223635,16135149785
168.048160634,1937832,4524320,10912455074
169.048425329,1239143,3115425,6203111599
170.048639796,5466029,8701313,7779780996
171.048847877,3500609,10662966,11976585959
172.04907723,3303213,12099192,10315972177
173.04924557,7961150,18908163,22293782901
174.049429712,7632747,28271237,19879413258
175.049611722,6610500,39348839,21461318539
176.04979478,4356343,19656558,27489142582
177.04999608,3956007,16425966,24040816599
178.050196826,5667472,19591637,23089453827
179.050376483,1583545,10546368,27366365445
180.050556422,1154484,5711128,25345676258
181.050737423,1663374,5018458,30329303432
182.050967022,4053870,10076199,30784077771
183.051199747,5502103,19454111,27344164663
184.051395772,7744291,28654262,22613699235
185.051605348,5517354,18922447,18286572720
186.051794189,12322207,26353152,20812029765
187.052044376,9461470,26465332,18447502611
188.052269017,5907874,16194299,15520024352
189.052469624,1517059,3029440,15846124453
190.052634748,3122535,8177955,19209155641
191.052845156,5264466,20377788,19693577448
192.05306914,5258755,23341649,16303068343
193.053242312,5046123,16163702,14315671272
194.053459581,2539040,8932937,17336046533
195.053630612,1047829,3287419,17165144444
196.053846401,1282497,2729374,17514025342
197.054047574,1272791,6469924,15571152443
198.054244376,1048355,9881695,12433595677
199.054485342,3588044,13755312,12303736209
200.054894339,562168,1363226,713308851
201.055271481,188784,532420,152338181
202.056297523,1022935,4396116,688690457
203.05743402,107062,143670,11652248
204.058483968,109215,160443,11188010
205.058911063,184044,255718,39816650
206.059261673,255960,496285,158376833
207.05957184,2454852,8549737,4209967296
208.059863815,3808388,11992746,6726699553
209.060147366,3468684,10958605,5035411963
210.060569698,953272,4406270,2801495177
211.061356178,266796,501671,158315011
212.061652552,1565879,5567570,2733778008
213.061927275,2997759,11402569,6450122894
214.062229132,2497134,10465667,4941553415
215.062452271,2543568,12471612,5610622713
216.062807224,908944,4058298,5360673161
217.063456709,266006,443974,113991146
218.064532208,189757,363320,100061997
