time,SB Resource Stalls,Total Resource Stalls,cycles,RS Resource Stalls,ROB Resource Stalls
1.000177574,238160458,642394639,3905718126,304408599,27888752
2.000508203,376976710,1666340943,7293936045,773378396,81738069
3.000885457,189024229,1045541538,4604248729,518522200,62323112
4.002165434,24794632,60996672,303980708,14978535,3319670
5.002452988,213502827,1265446448,5302571765,608100413,87271250
6.002777928,250348167,944169231,4777506451,508974418,40048375
7.003095256,234042043,892792056,5012641814,483094307,40465655
8.003413425,90757716,1076479429,3193763458,672049280,24499991
9.003729085,320828348,995136980,4992885393,492317276,29811318
10.004065384,170696077,828415613,3711528034,451122731,47567558
11.004265881,251688451,857594214,3910423100,410714500,43773161
12.004544025,137370627,458878957,2466793865,224084125,23945984
13.004927403,285552455,1037973340,5860991393,522939877,34652532
14.005246201,219717373,978869948,4807436347,499112267,47373764
15.005536716,278299513,1072816488,5710534383,485693782,46287290
16.006115491,146595727,740665587,3172658802,354677659,35506945
17.006482178,36313866,103657705,555388151,40301238,3629061
18.006718025,1454687600,4410302303,25533947795,1626096214,150912678
19.006971319,1677730667,8907817468,33119326298,3117955153,323892280
20.007225207,1563002088,8643525139,31327828038,2979323973,400116418
21.007469444,1413937141,5620384551,27572244136,2057510682,248589720
22.007690455,1137714838,5140800704,25171415965,2038921103,348432125
23.008007024,1587137540,4547516737,26389865406,1863229244,124935926
24.008227576,926303070,2857254703,25993824333,996388168,93905062
25.008445232,464738424,1502683884,21344458467,501107675,77395802
26.008682333,457765648,1502229970,18940795903,481971356,124722350
27.008922373,474745310,1542627093,13933798891,565394729,109030078
28.009128768,1120234474,3412046609,19937150301,1329306684,98656443
29.009349716,1548118031,7714016365,31373912651,2743458018,322877691
30.009573751,1675851670,7744726885,32090617208,2674083307,288852859
31.009806737,1351573949,6157802206,27891980633,2321132019,284344788
32.010030952,1166041484,4572906611,23999297069,1882532556,243392532
33.010281628,1394764393,4348058817,27672183284,1635688030,150069771
34.010481454,1030195144,3316621987,26936810990,1200441177,113527273
35.010704902,498481838,1594518780,20848963258,544236142,90621330
36.010928582,426628618,1387247339,19468744363,442378779,105013685
37.011125358,317654256,1020912330,11816094384,378105733,91457407
38.011331901,960357564,2930362807,17827709373,1216740270,113450727
39.011548609,1390602644,6598730773,29007805471,2451150463,270945845
40.011789582,1626461859,7489451225,31355587420,2550774702,299400611
41.012076858,1342366885,6441466502,28660848771,2363461687,294687438
42.012274222,1149279365,4499037272,23438379167,1892133019,224991015
43.012493412,999595019,3492915386,22363362941,1450109268,194957834
44.012710257,787008100,2589720732,22092432679,973110975,127858780
45.012942605,457728524,1507488141,17848596052,532510771,110476255
46.013189811,353206761,1326479518,13047450446,473260371,114799669
47.013414742,515099578,1765007524,13765084108,768779875,99509602
48.013643127,961170139,3668862058,18794607111,1480019916,155007812
49.013882397,1129828843,5341005877,24165883505,2098489192,241185666
50.014115107,1220489596,5094812828,24575451072,1979769429,231009682
51.014395715,1222578596,5099273132,25013325955,1841226646,214216102
52.014623051,1094518055,3907903298,23429848418,1570765798,158937068
53.014877512,818153666,3090718331,22033300804,1218293966,175072598
54.015126681,590367381,2093164195,18506414849,801798926,144903763
55.015370722,367773022,1234737291,13775892910,441198096,121358682
56.015595229,541924562,1631178689,12758930747,640999648,102130637
57.015801898,996646774,3699120845,19790324972,1489380880,169158263
58.016054616,1099910402,4984667610,22639470961,2036935568,227377864
59.016270785,1321714598,5596851689,26491769477,2050276283,267423950
60.016501835,1183379987,4955285553,25286968193,1916208217,235886719
61.016716739,1082100383,4051437515,24347474553,1609588852,190512129
62.016936047,807680248,2767442365,21578083433,1071745143,157919436
63.017166599,571601805,2009766272,18201396730,813967941,146415334
64.017444615,399716464,1317955466,14085620780,493936652,133960747
65.017667424,745416949,2297591843,15710521872,910338487,114573539
66.017938733,730289643,3891500151,17362608420,1523593100,182877628
67.018232203,493225395,1945980066,9934970933,832849359,104380354
68.018458049,509836785,1722983042,9415944806,866181470,89649616
69.018711644,324545890,1144938168,9601747536,452309184,72841973
70.019044535,197720723,621498244,6892020364,192788480,70045568
71.019450799,215434963,692204802,6917028991,271912973,62636626
72.01972264,132243265,656102257,3475085563,308368389,43942782
73.020104962,107563956,606632958,2164961745,262875069,34144555
74.021030052,28372535,53358570,312512727,13342407,1412462
74.49718257,63352790,220146897,1103444652,120205847,13025643
