time,instructions(system mode),instructions(user mode),cycles(user mode),cycles(system mode)
1.000222166,142066651,3858040775,3637882002,302341529
2.000501005,60560078,8365545417,7317244640,202881295
3.000876068,96978017,4478727586,4008903561,197380826
4.001793947,11191162,5533741,16546909,69802835
5.002080374,92250481,5986961085,5083311337,239104297
6.002380543,66891929,4469481873,4637139656,147137546
7.002629682,34487477,4518192733,4508791871,134853632
8.002871998,30421355,5209263845,3220116214,110194886
9.003139919,28098975,4005040581,4341853494,124818093
10.003408302,45414076,3649406937,3826452421,223218694
11.003674059,106767441,2889353207,3074707933,388055730
12.004739893,15731085,738953027,696596891,85986644
13.005093291,192493994,3388166208,3207096915,384945460
14.005440756,68569263,6616335783,5857526893,193953805
15.0057227,52123870,4593319511,4427016841,238168844
16.00620962,33369182,3247446733,3232562702,135507025
17.006801151,21783109,2438133296,1777442069,94069701
18.007060147,347042975,9041884737,11476993476,765009382
19.008534069,870598730,19038767560,27933295282,2105042044
20.008775643,854142650,21314191979,29626725253,2344426628
21.009005036,388960674,21507054362,31335931848,1110659700
22.009195806,508398756,17927788818,24281275414,1350130320
23.009427171,2505348925,13459630430,18582753896,4632673808
24.009630873,368876597,18413184174,28012560677,1012706921
25.009854317,307146766,32677868112,24400851393,895256778
26.010063818,363491491,36350838815,19481242994,960753713
27.010278582,572818036,38052251541,18737041463,1399667814
28.010502923,695975754,16116011077,15115167777,1284650254
29.010707505,907254168,18689267718,26342947726,2237792367
30.010920553,512787977,20238747133,29444629633,1345600226
31.011178344,673210595,19581192544,27674314487,1820853280
32.011441781,1102322892,16958599594,24449625762,2760892656
33.011650592,1037327740,14548842416,19991843797,2594473891
34.011881135,993798784,19029894226,23992714687,2100836168
35.012096047,283981035,27535365525,25145627010,783960558
36.012320261,358972227,32406865075,20399481216,951143252
37.012542216,435886132,37368161611,19624028413,1163573398
38.012759637,547414390,19768131761,14385414594,1122504042
39.012995025,783467277,19129571758,24053169208,1826784080
40.013184678,719634838,18260162747,25247322251,1806326073
41.013383688,606265358,18451647754,25841555069,1449966384
42.013601356,1339569922,17041565771,22979354924,2723449429
43.01381247,583404745,17665803436,23183850282,1337592919
44.014026725,1067683389,20651805826,18585659584,2032462234
45.014245002,365829644,23779793450,19922500768,926826166
46.014475947,359054160,25943077121,18082899740,956630245
47.01469797,340756288,22944480607,12743811747,789455664
48.014900642,408224697,24873145990,16970852925,942486535
49.01510183,938628837,16192189710,18246654978,1856746453
50.015326076,920680715,16528731689,21642734668,1948175163
51.015552791,611562299,18627189705,25279961735,1377105653
52.015778387,863415585,18781384165,22502609354,1922539257
53.016004865,1072724174,19511213027,20208129554,2010134163
54.016235515,610317084,22763192289,19972022110,1189038034
55.016437704,314574484,24698796676,18713334259,827348532
56.016639971,297908111,24406708399,12860369295,744065555
57.016907806,269065912,22335755918,11249323299,729592050
58.017160817,550888441,12987774040,12973579429,1105535648
59.017379787,836030419,15068972483,19038415191,1853576504
60.017590128,564052729,18272481315,23510010948,1320634611
61.017805165,889014403,15942475082,21540848426,2031263482
62.018048016,1225167142,18446731861,22959809983,2456066541
63.018289031,723985078,20718990986,21537912107,1507864238
64.018487722,687384174,25382858556,20534435329,1496027729
65.018685122,317012942,26403506076,17073960542,805174651
66.018909625,353111531,25053638239,13559648963,859977828
67.019200435,387621532,21121174109,14759180588,873160834
68.019456285,620042022,16068012640,14608663129,1296166176
69.01972143,692162360,8491840639,9507701617,1219188566
70.019995545,588139350,8210623594,8764800952,1058489026
71.020265832,175550000,12003005367,8907394242,471411011
72.020455124,180658543,13618373931,6903735359,520080441
73.020787137,177117091,10601538626,4889013031,475307172
74.02112721,120751909,5053722079,3225639627,316396694
75.021502844,119176133,3877106792,4085878681,334088930
76.021814341,18766663,247394372,262451336,85593748
76.319822096,36755591,515311959,664409315,90027036
